From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C)
2012-07-01 00:00:00,2012-07-01 01:00:00,,15.65,28.12,43.78,7.08,1.0,23.78,0.36,3.33,29.81,62.31,2.59,91.15,31.58,748.38,,,
2012-07-01 01:00:00,2012-07-01 02:00:00,,9.44,19.6,29.05,6.88,0.88,28.22,0.28,3.3,28.95,69.56,2.9,102.66,40.04,748.3,,,
2012-07-01 02:00:00,2012-07-01 03:00:00,,9.19,17.91,27.1,6.86,0.84,22.39,0.28,3.32,28.52,71.53,2.45,112.58,40.8,748.22,,,
2012-07-01 03:00:00,2012-07-01 04:00:00,,14.76,23.31,38.07,6.9,0.9,18.92,0.28,3.44,28.29,75.19,2.58,93.87,38.92,748.21,,,
2012-07-01 04:00:00,2012-07-01 05:00:00,,13.28,21.63,34.91,6.95,0.92,18.4,0.31,3.63,28.09,77.63,2.77,98.14,55.28,748.24,,,
2012-07-01 05:00:00,2012-07-01 06:00:00,,13.21,22.3,35.52,6.94,0.98,17.88,0.33,3.75,27.93,78.64,2.81,100.37,285.49,748.43,,,
2012-07-01 06:00:00,2012-07-01 07:00:00,,9.02,19.42,28.44,6.92,1.01,23.47,0.38,3.87,28.66,75.5,3.26,114.82,370.45,748.82,,,
2012-07-01 07:00:00,2012-07-01 08:00:00,,10.33,21.16,31.49,7.0,1.08,25.09,0.38,3.97,29.72,69.72,3.1,116.62,391.71,749.05,,,
2012-07-01 08:00:00,2012-07-01 09:00:00,,9.73,23.72,33.44,7.22,1.12,28.81,0.38,4.72,31.58,59.58,3.02,119.39,406.89,749.05,,,
2012-07-01 09:00:00,2012-07-01 10:00:00,,13.31,31.44,44.76,7.21,1.14,25.74,0.4,7.41,33.17,54.08,3.66,99.8,415.37,749.0,,,
2012-07-01 10:00:00,2012-07-01 11:00:00,,10.98,30.19,41.17,6.95,1.09,25.72,0.41,9.38,34.65,51.19,3.75,117.62,417.17,748.84,,,
2012-07-01 11:00:00,2012-07-01 12:00:00,,12.56,35.21,47.77,6.85,1.21,24.46,0.42,10.05,34.75,51.81,3.94,90.92,395.13,748.65,,,
2012-07-01 12:00:00,2012-07-01 13:00:00,,11.78,35.54,47.32,6.89,1.17,42.11,0.45,9.85,35.1,50.82,3.9,112.78,383.44,748.43,,,
2012-07-01 13:00:00,2012-07-01 14:00:00,,34.14,40.7,58.74,22.01,17.66,28.0,0.46,9.1,31.29,40.47,3.05,90.07,341.18,,,,
2012-07-01 14:00:00,2012-07-01 15:00:00,,9.73,32.09,41.82,6.87,1.1,24.94,0.45,9.43,36.55,42.6,3.98,119.25,389.67,747.76,,,
2012-07-01 15:00:00,2012-07-01 16:00:00,,8.67,29.58,38.25,6.8,1.06,27.25,0.43,9.49,36.03,43.8,4.16,100.63,368.53,747.43,,,
