From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3)
2015-10-01 00:00:00,2015-10-01 01:00:00,,9.06,22.92,31.98,4.92,2.32,25.92,0.25,0.35,30.07,82.23,0.07,91.56,84.05,749.75,-0.01,,0.0,0.18
2015-10-01 01:00:00,2015-10-01 02:00:00,,5.66,20.24,25.21,4.32,2.01,24.59,0.23,0.34,29.84,83.8,0.01,93.15,84.05,749.75,-0.01,,0.0,0.16
2015-10-01 02:00:00,2015-10-01 03:00:00,,9.92,19.92,29.83,4.46,2.01,25.03,0.22,0.32,29.47,86.14,0.01,91.24,83.99,749.74,-0.01,,0.0,0.14
2015-10-01 03:00:00,2015-10-01 04:00:00,,10.77,21.38,32.14,4.41,2.09,25.11,0.21,0.31,29.33,86.78,1.41,90.59,83.97,749.75,-0.01,,0.0,0.13
2015-10-01 04:00:00,2015-10-01 05:00:00,,7.2,21.91,28.43,5.29,2.28,28.82,0.21,0.3,29.28,86.02,0.01,89.43,84.1,749.75,-0.01,,0.0,0.13
2015-10-01 05:00:00,2015-10-01 06:00:00,,12.95,24.05,37.01,7.13,2.47,29.67,0.2,0.26,29.1,86.81,0.01,85.73,84.1,749.76,-0.01,,0.0,0.11
2015-10-01 06:00:00,2015-10-01 07:00:00,,15.93,21.3,37.22,7.45,2.51,16.72,0.21,0.26,29.8,84.18,0.01,88.73,118.78,749.76,-0.01,,0.0,0.11
2015-10-01 07:00:00,2015-10-01 08:00:00,,6.1,25.5,30.18,7.91,1.14,22.93,0.26,0.32,32.16,72.67,0.56,99.95,240.49,749.77,-0.01,,0.0,0.15
2015-10-01 08:00:00,2015-10-01 09:00:00,,4.36,21.93,22.26,4.76,1.1,23.04,0.24,0.31,33.34,66.44,0.91,107.15,377.35,749.78,-0.01,,0.0,0.14
2015-10-01 09:00:00,2015-10-01 10:00:00,,0.41,22.05,18.13,2.09,1.13,21.24,0.18,0.23,34.47,61.49,1.2,117.19,529.6,749.78,-0.01,,0.0,0.08
2015-10-01 10:00:00,2015-10-01 11:00:00,,2.38,21.75,19.05,1.95,0.62,35.65,0.13,0.2,34.81,60.39,1.77,117.03,593.44,749.78,-0.01,,0.0,0.07
2015-10-01 11:00:00,2015-10-01 12:00:00,,3.04,19.01,18.47,2.55,1.86,70.12,0.16,0.34,34.54,61.02,2.17,112.67,536.33,749.77,-0.02,,0.0,0.11
