From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3)
2016-03-01 00:00:00,2016-03-01 01:00:00,145.0,19.79,6.0,25.79,2.27,1.8,10.17,0.42,1.01,69.26,0.29,22.32,77.7,747.27,-0.01,19.23,0.0,0.68
2016-03-01 01:00:00,2016-03-01 02:00:00,125.0,14.32,5.66,19.98,2.32,1.49,9.07,0.38,0.83,70.37,0.49,70.13,77.71,747.23,-0.01,18.99,0.0,0.55
2016-03-01 02:00:00,2016-03-01 03:00:00,88.0,9.66,5.24,14.9,1.3,1.09,10.46,0.33,0.7,67.95,0.93,80.81,77.72,747.16,-0.01,19.07,0.0,0.45
2016-03-01 03:00:00,2016-03-01 04:00:00,54.0,6.64,5.66,12.3,1.4,0.7,6.23,0.25,0.55,68.46,0.63,60.93,77.7,747.12,-0.01,18.79,0.0,0.34
2016-03-01 04:00:00,2016-03-01 05:00:00,54.0,6.69,6.26,12.95,1.74,0.84,5.88,0.23,0.23,72.24,0.31,35.28,77.71,747.17,-0.01,18.32,0.0,0.27
2016-03-01 05:00:00,2016-03-01 06:00:00,72.0,7.82,6.52,14.34,2.32,0.87,7.08,0.28,0.19,71.19,0.6,95.8,77.69,747.22,-0.01,18.38,0.0,0.23
2016-03-01 06:00:00,2016-03-01 07:00:00,69.0,9.96,6.72,16.69,1.9,0.95,7.22,0.25,0.18,73.17,0.27,145.47,83.16,747.32,-0.01,18.12,0.0,0.21
2016-03-01 07:00:00,2016-03-01 08:00:00,119.0,12.63,7.35,19.97,2.75,1.28,9.92,0.28,0.43,67.61,0.27,140.19,165.59,747.44,-0.01,19.26,0.0,0.29
2016-03-01 08:00:00,2016-03-01 09:00:00,145.0,11.67,7.17,18.85,4.15,1.4,10.58,0.4,0.71,56.95,0.67,125.36,312.31,747.53,-0.01,21.37,0.0,0.29
2016-03-01 09:00:00,2016-03-01 10:00:00,112.0,6.06,7.26,13.32,3.36,1.05,8.85,0.38,0.72,50.72,1.15,87.56,463.88,747.56,-0.0,22.51,0.0,0.33
2016-03-01 10:00:00,2016-03-01 11:00:00,63.0,2.54,7.06,9.6,3.03,0.74,9.75,0.39,0.62,47.84,1.9,79.28,586.35,747.51,-0.01,23.38,0.0,0.32
2016-03-01 11:00:00,2016-03-01 12:00:00,60.0,1.96,5.2,7.16,3.01,0.54,11.64,0.28,0.6,45.88,2.1,54.37,633.21,747.4,-0.02,23.86,0.0,0.31
2016-03-01 12:00:00,2016-03-01 13:00:00,48.0,1.82,5.72,7.55,2.4,0.68,11.0,0.29,0.66,41.56,1.98,81.14,653.88,747.23,-0.02,24.37,0.0,0.37
2016-03-01 13:00:00,2016-03-01 14:00:00,28.0,2.18,6.5,8.68,1.79,0.84,8.99,0.28,0.72,40.04,2.39,104.9,618.09,747.1,-0.01,24.54,0.0,0.45
2016-03-01 14:00:00,2016-03-01 15:00:00,38.0,2.11,7.01,9.12,1.92,0.84,9.18,0.31,0.82,40.32,2.23,105.46,518.23,746.96,0.01,24.66,0.0,0.53
2016-03-01 15:00:00,2016-03-01 16:00:00,39.0,2.05,7.23,9.28,1.78,0.86,9.4,0.28,0.84,40.94,2.32,111.5,373.64,746.89,0.0,24.67,0.0,0.54
2016-03-01 16:00:00,2016-03-01 17:00:00,33.0,2.29,6.7,8.99,1.55,0.93,7.44,0.29,0.88,41.62,2.41,91.43,205.77,746.84,-0.02,24.19,0.0,0.57
