From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2019-12-24 17:00:00,2019-12-24 18:00:00,,108.89,7.75,50.05,57.8,52.91,6.64,1.13,12.66,3.09,0.84,3.13,5.37,65.22,0.37,309.14,7.08,756.0,1.71,17.0,0.0
2019-12-24 18:00:00,2019-12-24 19:00:00,57.54,140.65,12.14,69.42,81.56,59.73,6.04,1.64,9.1,3.75,0.98,3.52,5.79,64.99,0.42,279.52,7.02,756.3,3.19,16.85,0.0
2019-12-24 19:00:00,2019-12-24 20:00:00,69.98,198.25,12.91,70.37,83.28,59.35,5.54,1.88,9.48,5.31,1.18,3.92,6.92,67.84,0.39,286.75,6.97,756.58,3.9,16.32,0.0
2019-12-24 20:00:00,2019-12-24 21:00:00,81.43,176.0,11.37,54.11,65.89,41.88,6.45,1.7,8.04,6.39,1.24,4.12,7.72,72.61,0.44,310.68,6.96,757.15,4.65,15.75,0.0
2019-12-24 21:00:00,2019-12-24 22:00:00,85.66,196.57,13.39,44.53,57.92,47.2,6.74,1.49,8.1,6.52,1.33,4.45,8.14,71.77,0.4,314.45,7.11,757.22,4.94,15.32,0.0
2019-12-24 22:00:00,2019-12-24 23:00:00,92.27,183.82,19.89,47.47,67.36,46.35,6.79,1.52,7.77,6.39,1.37,4.62,8.4,73.9,0.25,305.32,7.07,757.05,5.08,14.84,0.0
2019-12-24 23:00:00,2019-12-25 00:00:00,91.07,184.12,20.51,51.66,72.17,45.72,6.23,1.59,5.49,6.28,1.41,4.74,8.55,77.83,0.16,327.33,6.97,756.77,5.21,14.12,0.0
2019-12-25 00:00:00,2019-12-25 01:00:00,96.45,195.01,24.91,48.09,73.47,37.09,5.9,1.69,4.73,6.27,1.44,4.88,8.54,84.09,0.17,163.99,7.0,756.65,5.36,13.55,0.0
2019-12-25 01:00:00,2019-12-25 02:00:00,104.24,205.16,25.46,40.84,66.3,43.16,5.69,1.63,4.15,6.35,1.47,4.97,8.72,91.62,0.19,111.8,6.93,756.35,5.5,12.9,0.0
2019-12-25 02:00:00,2019-12-25 03:00:00,96.64,218.58,22.56,36.62,59.17,41.37,5.52,1.57,4.74,6.37,1.48,5.02,8.59,93.85,0.31,330.6,7.0,756.23,5.55,12.79,0.0
2019-12-25 03:00:00,2019-12-25 04:00:00,97.22,198.47,25.33,31.86,57.19,40.46,5.6,1.66,4.57,6.31,1.46,5.0,8.46,95.39,0.12,50.19,7.04,755.85,5.5,12.37,0.0
2019-12-25 04:00:00,2019-12-25 05:00:00,114.75,200.87,44.5,29.4,74.11,36.75,5.62,1.76,3.36,6.25,1.4,5.01,8.38,98.18,0.05,122.18,7.07,755.67,5.44,11.82,0.0
2019-12-25 05:00:00,2019-12-25 06:00:00,119.61,207.56,42.19,34.66,76.84,44.7,5.53,1.8,3.28,6.35,1.38,5.13,8.44,98.66,0.29,235.06,7.07,756.05,5.5,11.78,0.0
2019-12-25 06:00:00,2019-12-25 07:00:00,119.49,215.4,26.3,30.24,56.54,44.61,5.33,1.81,3.92,6.79,1.36,5.24,8.46,98.36,0.85,309.68,9.44,756.52,5.53,11.61,0.0
2019-12-25 07:00:00,2019-12-25 08:00:00,119.46,207.99,20.96,20.29,41.24,45.05,5.33,1.87,3.96,7.02,1.32,5.22,8.41,99.45,0.83,313.09,20.7,757.3,5.44,10.96,0.0
2019-12-25 08:00:00,2019-12-25 09:00:00,105.51,198.07,18.63,26.51,45.31,38.92,5.34,1.78,4.42,7.17,1.28,5.16,8.12,96.83,0.82,294.11,73.24,757.92,5.32,11.87,0.0
2019-12-25 09:00:00,2019-12-25 10:00:00,102.46,201.69,17.65,23.67,41.32,44.5,5.48,1.66,5.37,7.13,1.25,5.12,8.06,86.64,0.79,289.22,268.19,758.2,5.24,13.37,0.0
2019-12-25 10:00:00,2019-12-25 11:00:00,117.28,193.73,13.68,33.68,47.36,45.94,5.73,1.61,6.14,6.9,1.18,4.94,7.68,81.0,0.86,323.26,361.28,757.95,5.04,14.59,0.0
2019-12-25 11:00:00,2019-12-25 12:00:00,114.54,192.23,9.37,28.74,38.11,51.43,6.04,1.52,5.29,6.54,1.09,4.61,7.07,76.98,1.23,320.74,423.2,757.3,4.75,15.59,0.0
2019-12-25 12:00:00,2019-12-25 13:00:00,113.66,180.03,8.61,29.74,38.55,40.62,6.01,1.46,6.68,6.11,1.03,4.13,6.4,68.44,0.99,305.65,483.21,756.38,2.55,16.79,0.0
2019-12-25 13:00:00,2019-12-25 14:00:00,105.2,183.8,7.42,29.0,36.41,45.2,6.05,1.33,8.12,5.62,0.99,3.8,6.04,60.84,1.17,309.84,391.79,755.9,2.68,17.62,0.0
