From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2018-02-01 10:00:00,2018-02-01 11:00:00,307.0,508.0,16.6,98.0,38.1,13.87,14.0,0.29,,,,,36.0,0.7,248.67,179.33,994.0,22.73,
2018-02-01 11:00:00,2018-02-01 12:00:00,238.25,439.25,16.53,117.21,131.13,49.24,45.39,1.96,,,,,32.83,0.8,253.92,291.42,993.83,24.45,
2018-02-01 12:00:00,2018-02-01 13:00:00,206.33,428.42,7.73,86.76,90.76,41.31,28.25,1.52,,,,,29.83,0.81,250.75,439.58,992.75,26.38,
2018-02-01 13:00:00,2018-02-01 14:00:00,154.5,352.83,3.79,58.24,56.22,31.23,19.59,1.03,,,,,27.92,0.9,256.75,524.67,991.75,27.33,
2018-02-01 14:00:00,2018-02-01 15:00:00,93.17,242.42,2.94,44.82,45.39,29.74,19.81,0.83,,,,,27.5,0.94,244.5,454.5,990.75,27.83,
2018-02-01 15:00:00,2018-02-01 16:00:00,70.73,200.27,2.28,44.98,44.59,28.52,19.31,0.9,,,,,28.92,0.8,258.5,277.17,990.0,27.59,
2018-02-01 16:00:00,2018-02-01 17:00:00,71.75,219.0,2.54,52.87,47.57,27.67,21.12,0.9,,,,,33.0,0.62,257.5,95.0,990.0,26.22,
2018-02-01 17:00:00,2018-02-01 18:00:00,82.08,229.25,8.29,110.84,110.58,31.03,22.03,1.27,,,,,42.83,0.52,241.58,24.5,990.0,23.93,
2018-02-01 18:00:00,2018-02-01 19:00:00,111.0,282.0,176.52,145.82,383.18,32.48,25.48,2.7,,,,,60.17,0.42,235.58,2.5,990.0,20.12,
2018-02-01 19:00:00,2018-02-01 20:00:00,112.83,357.17,341.81,144.81,,37.74,26.27,3.98,,,,,71.08,0.55,221.75,2.0,990.0,18.18,
2018-02-01 20:00:00,2018-02-01 21:00:00,132.25,393.33,418.84,135.98,,40.34,15.13,4.56,,,,,81.08,0.47,213.08,2.0,990.0,16.78,
2018-02-01 21:00:00,2018-02-01 22:00:00,153.25,385.0,498.17,135.7,,41.84,26.41,5.77,,,,,86.83,0.48,170.92,2.0,990.42,16.1,
2018-02-01 22:00:00,2018-02-01 23:00:00,193.5,437.17,,117.85,,43.39,19.4,6.1,,,,,90.92,0.37,180.75,2.0,990.58,15.53,
2018-02-01 23:00:00,2018-02-02 00:00:00,224.5,434.67,213.71,92.44,386.93,46.33,15.13,3.32,,,,,86.92,0.23,223.08,2.0,990.0,16.02,
2018-02-02 00:00:00,2018-02-02 01:00:00,168.33,336.73,193.62,83.33,349.65,43.02,17.61,2.89,,,,,91.08,0.48,202.92,2.0,990.0,15.03,
2018-02-02 01:00:00,2018-02-02 02:00:00,155.67,310.5,237.3,103.63,372.67,46.94,15.11,3.41,,,,,96.25,0.48,219.67,2.0,990.0,13.9,
2018-02-02 02:00:00,2018-02-02 03:00:00,173.33,317.25,228.14,69.43,385.64,54.88,14.92,3.18,,,,,100.0,0.42,221.42,2.0,989.25,12.93,
2018-02-02 03:00:00,2018-02-02 04:00:00,167.67,286.83,165.95,59.85,235.19,44.48,10.06,2.58,,,,,100.0,0.47,242.25,2.0,989.0,12.59,
2018-02-02 04:00:00,2018-02-02 05:00:00,148.67,256.5,133.45,54.93,220.64,48.05,11.37,2.07,,,,,100.0,0.55,229.17,2.0,989.0,12.23,
2018-02-02 05:00:00,2018-02-02 06:00:00,140.58,254.92,110.92,55.22,207.37,48.0,12.94,1.74,,,,,100.0,0.79,213.75,2.0,989.0,12.32,
2018-02-02 06:00:00,2018-02-02 07:00:00,165.67,266.92,118.98,52.05,216.08,48.23,13.82,1.63,,,,,99.83,0.83,216.5,2.0,989.0,12.35,
2018-02-02 07:00:00,2018-02-02 08:00:00,190.92,311.08,167.31,53.34,285.2,51.88,15.0,1.9,,,,,99.58,0.78,218.25,14.92,989.75,12.41,
2018-02-02 08:00:00,2018-02-02 09:00:00,210.42,360.83,165.87,66.88,295.73,60.31,18.36,2.21,,,,,90.5,0.87,214.42,99.42,990.08,14.39,
2018-02-02 09:00:00,2018-02-02 10:00:00,281.67,452.08,92.0,194.13,95.07,33.94,4.48,2.11,,,,,76.58,0.74,229.08,195.5,991.0,17.42,
2018-02-02 10:00:00,2018-02-02 11:00:00,310.0,526.0,33.05,92.0,29.29,11.54,4.62,2.53,8.4,,,,65.08,0.76,222.0,184.92,991.0,19.86,
2018-02-02 11:00:00,2018-02-02 12:00:00,345.92,568.67,12.04,82.02,90.02,62.65,36.29,1.51,,,,,49.17,0.76,244.83,304.25,990.75,22.66,
2018-02-02 12:00:00,2018-02-02 13:00:00,206.92,389.58,6.51,69.7,73.42,56.3,32.62,1.24,,,,,38.08,0.7,249.17,473.42,989.83,24.95,
2018-02-02 13:00:00,2018-02-02 14:00:00,179.33,347.33,3.86,50.78,52.16,41.33,16.77,0.91,,,,,32.0,0.98,250.5,531.83,988.92,26.54,
2018-02-02 14:00:00,2018-02-02 15:00:00,93.67,241.42,1.98,38.33,38.02,37.84,16.17,0.82,,,,,33.58,0.86,251.17,448.5,988.0,26.48,
2018-02-02 15:00:00,2018-02-02 16:00:00,88.75,223.75,1.67,37.24,36.63,37.08,16.93,0.7,,,,,33.75,1.04,260.83,280.92,988.0,25.81,
2018-02-02 16:00:00,2018-02-02 17:00:00,86.25,212.0,2.02,42.22,41.71,34.34,15.94,0.68,,,,,36.0,0.88,255.58,101.92,988.0,24.71,
2018-02-02 17:00:00,2018-02-02 18:00:00,67.67,179.83,3.97,86.11,82.07,34.86,14.72,0.98,,,,,45.0,0.74,258.58,25.83,988.0,23.0,
2018-02-02 18:00:00,2018-02-02 19:00:00,82.5,237.5,33.88,115.03,153.61,38.02,15.44,1.5,,,,,50.67,0.79,259.42,2.5,988.5,21.03,
2018-02-02 19:00:00,2018-02-02 20:00:00,91.33,260.42,44.66,112.82,166.69,37.59,18.52,1.64,,,,,53.42,0.56,266.08,1.92,989.33,19.73,
2018-02-02 20:00:00,2018-02-02 21:00:00,108.5,293.17,42.14,108.6,159.38,39.72,23.49,1.53,,,,,54.5,0.78,259.58,2.0,990.17,19.17,
2018-02-02 21:00:00,2018-02-02 22:00:00,103.58,274.0,29.5,102.78,136.18,38.53,20.58,1.32,,,,,55.08,0.85,263.83,2.0,991.0,18.58,
2018-02-02 22:00:00,2018-02-02 23:00:00,100.25,248.17,21.96,91.58,115.23,36.3,21.06,1.18,,,,,58.42,0.45,269.33,2.0,991.0,17.65,
2018-02-02 23:00:00,2018-02-03 00:00:00,91.82,230.55,8.89,75.04,72.14,31.9,15.57,0.89,,,,,58.17,0.32,83.0,2.0,991.0,17.27,
2018-02-03 00:00:00,2018-02-03 01:00:00,81.83,228.09,3.09,70.6,63.81,32.39,14.17,1.1,,,,,65.42,0.25,99.17,2.0,991.0,16.08,
2018-02-03 01:00:00,2018-02-03 02:00:00,84.67,219.75,67.91,104.27,46.01,24.21,3.84,1.15,,,,,67.67,0.4,144.91,2.0,991.0,15.61,
2018-02-03 02:00:00,2018-02-03 03:00:00,80.42,208.0,5.65,63.15,33.07,5.95,4.26,0.31,,,,,62.08,0.47,67.92,2.0,990.75,16.07,
2018-02-03 03:00:00,2018-02-03 04:00:00,79.08,196.0,19.86,56.44,50.3,35.63,12.2,0.41,,,,,65.42,0.25,170.0,2.0,990.83,15.33,
2018-02-03 04:00:00,2018-02-03 05:00:00,78.08,184.92,9.41,67.97,73.82,39.58,16.12,0.78,,,,,79.0,0.4,143.08,2.0,991.0,13.63,
2018-02-03 05:00:00,2018-02-03 06:00:00,84.42,185.83,58.07,71.16,147.51,38.49,17.03,1.07,,,,,88.25,0.51,200.83,2.0,991.0,12.29,
2018-02-03 06:00:00,2018-02-03 07:00:00,99.67,208.0,135.13,59.88,245.7,35.66,16.14,1.5,,,,,97.17,0.45,243.25,2.0,991.58,11.16,
2018-02-03 07:00:00,2018-02-03 08:00:00,112.92,217.33,214.03,58.75,355.86,37.75,17.75,1.75,,,,,96.92,0.61,232.08,15.5,992.5,11.03,
2018-02-03 08:00:00,2018-02-03 09:00:00,128.67,240.92,153.49,77.61,269.52,47.38,21.92,1.78,,,,,79.25,0.83,212.17,113.83,993.17,13.93,
2018-02-03 09:00:00,2018-02-03 10:00:00,219.83,383.25,67.05,94.74,181.71,67.52,41.25,1.8,,,,,64.08,0.65,227.17,207.92,994.0,17.31,
2018-02-03 10:00:00,2018-02-03 11:00:00,298.58,519.75,19.56,104.43,123.58,63.98,45.39,1.63,,,,,43.0,0.66,247.5,184.5,994.0,20.19,
2018-02-03 11:00:00,2018-02-03 12:00:00,265.58,537.42,6.11,66.19,68.23,48.15,41.99,1.16,,,,,33.67,0.82,253.92,295.58,994.0,21.98,
2018-02-03 12:00:00,2018-02-03 13:00:00,172.17,362.0,7.62,53.89,53.05,38.79,29.6,0.88,,,,,28.83,0.77,280.64,499.92,993.08,23.5,
2018-02-03 13:00:00,2018-02-03 14:00:00,106.25,258.92,2.51,36.39,37.02,30.13,24.33,0.65,,,,,24.75,0.92,255.17,559.08,992.08,24.28,
2018-02-03 14:00:00,2018-02-03 15:00:00,68.92,183.17,2.07,29.43,30.02,26.97,17.6,0.55,,,,,22.75,1.1,248.92,488.83,991.92,24.48,
2018-02-03 15:00:00,2018-02-03 16:00:00,56.83,162.33,1.72,29.38,29.47,26.08,16.87,0.56,,,,,23.83,1.03,255.08,324.08,991.08,24.17,
2018-02-03 16:00:00,2018-02-03 17:00:00,46.83,170.17,1.47,31.61,31.16,25.61,16.93,0.6,,,,,26.08,0.94,245.92,106.17,991.0,23.07,
2018-02-03 17:00:00,2018-02-03 18:00:00,47.83,143.5,1.9,59.78,57.77,25.7,17.38,0.69,,,,,29.67,1.08,265.83,25.58,991.25,21.29,
2018-02-03 18:00:00,2018-02-03 19:00:00,55.33,151.08,6.06,103.17,103.44,30.85,19.43,1.03,,,,,39.83,1.04,265.75,2.5,992.0,19.39,
2018-02-03 19:00:00,2018-02-03 20:00:00,77.33,184.38,55.71,121.04,171.48,31.56,17.72,1.57,,,,,50.3,0.6,254.0,1.9,992.1,16.88,
2018-02-03 20:00:00,2018-02-03 21:00:00,94.0,226.58,64.12,119.1,200.18,34.73,20.77,1.82,,,,,56.92,0.65,235.75,2.0,993.0,16.0,
2018-02-03 21:00:00,2018-02-03 22:00:00,111.42,230.0,189.69,120.87,378.73,36.96,21.07,2.65,,,,,70.67,0.63,223.92,2.0,993.0,13.84,
2018-02-03 22:00:00,2018-02-03 23:00:00,146.92,304.55,234.54,120.23,441.27,37.69,21.06,2.92,,,,,78.83,0.61,226.42,2.0,993.42,12.97,
2018-02-03 23:00:00,2018-02-04 00:00:00,166.5,345.64,167.97,111.15,339.08,43.01,16.57,2.6,,,,,81.92,0.63,223.25,2.0,993.08,12.54,
2018-02-04 00:00:00,2018-02-04 01:00:00,178.0,329.91,72.74,102.65,197.08,45.06,18.67,1.87,,,,,78.75,0.66,223.17,2.0,993.0,12.67,
2018-02-04 01:00:00,2018-02-04 02:00:00,183.58,320.73,76.95,108.12,56.6,22.74,3.78,1.27,,,,,73.92,0.77,244.33,1.92,992.92,13.18,
2018-02-04 02:00:00,2018-02-04 03:00:00,149.17,273.64,5.75,55.65,10.2,7.78,3.01,0.13,,,,,72.75,0.76,238.67,1.75,992.17,13.31,
2018-02-04 03:00:00,2018-02-04 04:00:00,145.08,261.73,1.37,52.46,50.18,45.9,18.81,0.97,,,,,74.42,0.76,250.83,1.83,992.0,12.81,
2018-02-04 04:00:00,2018-02-04 05:00:00,146.83,256.45,0.7,37.39,35.4,46.06,21.34,0.9,,,,,75.42,0.73,238.0,2.0,992.0,12.9,
2018-02-04 05:00:00,2018-02-04 06:00:00,145.17,251.45,1.32,47.99,46.02,44.9,18.41,1.03,,,,,83.42,0.94,217.67,2.0,992.0,11.32,
2018-02-04 06:00:00,2018-02-04 07:00:00,162.42,254.64,7.93,61.1,67.43,42.85,15.9,1.17,,,,,88.75,0.73,224.75,2.0,992.33,10.17,
2018-02-04 07:00:00,2018-02-04 08:00:00,164.0,252.27,22.7,55.52,83.07,52.69,17.34,1.32,,,,,90.67,0.92,217.42,16.75,993.0,9.72,
2018-02-04 08:00:00,2018-02-04 09:00:00,252.92,375.64,50.71,64.69,120.17,60.18,19.87,1.61,,,,,78.92,0.81,207.58,123.33,993.83,12.11,
2018-02-04 09:00:00,2018-02-04 10:00:00,305.0,453.45,15.22,63.22,79.6,53.99,29.0,1.47,,,,,60.25,0.75,217.83,213.92,994.08,15.96,
2018-02-04 10:00:00,2018-02-04 11:00:00,244.83,426.36,7.12,54.92,60.59,46.42,28.71,1.2,,,,,47.83,0.95,255.33,182.0,994.67,18.28,
2018-02-04 11:00:00,2018-02-04 12:00:00,164.75,337.55,4.48,46.4,48.99,41.97,26.43,1.09,,,,,38.75,0.97,262.42,331.25,994.0,20.23,
2018-02-04 12:00:00,2018-02-04 13:00:00,136.0,307.18,3.5,41.28,42.93,38.31,19.6,0.94,,,,,33.08,0.97,260.17,550.25,993.25,22.37,
2018-02-04 13:00:00,2018-02-04 14:00:00,98.25,241.36,2.02,29.92,30.4,30.95,18.26,0.81,,,,,27.08,0.94,237.67,583.17,992.67,23.62,
