From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (ug/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2018-02-01 10:00:00,2018-02-01 11:00:00,322.0,487.0,4.53,26.33,18.72,24.92,11.06,0.58,,,,,36.6,1.86,298.6,601.0,994.0,0.0,22.16,
2018-02-01 11:00:00,2018-02-01 12:00:00,245.92,427.42,5.96,26.08,32.14,37.77,20.26,0.94,,,,,32.75,1.98,296.42,602.0,994.0,0.0,24.08,
2018-02-01 12:00:00,2018-02-01 13:00:00,176.67,368.83,2.7,15.93,18.62,38.67,12.48,0.73,,,,,34.17,1.95,297.0,602.92,992.92,0.0,25.52,
2018-02-01 13:00:00,2018-02-01 14:00:00,149.0,333.75,1.33,11.37,23.08,24.69,4.28,0.61,,,,,32.92,2.58,310.58,603.0,991.83,0.0,26.36,
2018-02-01 14:00:00,2018-02-01 15:00:00,113.08,273.25,1.22,15.52,33.15,7.96,0.53,0.52,,,,,31.58,2.8,318.08,603.0,990.92,0.0,26.77,
2018-02-01 15:00:00,2018-02-01 16:00:00,93.5,239.58,0.84,36.4,27.24,5.14,0.87,0.44,,,,,33.58,2.22,317.25,592.33,990.0,0.0,26.68,
2018-02-01 16:00:00,2018-02-01 17:00:00,84.67,222.33,0.53,,38.09,5.96,0.2,0.6,,,,,37.25,2.18,312.83,351.75,990.0,0.0,25.67,
2018-02-01 17:00:00,2018-02-01 18:00:00,81.25,205.42,1.33,24.85,35.61,5.15,0.38,0.6,,,,,44.17,1.73,317.08,84.42,990.0,0.0,23.58,
2018-02-01 18:00:00,2018-02-01 19:00:00,80.08,214.08,1.6,19.21,23.12,37.9,6.05,0.87,,,,,56.75,1.15,286.0,4.5,990.0,0.0,20.87,
2018-02-01 19:00:00,2018-02-01 20:00:00,100.17,272.75,29.83,42.97,72.77,40.97,7.61,1.91,,,,,73.67,1.33,322.67,,990.0,0.0,18.43,
2018-02-01 20:00:00,2018-02-01 21:00:00,151.5,404.5,36.74,38.52,75.27,50.88,6.39,2.31,,,,,86.83,1.2,307.08,,990.25,0.0,16.98,
2018-02-01 21:00:00,2018-02-01 22:00:00,190.83,454.5,22.12,38.52,60.63,52.72,7.08,2.15,4.8,,,,89.58,1.62,325.17,,991.0,0.0,16.9,
2018-02-01 22:00:00,2018-02-01 23:00:00,220.58,449.75,7.72,32.76,40.45,55.84,7.43,1.53,,,,,89.08,1.89,328.42,,991.0,0.0,16.91,
2018-02-01 23:00:00,2018-02-02 00:00:00,236.75,406.83,4.71,29.78,34.48,54.68,6.41,1.33,,,,,91.5,1.73,327.67,,990.33,0.0,16.28,
2018-02-02 00:00:00,2018-02-02 01:00:00,178.42,347.08,2.87,24.13,27.0,45.9,6.11,0.99,,,,,88.83,1.63,324.58,,990.0,0.0,15.97,
2018-02-02 01:00:00,2018-02-02 02:00:00,137.25,285.17,10.24,20.22,30.45,40.67,5.38,0.83,,,,,93.67,0.93,294.58,,990.0,0.0,14.58,
2018-02-02 02:00:00,2018-02-02 03:00:00,123.92,252.5,87.87,26.75,114.61,42.18,4.72,1.2,,,,,99.0,0.49,249.33,,989.58,0.0,12.58,
2018-02-02 03:00:00,2018-02-02 04:00:00,152.33,344.42,124.64,26.04,150.69,40.31,4.74,1.3,,,,,99.0,0.63,219.75,,989.0,0.0,12.12,
2018-02-02 04:00:00,2018-02-02 05:00:00,146.75,342.92,107.49,26.67,134.16,48.86,4.73,1.26,,,,,99.0,0.45,220.33,,989.0,0.0,12.12,
2018-02-02 05:00:00,2018-02-02 06:00:00,156.08,325.5,101.55,22.93,124.48,46.59,4.15,1.24,,,,,99.0,1.16,190.75,,989.0,0.0,12.16,
2018-02-02 06:00:00,2018-02-02 07:00:00,150.58,275.42,79.94,21.38,101.32,49.86,5.1,1.29,,,,,99.0,0.77,261.67,,989.33,0.0,11.87,
2018-02-02 07:00:00,2018-02-02 08:00:00,154.58,271.0,76.39,23.74,100.15,52.46,6.06,1.52,,,,,99.0,0.88,277.83,40.33,990.0,0.0,12.19,
2018-02-02 08:00:00,2018-02-02 09:00:00,177.92,324.17,43.75,34.17,77.91,66.6,11.53,1.58,,,,,93.08,0.74,283.5,248.42,990.25,0.0,15.17,
2018-02-02 09:00:00,2018-02-02 10:00:00,278.08,413.33,30.17,50.46,65.95,34.12,5.58,1.47,,,,,75.58,1.23,279.17,576.25,991.0,0.0,18.62,
2018-02-02 10:00:00,2018-02-02 11:00:00,223.75,371.5,7.27,24.85,11.05,21.68,3.6,0.36,,,,,59.33,1.81,299.33,601.0,991.0,0.0,20.61,
2018-02-02 11:00:00,2018-02-02 12:00:00,180.42,332.17,6.53,24.01,30.56,59.85,14.16,0.99,,,,,49.33,1.96,300.08,601.75,991.0,0.0,22.33,
2018-02-02 12:00:00,2018-02-02 13:00:00,182.5,357.42,2.45,11.85,14.26,56.32,8.38,0.66,,,,,43.17,2.35,318.5,602.5,989.92,0.0,23.75,
2018-02-02 13:00:00,2018-02-02 14:00:00,123.42,273.83,1.16,10.55,53.78,6.21,0.28,0.59,,,,,41.75,2.21,333.25,603.0,989.0,0.0,24.78,
2018-02-02 14:00:00,2018-02-02 15:00:00,96.92,243.08,0.97,,49.68,5.68,0.2,0.49,,,,,35.25,2.39,309.25,603.0,988.33,0.0,25.55,
2018-02-02 15:00:00,2018-02-02 16:00:00,72.08,210.75,0.82,,46.26,5.77,0.2,0.5,,,,,37.75,2.21,300.0,598.75,988.0,0.0,25.36,
2018-02-02 16:00:00,2018-02-02 17:00:00,77.27,209.82,0.87,,43.5,5.2,0.2,0.49,,,,,40.83,2.53,315.75,380.33,988.0,0.0,24.29,
2018-02-02 17:00:00,2018-02-02 18:00:00,68.83,191.67,0.73,40.1,34.14,3.61,0.54,0.43,,,,,48.42,2.5,320.33,96.17,988.17,0.0,22.26,
2018-02-02 18:00:00,2018-02-02 19:00:00,71.67,190.92,0.54,11.43,28.02,19.83,2.39,0.67,,,,,57.67,2.05,319.0,6.75,989.0,0.0,20.17,
2018-02-02 19:00:00,2018-02-02 20:00:00,102.25,246.92,0.77,16.7,17.47,41.82,5.74,0.9,,,,,62.17,2.34,331.5,,989.58,0.0,18.86,
2018-02-02 20:00:00,2018-02-02 21:00:00,112.33,290.5,0.77,15.44,16.22,40.28,5.29,0.81,,,,,63.58,2.07,329.92,,990.33,0.0,17.96,
2018-02-02 21:00:00,2018-02-02 22:00:00,87.33,248.17,0.65,17.92,18.55,40.68,4.88,0.9,,,,,65.92,1.59,324.08,,991.0,0.0,17.09,
2018-02-02 22:00:00,2018-02-02 23:00:00,80.42,240.33,0.75,20.71,21.46,42.4,4.63,0.9,,,,,71.92,2.02,328.92,,991.0,0.0,16.38,
2018-02-02 23:00:00,2018-02-03 00:00:00,94.67,263.83,2.64,22.03,24.57,39.66,4.45,0.83,,,,,74.5,2.13,332.17,,991.0,0.0,15.93,
2018-02-03 00:00:00,2018-02-03 01:00:00,105.0,272.0,1.15,20.43,21.58,48.53,5.31,0.82,,,,,78.58,1.71,337.67,,991.0,0.0,15.36,
2018-02-03 01:00:00,2018-02-03 02:00:00,116.0,273.83,1.19,17.68,18.89,53.07,6.58,0.66,,,,,84.17,1.67,322.5,,991.0,0.0,14.77,
2018-02-03 02:00:00,2018-02-03 03:00:00,128.0,266.67,4.47,17.4,8.48,14.04,1.98,0.11,,,,,85.58,1.66,330.0,,991.0,0.0,14.16,
2018-02-03 03:00:00,2018-02-03 04:00:00,114.33,255.92,2.18,19.58,21.75,50.82,7.22,0.4,,,,,89.33,1.82,330.5,,991.0,0.0,13.57,
2018-02-03 04:00:00,2018-02-03 05:00:00,105.67,241.25,1.54,22.38,23.92,47.97,9.33,0.4,,,,,88.0,1.43,340.0,,991.0,0.0,13.43,
2018-02-03 05:00:00,2018-02-03 06:00:00,112.33,248.25,28.88,25.53,54.41,48.57,6.47,0.52,,,,,92.58,0.86,201.25,,991.0,0.0,12.16,
2018-02-03 06:00:00,2018-02-03 07:00:00,118.5,261.83,88.31,26.78,115.07,49.94,6.38,1.16,,,,,98.58,0.83,190.83,,991.83,0.0,10.43,
2018-02-03 07:00:00,2018-02-03 08:00:00,118.08,302.42,130.71,28.2,158.91,48.78,5.84,1.72,,,,,98.92,0.71,204.67,41.08,992.58,0.0,10.11,
2018-02-03 08:00:00,2018-02-03 09:00:00,141.83,324.33,118.87,36.88,155.72,53.25,9.63,2.16,,,,,86.75,0.69,230.25,242.67,993.25,0.0,13.6,
2018-02-03 09:00:00,2018-02-03 10:00:00,226.5,440.58,20.13,33.89,54.02,53.12,26.1,1.27,,,,,62.92,1.54,313.33,582.5,994.0,0.0,17.62,
2018-02-03 10:00:00,2018-02-03 11:00:00,226.67,413.42,4.64,20.81,25.46,56.47,21.29,0.93,,,,,51.75,2.63,235.17,600.0,994.0,0.0,19.1,
2018-02-03 11:00:00,2018-02-03 12:00:00,195.75,383.42,3.22,12.47,17.87,48.97,11.67,0.62,,,,,44.17,2.99,250.91,601.0,994.0,0.0,20.8,
2018-02-03 12:00:00,2018-02-03 13:00:00,120.11,268.5,1.45,17.4,33.59,17.28,3.16,0.45,,,,,36.22,3.17,346.78,601.33,993.22,0.0,22.17,
2018-02-03 13:00:00,2018-02-03 14:00:00,73.42,218.42,0.73,,39.73,6.93,0.2,0.37,,,,,28.33,3.5,341.83,602.0,992.17,0.0,22.93,
2018-02-03 14:00:00,2018-02-03 15:00:00,46.0,172.0,0.67,,34.03,5.67,0.11,0.3,,,,,23.33,2.79,322.67,602.0,992.0,0.0,23.62,
