From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2018-02-01 10:00:00,2018-02-01 11:00:00,372.0,517.0,24.3,50.8,45.48,43.82,6.48,0.59,,,,,36.6,0.94,332.6,221.2,995.0,0.0,23.06,
2018-02-01 11:00:00,2018-02-01 12:00:00,286.75,430.83,23.87,51.8,72.31,68.95,20.79,1.09,,,,,30.42,0.78,310.92,435.17,994.5,0.0,26.09,
2018-02-01 12:00:00,2018-02-01 13:00:00,213.92,370.75,15.3,45.24,57.98,61.21,13.43,0.88,,,,,28.25,0.87,288.83,534.33,993.42,0.0,27.73,
2018-02-01 13:00:00,2018-02-01 14:00:00,152.08,301.83,4.97,33.37,40.08,48.46,2.29,0.66,,,,,27.42,1.17,278.67,546.25,992.25,0.0,28.11,
2018-02-01 14:00:00,2018-02-01 15:00:00,113.08,244.67,1.52,23.6,25.12,51.77,3.18,0.5,,,,,26.08,0.99,289.67,462.17,991.17,0.0,28.9,
2018-02-01 15:00:00,2018-02-01 16:00:00,80.67,207.0,0.69,22.65,23.33,51.47,3.42,0.49,,,,,27.17,0.76,299.17,308.58,990.75,0.0,28.67,
2018-02-01 16:00:00,2018-02-01 17:00:00,78.0,205.83,0.87,24.37,25.23,51.68,3.34,0.44,,,,,30.5,0.94,282.17,160.25,990.0,0.0,27.0,
2018-02-01 17:00:00,2018-02-01 18:00:00,65.17,190.42,3.29,43.12,46.42,58.02,3.08,0.79,,,,,41.33,0.59,296.0,35.25,990.0,0.0,24.03,
2018-02-01 18:00:00,2018-02-01 19:00:00,84.17,231.17,41.86,68.1,72.73,33.07,1.77,1.63,,,,,51.75,0.52,298.75,3.5,990.0,0.0,21.12,
2018-02-01 19:00:00,2018-02-01 20:00:00,123.58,290.0,72.24,109.57,103.4,32.43,2.42,2.94,,,,,59.42,0.57,326.42,3.0,990.0,0.0,19.44,
2018-02-01 20:00:00,2018-02-01 21:00:00,167.33,407.75,56.47,184.27,77.79,6.1,1.39,3.57,,,,,64.0,0.54,322.5,3.0,991.0,0.0,19.03,
2018-02-01 21:00:00,2018-02-01 22:00:00,243.42,457.42,52.52,193.91,80.05,8.21,0.3,3.67,,,,,72.42,0.47,322.0,3.0,991.0,0.0,18.22,
2018-02-01 22:00:00,2018-02-01 23:00:00,277.5,468.33,51.61,87.36,87.26,47.98,4.68,2.51,,,,,74.25,0.81,342.5,3.0,991.0,0.0,18.06,
2018-02-01 23:00:00,2018-02-02 00:00:00,243.33,399.33,26.39,35.6,61.13,63.08,4.72,1.18,,,,,71.08,0.92,346.0,3.0,991.0,0.0,17.98,
2018-02-02 00:00:00,2018-02-02 01:00:00,159.33,276.58,18.32,24.42,43.88,69.98,3.62,0.73,,,,,67.75,0.82,334.92,3.0,990.58,0.0,17.58,
2018-02-02 01:00:00,2018-02-02 02:00:00,119.0,222.92,26.94,40.62,62.8,55.04,1.91,0.69,,,,,74.08,0.6,267.58,3.0,990.0,0.0,16.53,
