From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (ng/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2018-02-01 10:00:00,2018-02-01 11:00:00,173.0,422.0,29.02,52.74,79.78,95.1,21.1,1.46,,,,,34.4,0.36,256.2,481.6,991.4,0.0,24.24,
2018-02-01 11:00:00,2018-02-01 12:00:00,177.58,452.25,13.97,38.86,50.82,90.4,19.73,1.12,,,,,28.75,0.49,239.58,561.33,991.0,0.0,26.1,
2018-02-01 12:00:00,2018-02-01 13:00:00,143.17,337.67,6.43,26.02,30.46,83.75,8.85,0.96,,,,,25.83,0.51,264.5,608.0,989.83,0.0,27.8,
2018-02-01 13:00:00,2018-02-01 14:00:00,110.67,290.33,3.82,20.57,22.38,82.23,7.03,0.82,,,,,26.17,0.58,270.67,588.83,988.75,0.0,28.11,
2018-02-01 14:00:00,2018-02-01 15:00:00,105.25,288.83,3.4,20.49,21.9,81.94,8.91,0.67,,,,,25.58,0.63,245.5,519.33,987.83,0.0,28.26,
2018-02-01 15:00:00,2018-02-01 16:00:00,103.17,269.75,6.77,24.43,34.84,67.57,6.93,0.55,,,,,27.5,0.51,245.83,350.08,987.0,0.0,27.87,
2018-02-01 16:00:00,2018-02-01 17:00:00,95.67,261.58,3.38,26.97,28.31,78.07,7.63,0.69,,,,,34.0,0.33,269.25,104.83,987.0,0.0,25.43,
2018-02-01 17:00:00,2018-02-01 18:00:00,99.58,267.42,8.07,51.49,57.69,81.37,9.23,1.38,,,,,46.17,0.32,290.17,32.67,987.0,0.0,22.48,
2018-02-01 18:00:00,2018-02-01 19:00:00,124.75,335.83,64.69,97.02,129.73,80.97,10.41,3.72,,,,,58.5,0.21,296.75,3.17,987.0,0.0,19.53,
2018-02-01 19:00:00,2018-02-01 20:00:00,246.17,628.0,75.73,189.82,119.54,12.26,3.48,5.55,,,,,67.42,0.1,204.75,4.75,987.5,0.0,18.19,
2018-02-01 20:00:00,2018-02-01 21:00:00,297.33,753.92,60.68,193.56,122.98,9.14,2.58,5.37,,,,,77.08,0.12,205.42,5.0,988.0,0.0,16.78,
2018-02-01 21:00:00,2018-02-01 22:00:00,288.27,688.75,53.54,192.22,121.23,8.17,2.15,4.23,,,,,83.75,0.11,199.58,5.42,988.0,0.0,15.94,
2018-02-01 22:00:00,2018-02-01 23:00:00,210.92,507.83,47.64,191.13,122.52,8.39,1.92,4.45,,,,,88.75,0.15,247.17,4.67,988.0,0.0,15.38,
2018-02-01 23:00:00,2018-02-02 00:00:00,206.75,510.33,53.71,175.03,113.22,6.53,3.87,3.48,,,,,92.92,0.13,255.0,4.75,988.0,0.0,14.71,
2018-02-02 00:00:00,2018-02-02 01:00:00,187.75,444.17,36.38,159.54,118.31,6.77,1.37,3.09,,,,,94.5,0.17,225.42,4.67,987.92,0.0,14.33,
2018-02-02 01:00:00,2018-02-02 02:00:00,165.09,379.33,30.6,158.15,15.78,8.66,1.31,0.29,,,,,95.58,0.13,235.25,3.67,987.0,0.0,13.92,
2018-02-02 02:00:00,2018-02-02 03:00:00,138.25,332.75,57.89,52.14,92.53,89.43,4.79,1.57,,,,,94.5,0.17,261.17,3.75,986.92,0.0,13.57,
2018-02-02 03:00:00,2018-02-02 04:00:00,105.75,250.17,37.43,77.46,106.12,21.66,1.49,1.12,,,,,93.83,0.15,235.08,3.33,986.25,0.0,13.51,
2018-02-02 04:00:00,2018-02-02 05:00:00,102.08,240.25,77.65,50.83,106.53,77.09,4.57,1.39,,,,,95.17,0.18,224.25,3.5,986.0,0.0,13.37,
2018-02-02 05:00:00,2018-02-02 06:00:00,107.5,295.92,73.86,52.74,111.08,83.1,4.37,1.69,,,,,96.67,0.17,252.0,2.33,986.0,0.0,13.1,
2018-02-02 06:00:00,2018-02-02 07:00:00,136.42,330.33,42.3,24.34,64.64,112.48,5.46,1.07,,,,,97.25,0.25,303.58,1.25,986.67,0.0,12.78,
2018-02-02 07:00:00,2018-02-02 08:00:00,125.25,300.92,59.1,27.81,84.83,117.92,5.65,1.76,,,,,95.25,0.22,260.25,21.5,987.08,0.0,13.21,
2018-02-02 08:00:00,2018-02-02 09:00:00,174.42,428.17,45.79,137.42,111.39,38.85,3.17,2.12,,,,,81.25,0.28,227.42,116.83,987.83,0.0,15.97,
2018-02-02 09:00:00,2018-02-02 10:00:00,205.58,517.92,55.78,72.93,106.57,96.1,11.9,1.73,,,,,67.0,0.45,239.5,231.67,988.0,0.0,18.77,
2018-02-02 10:00:00,2018-02-02 11:00:00,195.17,510.33,22.38,39.62,60.02,121.39,16.7,1.3,,,,,56.83,0.56,249.83,427.08,988.5,0.0,21.12,
2018-02-02 11:00:00,2018-02-02 12:00:00,173.83,450.33,11.94,36.82,51.58,107.53,15.27,1.11,,,,,45.92,0.52,232.42,559.67,988.0,0.0,23.8,
2018-02-02 12:00:00,2018-02-02 13:00:00,162.83,416.58,7.16,27.99,33.12,109.72,13.68,0.91,,,,,35.83,0.54,275.08,634.42,986.92,0.0,26.32,
2018-02-02 13:00:00,2018-02-02 14:00:00,142.75,307.67,4.06,22.11,24.16,101.22,5.81,0.69,,,,,30.83,0.49,256.08,598.83,986.0,0.0,27.16,
2018-02-02 14:00:00,2018-02-02 15:00:00,119.92,259.5,3.32,17.21,18.48,96.04,6.33,0.58,,,,,30.25,0.52,257.67,514.75,985.25,0.0,27.33,
2018-02-02 15:00:00,2018-02-02 16:00:00,94.17,239.5,5.12,19.42,27.0,87.04,6.7,0.81,,,,,33.5,0.54,260.58,350.33,985.0,0.0,26.28,
2018-02-02 16:00:00,2018-02-02 17:00:00,99.33,263.67,3.42,21.03,22.45,93.28,6.77,0.77,,,,,39.75,0.43,260.58,106.0,985.0,0.0,24.22,
2018-02-02 17:00:00,2018-02-02 18:00:00,97.25,257.75,4.33,38.47,40.83,90.11,6.62,1.06,,,,,47.25,0.33,271.17,36.5,985.08,0.0,21.88,
2018-02-02 18:00:00,2018-02-02 19:00:00,104.33,287.25,19.81,53.32,71.13,92.81,7.06,1.97,,,,,57.25,0.26,275.25,3.75,986.0,0.0,19.13,
2018-02-02 19:00:00,2018-02-02 20:00:00,153.58,417.42,45.57,52.7,96.25,98.79,5.84,2.06,,,,,62.58,0.33,277.5,3.75,986.58,0.0,17.47,
2018-02-02 20:00:00,2018-02-02 21:00:00,144.25,344.67,64.59,49.45,112.07,98.53,7.08,2.39,,,,,68.58,0.22,281.92,4.33,987.58,0.0,16.47,
2018-02-02 21:00:00,2018-02-02 22:00:00,161.33,397.5,59.62,45.8,103.42,101.14,7.66,1.78,,,,,70.58,0.28,277.92,5.0,988.08,0.0,15.97,
2018-02-02 22:00:00,2018-02-02 23:00:00,153.83,342.5,40.21,42.38,80.58,102.43,7.79,1.36,,,,,73.25,0.23,252.33,5.0,988.17,0.0,14.95,
2018-02-02 23:00:00,2018-02-03 00:00:00,140.27,311.55,33.87,45.85,75.73,91.52,7.24,1.1,,,,,72.42,0.26,225.75,4.75,988.42,0.0,14.57,
2018-02-03 00:00:00,2018-02-03 01:00:00,116.0,259.0,16.38,37.74,52.09,91.78,6.69,0.93,,,,,74.17,0.17,193.5,5.17,988.67,0.0,14.22,
2018-02-03 01:00:00,2018-02-03 02:00:00,92.0,222.0,38.13,77.64,95.81,21.22,1.06,0.9,,,,,74.5,0.21,282.67,3.5,988.0,0.0,14.24,
2018-02-03 02:00:00,2018-02-03 03:00:00,92.0,207.0,33.7,32.2,18.46,12.83,2.18,2.99,,,,,69.58,0.34,276.92,3.17,988.0,0.0,14.4,
2018-02-03 03:00:00,2018-02-03 04:00:00,90.0,195.0,14.18,35.53,49.63,77.74,6.97,0.5,,,,,77.42,0.14,225.08,4.42,988.0,0.0,13.22,
2018-02-03 04:00:00,2018-02-03 05:00:00,86.0,163.0,9.42,32.92,51.7,69.17,4.7,0.62,,,,,82.42,0.2,219.75,4.5,988.08,0.0,12.61,
2018-02-03 05:00:00,2018-02-03 06:00:00,105.0,177.0,47.66,122.37,107.84,29.47,2.04,2.39,,,,,88.92,0.15,240.83,4.17,988.17,0.0,11.97,
2018-02-03 06:00:00,2018-02-03 07:00:00,340.0,423.0,65.27,83.1,116.18,65.12,3.93,2.06,,,,,93.83,0.18,250.0,3.5,989.0,0.0,11.47,
2018-02-03 07:00:00,2018-02-03 08:00:00,284.0,337.0,36.96,165.62,123.55,6.08,1.37,2.88,,,,,92.67,0.19,282.08,22.5,989.83,0.0,11.84,
2018-02-03 08:00:00,2018-02-03 09:00:00,449.0,527.0,42.58,121.47,101.54,54.69,6.54,1.89,,,,,69.92,0.18,211.42,118.33,991.0,0.0,15.71,
2018-02-03 09:00:00,2018-02-03 10:00:00,255.0,464.0,32.65,45.09,75.52,104.62,18.08,1.26,,,,,52.75,0.39,261.75,245.17,991.0,0.0,19.03,
2018-02-03 10:00:00,2018-02-03 11:00:00,251.0,396.0,14.9,38.29,51.16,105.27,13.57,1.13,,,,,40.08,0.53,268.92,449.58,991.0,0.0,21.83,
2018-02-03 11:00:00,2018-02-03 12:00:00,224.0,359.0,5.98,25.85,29.82,99.08,12.51,0.85,,,,,29.5,0.65,286.42,548.58,991.0,0.0,23.92,
2018-02-03 12:00:00,2018-02-03 13:00:00,171.0,301.0,4.22,18.55,20.74,83.07,9.46,0.57,,,,,24.25,0.74,285.17,646.5,990.33,0.0,25.17,
2018-02-03 13:00:00,2018-02-03 14:00:00,105.0,205.0,3.73,14.57,16.3,76.99,5.18,0.38,,,,,23.17,0.63,278.33,649.58,989.25,0.0,25.63,
2018-02-03 14:00:00,2018-02-03 15:00:00,80.0,189.0,7.65,36.03,24.48,25.43,3.03,0.15,,,,,20.92,0.63,268.83,572.17,989.0,0.0,25.34,
2018-02-03 15:00:00,2018-02-03 16:00:00,57.0,152.0,9.25,25.55,43.16,15.17,1.67,0.14,,,,,22.0,0.63,267.33,425.58,988.25,0.0,24.76,
2018-02-03 16:00:00,2018-02-03 17:00:00,51.0,157.0,3.1,14.2,15.32,66.95,6.53,0.07,,,,,27.42,0.48,269.08,90.58,988.17,0.0,22.38,
2018-02-03 17:00:00,2018-02-03 18:00:00,59.0,171.0,3.49,24.31,25.78,66.46,6.93,0.28,,,,,30.5,0.47,272.0,33.17,989.0,0.0,20.0,
2018-02-03 18:00:00,2018-02-03 19:00:00,72.0,201.0,6.67,44.95,49.61,76.35,7.2,1.27,,,,,44.75,0.4,279.33,4.42,989.0,0.0,17.08,
2018-02-03 19:00:00,2018-02-03 20:00:00,177.0,327.0,23.38,55.42,76.78,80.82,3.97,1.79,,,,,52.75,0.34,284.25,4.17,989.58,0.0,15.42,
2018-02-03 20:00:00,2018-02-03 21:00:00,161.0,334.0,40.98,50.44,89.46,83.86,7.4,2.04,,,,,63.08,0.27,285.83,3.5,990.0,0.0,14.13,
