From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree C),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2018-03-01 00:00:00,2018-03-01 01:00:00,,221.25,115.94,103.69,220.14,33.02,26.82,3.25,3.09,4.3,3.98,,83.58,0.51,324.67,2.0,984.0,0.0,18.68,
2018-03-01 01:00:00,2018-03-01 02:00:00,,237.58,99.55,206.48,72.94,33.88,31.3,2.87,81.66,6.42,2.47,,85.42,0.63,281.17,2.0,984.0,0.0,18.27,
2018-03-01 02:00:00,2018-03-01 03:00:00,,230.75,75.2,87.7,185.3,35.3,8.78,1.65,3.47,1.24,5.0,,82.33,1.09,307.0,2.0,983.42,0.0,18.32,
2018-03-01 03:00:00,2018-03-01 04:00:00,,207.08,89.16,90.64,209.07,37.13,32.4,2.08,2.89,,3.3,,80.67,1.32,310.5,2.0,983.0,0.0,18.63,
2018-03-01 04:00:00,2018-03-01 05:00:00,,210.5,69.63,83.42,174.8,40.74,31.96,1.72,3.08,,2.29,,84.75,0.88,318.25,2.0,983.0,0.0,17.77,
2018-03-01 05:00:00,2018-03-01 06:00:00,,194.5,23.23,78.46,104.9,40.28,40.82,1.38,3.41,1.5,1.54,,84.83,1.02,289.58,2.0,983.0,0.0,17.55,
2018-03-01 06:00:00,2018-03-01 07:00:00,,201.25,18.89,72.38,93.21,42.48,31.91,1.4,3.56,1.5,1.33,,91.42,0.67,241.83,3.42,983.33,0.0,16.19,
2018-03-01 07:00:00,2018-03-01 08:00:00,,214.83,30.83,70.36,108.48,51.96,32.28,1.78,5.31,,1.53,,88.0,0.81,254.67,51.75,984.0,0.0,17.16,
2018-03-01 08:00:00,2018-03-01 09:00:00,,274.67,26.37,78.32,108.9,56.21,48.75,1.91,26.33,,1.62,,68.58,1.53,285.0,259.0,984.67,0.0,21.72,
2018-03-01 09:00:00,2018-03-01 10:00:00,,299.25,15.15,84.08,98.68,50.96,54.71,1.63,55.12,,0.97,,56.17,1.35,335.58,366.0,985.0,0.0,24.79,
2018-03-01 10:00:00,2018-03-01 11:00:00,,225.83,14.49,85.49,99.03,49.72,50.92,1.63,66.38,,0.33,,49.5,1.86,313.58,382.83,985.0,0.0,25.59,
2018-03-01 11:00:00,2018-03-01 12:00:00,,222.67,19.77,73.72,75.77,50.81,56.23,1.34,103.37,0.2,0.25,,38.25,1.45,318.75,568.42,984.83,0.0,28.63,
2018-03-01 12:00:00,2018-03-01 13:00:00,,299.08,5.4,61.46,64.22,47.32,89.33,1.34,165.42,0.2,0.2,,32.58,1.75,315.17,588.33,984.0,0.0,29.7,
2018-03-01 13:00:00,2018-03-01 14:00:00,,250.08,4.39,59.4,60.93,39.9,75.48,1.23,182.32,,0.2,,29.17,2.1,319.17,403.0,983.67,0.0,30.4,
2018-03-01 14:00:00,2018-03-01 15:00:00,,220.25,4.08,50.36,52.12,33.81,56.42,1.11,175.64,,0.2,,30.08,2.41,323.0,344.08,982.92,0.0,29.75,
2018-03-01 15:00:00,2018-03-01 16:00:00,,206.08,4.44,45.87,48.5,30.05,51.89,1.03,154.84,,0.17,,29.5,2.23,327.08,184.42,982.0,0.0,30.49,
2018-03-01 16:00:00,2018-03-01 17:00:00,,171.08,5.33,54.96,58.12,25.77,42.95,1.09,113.34,,0.18,,30.67,1.98,330.0,165.08,982.0,0.0,29.15,
2018-03-01 17:00:00,2018-03-01 18:00:00,55.0,148.75,22.33,75.09,74.38,22.0,26.02,1.05,62.18,0.3,0.22,,31.83,1.62,333.17,85.08,982.0,0.0,27.78,
2018-03-01 18:00:00,2018-03-01 19:00:00,41.25,136.0,69.15,135.05,135.23,24.18,22.59,1.03,24.8,1.08,0.9,,39.58,1.05,344.92,9.17,981.5,0.0,25.11,
2018-03-01 19:00:00,2018-03-01 20:00:00,51.92,190.0,136.13,353.68,64.8,26.03,26.3,,3.41,2.04,1.29,,44.25,0.7,334.08,2.0,981.92,0.0,22.42,
2018-03-01 20:00:00,2018-03-01 21:00:00,51.17,194.08,128.37,249.97,106.17,26.14,19.4,,3.27,2.16,1.57,,47.5,0.68,124.42,2.58,982.17,0.0,20.93,
2018-03-01 21:00:00,2018-03-01 22:00:00,51.0,196.75,108.37,126.77,236.74,36.3,29.14,,3.07,2.3,2.23,,53.83,0.96,21.33,3.0,982.08,0.0,21.5,
2018-03-01 22:00:00,2018-03-01 23:00:00,,262.08,103.16,116.07,235.17,42.02,36.95,,3.72,2.4,2.21,,61.33,0.56,56.75,3.0,982.0,0.0,20.96,
2018-03-01 23:00:00,2018-03-02 00:00:00,,375.25,112.0,186.33,116.53,43.41,34.88,0.02,55.37,2.45,1.55,,74.83,0.53,125.17,3.0,982.0,0.0,19.29,
2018-03-02 00:00:00,2018-03-02 01:00:00,,365.91,116.07,206.29,44.62,49.1,2.6,0.02,70.52,2.09,0.87,,77.25,0.59,215.08,2.17,982.0,0.0,18.99,
2018-03-02 01:00:00,2018-03-02 02:00:00,,361.25,118.14,195.22,52.62,58.2,,0.02,61.34,2.02,0.81,,76.33,0.63,253.42,2.08,982.0,0.0,19.26,
2018-03-02 02:00:00,2018-03-02 03:00:00,,425.17,82.5,135.4,107.85,13.18,3.3,0.02,16.4,1.14,1.55,,77.5,0.83,258.58,2.0,981.67,0.0,18.73,
2018-03-02 03:00:00,2018-03-02 04:00:00,,392.5,58.28,96.72,171.19,48.22,42.63,,4.63,,2.09,,78.5,0.61,234.83,2.0,981.0,0.0,18.42,
2018-03-02 04:00:00,2018-03-02 05:00:00,,325.75,59.73,95.47,172.12,47.93,44.23,,3.71,,2.02,,79.0,0.63,236.33,2.0,981.0,0.0,17.8,
2018-03-02 05:00:00,2018-03-02 06:00:00,,285.17,47.76,98.78,158.33,48.7,43.86,,3.73,1.8,1.86,,78.17,0.72,241.83,2.0,981.25,0.0,17.4,
2018-03-02 06:00:00,2018-03-02 07:00:00,,248.08,18.94,75.04,95.58,45.27,42.1,,5.31,1.8,1.43,,71.5,0.68,215.67,3.42,982.0,0.0,17.17,
2018-03-02 07:00:00,2018-03-02 08:00:00,,184.5,39.35,50.05,43.08,43.25,41.6,0.02,4.74,0.85,0.57,,52.83,0.96,169.92,52.92,982.0,0.0,19.57,
2018-03-02 08:00:00,2018-03-02 09:00:00,,169.83,45.63,49.03,37.7,39.26,,0.04,4.98,0.69,0.35,,46.17,0.74,177.17,219.0,982.83,0.0,22.97,
2018-03-02 09:00:00,2018-03-02 10:00:00,,208.42,46.92,48.81,41.02,37.66,,0.11,3.99,1.13,0.34,,40.5,1.12,307.17,396.75,983.08,0.0,26.71,
