From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (),WD (degree),SR (),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2018-03-01 00:00:00,2018-03-01 01:00:00,124.42,268.08,204.42,176.91,336.9,48.1,17.71,3.52,2.42,2.17,7.01,,84.0,0.63,310.08,3.08,989.25,0.0,19.24,
2018-03-01 01:00:00,2018-03-01 02:00:00,135.0,280.67,155.66,250.75,224.89,42.87,13.47,3.27,2.62,5.52,6.1,,86.42,0.63,326.42,3.0,989.0,0.0,18.75,
2018-03-01 02:00:00,2018-03-01 03:00:00,136.0,263.67,162.16,85.66,306.0,26.63,14.41,2.14,1.94,1.25,9.28,,84.08,0.95,321.0,3.0,988.75,0.0,18.42,
2018-03-01 03:00:00,2018-03-01 04:00:00,122.25,231.75,134.07,80.02,262.72,56.42,18.85,2.2,1.52,1.17,8.11,,85.08,0.87,322.5,3.0,988.0,0.0,17.98,
2018-03-01 04:00:00,2018-03-01 05:00:00,122.83,218.0,111.71,85.61,211.57,59.02,19.07,1.91,1.8,0.87,6.97,,89.42,0.58,316.17,3.0,988.0,0.0,17.12,
2018-03-01 05:00:00,2018-03-01 06:00:00,127.58,210.58,117.27,68.03,228.04,68.67,16.59,1.81,1.88,,,,92.17,0.7,314.83,3.0,988.0,0.0,16.79,
2018-03-01 06:00:00,2018-03-01 07:00:00,147.25,250.33,149.65,60.6,252.88,70.14,19.05,1.94,1.93,,,,91.25,0.85,307.83,4.0,988.5,0.0,17.02,
2018-03-01 07:00:00,2018-03-01 08:00:00,171.92,292.5,205.93,86.1,369.76,85.67,30.43,2.3,2.67,,,,84.33,1.05,302.17,45.58,989.08,0.0,18.31,
2018-03-01 08:00:00,2018-03-01 09:00:00,248.25,392.25,103.49,97.23,235.29,51.19,65.2,1.93,6.09,,,,72.58,1.38,282.42,167.92,989.92,0.0,20.85,
2018-03-01 09:00:00,2018-03-01 10:00:00,296.25,445.92,33.17,96.16,135.25,94.67,49.35,1.58,25.14,,,,61.5,1.38,321.25,213.5,990.0,0.0,23.07,
2018-03-01 10:00:00,2018-03-01 11:00:00,234.92,367.5,20.63,66.13,86.07,75.59,36.11,1.27,65.26,,,,51.5,2.07,296.17,385.0,990.5,0.0,25.1,
2018-03-01 11:00:00,2018-03-01 12:00:00,157.5,290.33,8.21,47.96,55.68,86.78,39.3,1.23,115.15,,,,42.83,1.76,303.58,361.0,990.0,0.0,26.69,
2018-03-01 12:00:00,2018-03-01 13:00:00,160.17,266.58,3.69,48.46,49.79,73.9,43.32,0.98,148.88,0.6,3.57,,34.08,1.9,303.92,461.83,989.42,0.0,28.37,
2018-03-01 13:00:00,2018-03-01 14:00:00,104.17,202.67,5.93,41.15,42.6,52.01,29.78,0.8,138.98,0.85,3.53,,31.17,2.87,301.83,302.08,989.0,0.0,28.76,
2018-03-01 14:00:00,2018-03-01 15:00:00,66.92,174.08,2.79,33.36,34.63,48.77,24.74,0.73,118.83,0.47,3.4,,33.33,2.78,303.33,356.67,988.0,0.0,28.95,
2018-03-01 15:00:00,2018-03-01 16:00:00,73.17,164.67,4.96,30.28,32.77,46.47,24.85,0.57,89.41,0.66,2.66,,29.67,2.77,312.25,276.0,987.08,0.0,29.55,
2018-03-01 16:00:00,2018-03-01 17:00:00,49.25,132.83,5.85,37.0,37.76,38.93,11.28,0.56,65.01,0.47,2.42,,31.0,2.67,303.33,116.83,987.0,0.0,28.24,
2018-03-01 17:00:00,2018-03-01 18:00:00,40.58,132.75,3.53,58.51,58.83,41.61,21.62,0.82,50.18,0.43,3.66,,35.33,1.58,323.42,61.42,987.0,0.0,27.35,
2018-03-01 18:00:00,2018-03-01 19:00:00,45.5,150.42,20.56,91.67,94.6,39.52,19.5,1.0,17.53,0.59,3.52,,37.75,1.06,313.83,8.58,987.0,0.0,25.02,
2018-03-01 19:00:00,2018-03-01 20:00:00,39.58,137.33,89.39,111.3,182.12,33.35,17.32,1.69,9.65,1.09,3.7,,42.83,0.68,298.58,3.0,987.0,0.0,21.89,
2018-03-01 20:00:00,2018-03-01 21:00:00,43.58,191.92,113.17,482.3,44.71,29.23,0.84,3.77,1.67,6.81,1.68,,52.67,0.38,277.25,3.17,987.25,0.0,20.73,
2018-03-01 21:00:00,2018-03-01 22:00:00,77.92,289.58,147.05,172.7,251.48,47.1,22.45,2.77,1.71,2.77,6.2,,61.5,0.36,170.67,3.75,987.58,0.0,20.78,
2018-03-01 22:00:00,2018-03-01 23:00:00,104.83,324.58,142.66,100.48,276.15,49.58,23.58,2.54,1.99,1.85,4.39,,72.92,0.45,249.42,3.17,987.08,0.0,19.97,
2018-03-01 23:00:00,2018-03-02 00:00:00,140.0,272.92,194.38,107.59,357.24,53.54,24.32,3.37,2.38,1.27,5.02,,79.08,0.27,188.92,3.58,987.75,0.0,19.23,
2018-03-02 00:00:00,2018-03-02 01:00:00,172.33,286.33,106.4,,67.07,28.76,0.95,5.43,3.17,6.22,1.49,,83.33,0.68,301.75,3.08,987.17,0.0,18.97,
2018-03-02 01:00:00,2018-03-02 02:00:00,208.92,347.58,92.99,,69.79,32.98,1.37,5.2,3.52,7.79,2.12,,81.58,0.89,314.92,3.0,987.0,0.0,19.36,
2018-03-02 02:00:00,2018-03-02 03:00:00,230.33,363.08,124.84,392.12,146.7,17.6,6.64,4.14,3.04,3.52,3.12,,83.0,0.86,314.67,3.0,987.0,0.0,19.07,
2018-03-02 03:00:00,2018-03-02 04:00:00,243.0,354.83,88.44,492.59,73.59,30.54,1.3,4.66,2.96,7.41,1.73,,87.17,0.81,314.75,3.0,987.0,0.0,18.41,
2018-03-02 04:00:00,2018-03-02 05:00:00,239.42,334.75,162.66,295.39,251.1,54.81,12.12,3.98,2.3,5.18,3.5,,86.17,0.88,302.42,3.0,986.25,0.0,18.15,
2018-03-02 05:00:00,2018-03-02 06:00:00,208.75,303.67,172.65,86.93,323.46,69.99,19.08,2.87,2.07,1.12,6.74,,83.17,0.51,269.92,3.0,987.0,0.0,17.78,
2018-03-02 06:00:00,2018-03-02 07:00:00,176.67,274.42,155.06,88.43,233.99,57.05,11.08,2.77,3.72,2.58,5.56,,86.42,0.44,119.42,4.5,987.0,0.0,17.25,
2018-03-02 07:00:00,2018-03-02 08:00:00,178.58,275.67,148.75,76.74,247.71,65.37,13.91,2.95,5.22,2.12,6.2,,83.75,0.41,133.58,43.67,987.08,0.0,18.01,
