From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
2018-03-01 00:00:00,2018-03-01 01:00:00,179.0,390.0,101.72,49.8,189.3,71.93,8.91,2.01,10.17,0.6,12.12,,76.33,0.31,127.83,2.58,989.25,0.0,19.85,
2018-03-01 01:00:00,2018-03-01 02:00:00,149.0,338.0,67.73,141.66,115.92,34.38,3.43,2.0,68.91,7.72,3.83,,79.17,0.22,256.58,2.42,989.0,0.0,19.34,
2018-03-01 02:00:00,2018-03-01 03:00:00,188.0,396.0,81.25,43.75,51.51,31.93,1.43,0.55,11.62,5.92,5.63,,77.5,0.4,103.5,2.0,988.92,0.0,19.46,
2018-03-01 03:00:00,2018-03-01 04:00:00,179.0,332.0,76.14,47.39,151.02,89.58,8.63,1.85,9.79,0.6,11.11,,78.08,0.48,55.08,2.42,988.0,0.0,19.26,
2018-03-01 04:00:00,2018-03-01 05:00:00,227.0,422.0,60.15,48.91,129.84,82.57,9.14,1.68,9.27,0.66,10.77,,78.08,0.56,60.58,2.25,988.0,0.0,19.15,
2018-03-01 05:00:00,2018-03-01 06:00:00,313.0,553.0,47.48,53.33,108.45,71.45,8.15,1.57,9.42,1.64,9.13,,84.17,0.28,192.25,2.33,988.0,0.0,18.11,
2018-03-01 06:00:00,2018-03-01 07:00:00,256.0,414.0,49.85,52.31,110.32,63.03,7.6,1.58,9.14,1.48,8.18,,84.5,0.33,91.83,3.33,988.33,0.0,18.19,
2018-03-01 07:00:00,2018-03-01 08:00:00,305.0,464.0,60.68,51.92,133.38,70.54,8.98,1.74,9.04,0.68,8.33,,79.5,0.43,126.0,58.75,989.0,0.0,19.24,
2018-03-01 08:00:00,2018-03-01 09:00:00,382.0,560.0,56.47,54.73,129.96,74.55,7.92,1.87,8.94,1.75,6.38,,68.83,0.61,156.58,144.25,989.67,0.0,21.39,
2018-03-01 09:00:00,2018-03-01 10:00:00,381.0,542.0,39.92,63.1,114.39,84.99,8.85,2.08,8.85,0.6,7.41,,58.75,0.81,56.25,249.25,990.08,0.0,23.44,
2018-03-01 10:00:00,2018-03-01 11:00:00,311.0,484.0,25.83,58.56,90.29,94.43,9.35,2.12,8.92,0.6,7.68,,48.17,1.3,38.5,233.08,990.17,0.0,25.52,
