From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2018-07-04 18:00:00,2018-07-04 19:00:00,79.0,251.0,,,,,17.6,0.9,100.9,1.2,40.1,,56.1,1.4,176.9,26.4,972.7,33.5,0.0
2018-07-04 19:00:00,2018-07-04 20:00:00,73.0,239.75,0.4,24.55,13.45,36.4,15.6,0.92,80.72,1.33,26.45,,62.95,1.6,150.33,8.12,973.1,32.82,0.0
2018-07-04 20:00:00,2018-07-04 21:00:00,52.75,185.75,0.9,18.2,10.5,39.0,12.8,0.9,46.58,1.32,40.8,,73.93,1.85,157.53,4.02,973.9,31.65,0.0
2018-07-04 21:00:00,2018-07-04 22:00:00,46.0,120.25,0.7,14.75,8.4,41.65,13.12,0.9,37.0,1.05,11.12,,77.85,1.78,157.2,4.12,974.72,30.95,0.0
2018-07-04 22:00:00,2018-07-04 23:00:00,46.5,105.75,0.28,14.3,7.85,41.75,12.0,0.9,33.32,1.13,9.38,,80.0,1.43,154.5,4.15,975.22,30.22,0.0
2018-07-04 23:00:00,2018-07-05 00:00:00,47.0,101.25,0.52,11.13,6.33,41.15,12.53,0.83,32.35,1.15,8.85,,81.08,1.33,161.08,4.12,975.3,29.85,0.0
2018-07-05 00:00:00,2018-07-05 01:00:00,44.75,87.25,0.65,11.57,6.75,39.88,13.7,0.78,26.2,1.25,8.45,,82.7,1.28,176.23,4.05,975.02,29.6,0.0
2018-07-05 01:00:00,2018-07-05 02:00:00,46.25,79.0,0.7,11.48,6.65,38.75,13.47,0.7,26.1,1.1,9.47,,84.2,1.08,200.33,3.95,975.0,29.25,0.0
2018-07-05 02:00:00,2018-07-05 03:00:00,44.25,77.5,0.5,9.3,5.3,39.7,10.1,,22.75,1.27,11.0,,84.23,1.3,176.5,3.97,974.65,29.07,0.0
2018-07-05 03:00:00,2018-07-05 04:00:00,51.25,81.5,0.4,10.1,5.8,40.2,11.2,0.72,29.35,1.08,11.35,,82.67,1.25,154.75,4.2,974.35,29.2,0.0
2018-07-05 04:00:00,2018-07-05 05:00:00,68.5,108.25,0.47,13.47,7.57,43.23,10.83,0.92,24.05,1.73,14.42,,85.93,1.1,186.5,4.07,974.07,28.63,0.0
2018-07-05 05:00:00,2018-07-05 06:00:00,65.0,117.0,1.35,16.9,10.05,45.9,12.88,0.95,21.47,3.5,14.88,,87.5,0.8,191.92,11.0,974.35,28.25,0.0
2018-07-05 06:00:00,2018-07-05 07:00:00,65.25,129.5,1.62,15.73,9.78,42.98,12.83,0.9,18.18,1.68,12.62,,80.75,0.93,189.93,83.85,974.77,29.4,0.0
2018-07-05 07:00:00,2018-07-05 08:00:00,57.25,128.25,2.47,17.28,11.2,39.85,15.7,0.83,25.25,2.28,14.7,,67.52,1.15,235.52,222.55,975.2,31.4,0.0
2018-07-05 08:00:00,2018-07-05 09:00:00,59.5,150.75,2.9,27.8,17.17,38.22,18.8,1.1,39.62,1.9,17.15,,64.62,1.38,292.3,284.68,975.75,33.05,0.0
2018-07-05 09:00:00,2018-07-05 10:00:00,62.25,153.5,1.43,21.15,12.4,41.18,20.65,0.87,59.73,1.47,15.6,,58.1,1.03,240.55,535.55,976.35,35.1,0.0
2018-07-05 10:00:00,2018-07-05 11:00:00,57.25,139.25,0.92,14.75,8.58,43.0,17.53,0.8,65.62,1.15,16.88,,56.9,2.43,50.67,545.28,976.88,35.58,0.0
2018-07-05 11:00:00,2018-07-05 12:00:00,61.75,170.0,0.77,10.7,6.3,46.1,14.15,0.8,76.85,1.32,59.57,,56.53,2.07,67.02,766.08,976.88,35.7,0.0
2018-07-05 12:00:00,2018-07-05 13:00:00,73.5,162.75,0.63,10.43,6.02,45.5,12.88,0.75,87.58,1.1,37.85,,50.12,2.25,66.1,765.25,976.37,37.3,0.0
2018-07-05 13:00:00,2018-07-05 14:00:00,71.0,172.0,0.78,10.47,6.2,44.55,11.3,0.7,86.7,1.22,56.88,,48.75,2.75,67.43,547.75,975.53,37.27,0.0
2018-07-05 14:00:00,2018-07-05 15:00:00,57.5,186.25,0.52,9.05,5.23,41.47,12.25,0.63,77.4,0.98,98.57,,44.97,3.28,70.8,608.22,974.88,37.73,0.0
