From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2018-07-03 18:00:00,2018-07-03 19:00:00,31.0,166.0,0.1,20.0,10.7,36.9,29.7,0.8,42.1,1.1,27.9,,55.0,1.3,301.6,13.6,972.6,32.2,0.0
2018-07-03 19:00:00,2018-07-03 20:00:00,31.0,162.0,0.25,22.7,12.12,38.38,30.05,0.87,31.88,2.75,34.12,,55.53,1.17,286.85,4.3,972.77,32.1,0.0
2018-07-03 20:00:00,2018-07-03 21:00:00,33.5,164.5,0.83,31.28,17.37,37.3,26.97,1.18,10.02,3.05,56.58,,58.77,1.4,282.35,3.55,973.2,31.92,0.0
2018-07-03 21:00:00,2018-07-03 22:00:00,43.0,200.0,3.0,55.48,31.95,40.58,31.4,1.47,5.85,5.47,78.32,,64.37,1.47,287.75,3.57,973.85,32.05,0.0
2018-07-03 22:00:00,2018-07-03 23:00:00,53.0,229.5,5.9,55.63,34.4,44.62,29.77,1.45,17.0,4.8,66.52,,68.15,1.75,302.57,3.55,973.95,32.07,0.0
2018-07-03 23:00:00,2018-07-04 00:00:00,53.0,210.0,6.83,49.77,32.0,46.18,20.33,1.4,8.08,2.35,49.1,,71.28,1.55,313.85,3.52,973.72,31.87,0.0
2018-07-04 00:00:00,2018-07-04 01:00:00,51.0,169.5,4.87,41.2,25.88,45.33,13.77,1.18,5.53,0.33,28.07,,73.5,1.47,313.08,3.48,973.37,31.67,0.0
2018-07-04 01:00:00,2018-07-04 02:00:00,49.5,133.5,3.07,33.7,20.4,61.03,19.3,0.97,9.95,0.38,21.48,,76.32,1.5,235.6,3.43,972.73,31.33,0.0
2018-07-04 02:00:00,2018-07-04 03:00:00,50.0,126.5,3.33,28.2,17.73,57.0,19.9,0.93,6.95,0.23,21.75,,81.25,0.88,21.0,3.5,971.95,30.52,0.0
2018-07-04 03:00:00,2018-07-04 04:00:00,51.5,142.0,3.9,35.43,22.03,62.52,20.03,0.97,6.08,0.2,21.03,,82.65,0.87,320.18,3.5,972.1,30.0,0.0
