From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (),WS (m/s),WD (degree),SR (W/mt2),BP (),AT (),RF (mm)
2018-07-03 18:00:00,2018-07-03 19:00:00,22.0,123.0,0.9,25.0,14.1,34.4,8.3,1.0,47.9,2.2,69.3,,67.2,2.0,45.0,15.7,970.8,32.1,0.0
2018-07-03 19:00:00,2018-07-03 20:00:00,23.75,122.0,0.6,28.6,15.73,36.5,6.15,1.03,43.73,2.25,73.45,,67.58,2.18,51.03,4.68,971.05,31.55,0.0
2018-07-03 20:00:00,2018-07-03 21:00:00,32.0,121.0,0.75,41.8,22.82,34.6,6.07,1.27,28.7,3.3,79.55,,70.58,2.07,65.75,3.65,971.55,31.2,0.0
2018-07-03 21:00:00,2018-07-03 22:00:00,39.75,125.75,1.4,53.4,29.53,35.2,9.47,1.32,25.25,4.45,83.85,,76.35,1.25,97.72,3.55,972.1,30.8,0.0
2018-07-03 22:00:00,2018-07-03 23:00:00,38.5,126.25,5.52,69.57,41.5,41.35,11.1,1.37,13.15,4.17,87.25,,79.82,1.38,116.5,3.5,972.28,30.55,0.0
2018-07-03 23:00:00,2018-07-04 00:00:00,44.5,139.0,1.95,53.73,30.12,42.9,7.83,1.15,9.75,3.62,85.82,,81.45,1.32,116.0,3.48,971.92,30.47,0.0
2018-07-04 00:00:00,2018-07-04 01:00:00,38.75,101.0,3.6,31.15,19.48,46.22,10.62,0.9,17.13,3.05,81.73,,77.77,1.32,123.85,3.48,971.57,30.72,0.0
2018-07-04 01:00:00,2018-07-04 02:00:00,33.0,90.5,3.57,24.5,15.67,48.47,10.97,0.73,28.6,2.57,79.18,,76.3,0.8,115.7,3.48,970.87,30.43,0.0
2018-07-04 02:00:00,2018-07-04 03:00:00,30.25,80.0,2.35,33.5,19.55,36.95,7.5,0.8,16.88,2.2,78.3,,80.2,1.05,152.48,3.38,970.15,30.17,0.0
2018-07-04 03:00:00,2018-07-04 04:00:00,41.0,87.0,2.62,32.07,19.22,47.27,5.05,0.8,13.58,1.97,79.77,,86.55,0.7,119.85,3.5,970.3,28.8,0.0
2018-07-04 04:00:00,2018-07-04 05:00:00,41.5,81.0,1.95,28.37,16.68,45.73,5.08,0.8,11.4,2.15,80.8,,86.43,1.38,101.85,3.57,970.88,28.57,0.0
2018-07-04 05:00:00,2018-07-04 06:00:00,31.5,78.75,1.08,27.35,15.4,45.22,5.15,0.67,21.78,1.9,81.03,,80.83,2.2,103.83,13.35,971.9,27.9,0.0
2018-07-04 06:00:00,2018-07-04 07:00:00,23.75,68.0,1.48,23.25,13.6,42.7,5.35,0.63,30.05,1.7,78.98,,87.12,2.35,34.4,29.3,973.23,26.53,0.5
2018-07-04 07:00:00,2018-07-04 08:00:00,24.0,53.75,8.82,28.2,22.1,42.67,7.17,0.8,25.18,1.4,81.97,,92.25,1.45,122.57,75.1,974.08,26.22,0.0
2018-07-04 08:00:00,2018-07-04 09:00:00,27.5,49.0,3.37,27.63,17.42,41.62,7.07,0.87,31.97,1.67,86.4,,82.77,2.15,92.77,359.98,974.35,28.25,0.0
2018-07-04 09:00:00,2018-07-04 10:00:00,30.25,56.75,6.05,33.3,22.65,43.33,10.95,0.9,60.83,1.6,84.73,,71.62,2.68,101.17,620.2,974.55,30.65,0.0
2018-07-04 10:00:00,2018-07-04 11:00:00,32.75,67.25,26.07,41.78,43.3,42.73,18.17,0.95,60.13,1.65,80.35,,60.65,1.42,117.65,640.43,974.85,33.35,0.0
2018-07-04 11:00:00,2018-07-04 12:00:00,29.5,87.25,11.7,35.93,28.57,40.45,15.33,0.95,81.42,1.5,74.3,,59.97,1.15,111.9,535.05,974.85,33.43,0.0
2018-07-04 12:00:00,2018-07-04 13:00:00,31.5,102.0,40.85,80.65,75.73,35.43,15.7,1.45,71.1,1.42,73.08,,52.73,1.23,187.0,725.35,973.8,35.62,0.0
2018-07-04 13:00:00,2018-07-04 14:00:00,35.75,123.0,55.45,83.37,87.47,31.7,18.73,1.57,61.3,1.63,72.23,,49.88,1.23,209.58,498.15,972.8,35.88,0.0
2018-07-04 14:00:00,2018-07-04 15:00:00,40.75,155.75,26.43,45.6,58.73,30.42,13.87,0.97,98.73,1.78,70.77,,47.55,0.98,121.75,654.3,971.78,36.43,0.0
2018-07-04 15:00:00,2018-07-04 16:00:00,31.5,153.0,63.93,84.17,95.9,27.75,10.8,1.23,57.35,1.68,69.45,,43.32,0.98,214.78,527.02,971.15,37.7,0.0
2018-07-04 16:00:00,2018-07-04 17:00:00,33.0,234.25,55.85,78.85,87.6,29.02,9.12,1.3,53.27,1.7,68.8,,42.4,1.3,250.97,365.32,970.85,37.55,0.0
2018-07-04 17:00:00,2018-07-04 18:00:00,32.5,171.0,35.27,58.3,58.7,28.38,8.52,1.1,76.63,2.07,70.8,,49.7,1.18,237.95,178.18,970.75,35.57,0.0
2018-07-04 18:00:00,2018-07-04 19:00:00,33.75,156.75,0.83,38.8,21.3,30.4,10.3,1.0,96.78,2.57,75.8,,56.95,1.1,50.6,43.75,971.38,33.27,0.0
2018-07-04 19:00:00,2018-07-04 20:00:00,44.0,131.5,0.8,45.32,24.75,31.65,12.97,1.28,71.7,2.77,82.65,,60.35,1.52,45.98,4.7,972.0,32.7,0.0
2018-07-04 20:00:00,2018-07-04 21:00:00,45.25,143.5,0.55,25.92,14.25,32.47,9.87,1.0,52.7,3.3,86.05,,68.8,2.17,50.8,3.6,972.92,31.8,0.0
2018-07-04 21:00:00,2018-07-04 22:00:00,31.5,99.75,0.48,25.75,14.1,34.58,6.65,1.05,45.4,3.9,86.43,,72.2,2.15,51.33,3.55,973.52,31.28,0.0
2018-07-04 22:00:00,2018-07-04 23:00:00,33.0,86.25,0.5,22.65,12.47,37.5,5.5,0.97,41.35,3.65,85.23,,73.45,1.97,47.5,3.62,973.98,30.93,0.0
