From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (),Toluene (),Eth-Benzene (),MP-Xylene (),RH (%),WD (degree),SR (W/mt2),BP (mmHg),AT (),RF (mm),Xylene ()
2018-11-11 14:00:00,2018-11-11 15:00:00,130.0,274.0,1.7,54.0,30.1,,26.4,0.8,,3.4,15.3,,,31.8,272.6,214.1,991.2,29.6,0.0,0.1
2018-11-11 15:00:00,2018-11-11 16:00:00,133.25,279.0,1.7,55.07,30.67,25.55,27.97,0.83,,3.68,15.08,,,37.53,271.0,139.6,991.17,28.8,0.0,0.1
2018-11-11 16:00:00,2018-11-11 17:00:00,140.25,281.0,1.58,55.88,30.97,24.3,24.47,0.85,103.53,3.33,12.27,,,53.48,258.1,46.28,991.35,25.35,0.0,0.1
2018-11-11 17:00:00,2018-11-11 18:00:00,153.25,332.0,1.63,64.05,35.4,28.57,20.25,1.4,83.53,3.85,13.33,,,70.07,229.28,6.1,991.52,20.88,0.0,0.15
2018-11-11 18:00:00,2018-11-11 19:00:00,247.0,575.0,1.75,80.07,43.98,37.9,17.8,1.68,53.57,6.8,19.02,,,80.07,228.13,4.62,992.02,19.2,0.0,0.3
2018-11-11 19:00:00,2018-11-11 20:00:00,325.0,568.75,1.85,109.37,59.65,45.68,,1.75,28.7,7.2,21.68,,,86.4,228.3,4.7,992.57,17.85,0.0,0.4
2018-11-11 20:00:00,2018-11-11 21:00:00,299.5,444.75,1.9,108.33,59.15,46.98,,1.97,19.33,8.15,21.98,,,91.02,231.0,4.7,992.77,16.75,0.0,0.43
2018-11-11 21:00:00,2018-11-11 22:00:00,331.0,467.25,1.63,99.6,54.3,45.43,,2.0,18.9,9.25,20.68,,,92.32,235.5,4.6,992.77,16.17,0.0,0.5
2018-11-11 22:00:00,2018-11-11 23:00:00,332.0,512.5,1.77,92.4,50.6,44.78,,2.0,14.68,9.6,19.72,,,95.25,235.53,4.65,992.55,15.72,0.0,0.43
2018-11-11 23:00:00,2018-11-12 00:00:00,329.5,500.0,1.97,91.75,50.43,43.23,,1.83,6.93,9.25,18.55,,,95.65,235.5,4.6,992.15,15.55,0.0,0.43
2018-11-12 00:00:00,2018-11-12 01:00:00,310.75,440.0,1.97,76.52,42.32,37.92,,1.75,4.77,8.38,15.65,,,97.75,235.27,4.57,991.88,14.77,0.0,0.3
2018-11-12 01:00:00,2018-11-12 02:00:00,304.75,391.0,2.03,58.77,32.9,34.93,,1.7,4.38,7.88,12.85,,,98.8,228.75,4.5,991.6,14.65,0.0,0.2
2018-11-12 02:00:00,2018-11-12 03:00:00,304.75,385.0,5.5,55.45,34.0,32.55,,1.7,1.68,7.8,12.75,,,99.45,218.6,4.45,991.4,14.48,0.0,0.25
2018-11-12 03:00:00,2018-11-12 04:00:00,293.5,363.75,5.82,54.48,33.68,31.65,,1.68,1.33,7.73,13.88,,,99.7,218.58,4.45,991.07,13.85,0.0,0.4
2018-11-12 04:00:00,2018-11-12 05:00:00,276.5,336.0,5.05,50.73,31.1,31.0,,1.55,2.28,7.45,13.7,,,99.7,218.58,4.5,990.85,13.42,0.0,0.4
2018-11-12 05:00:00,2018-11-12 06:00:00,263.0,321.75,3.17,50.93,29.62,32.42,,1.53,2.42,7.3,12.85,,,99.7,218.63,4.43,991.05,13.4,0.0,0.33
2018-11-12 06:00:00,2018-11-12 07:00:00,247.25,301.5,6.0,74.4,44.52,37.63,,1.6,2.38,8.48,15.42,,,99.7,218.8,11.3,991.3,13.33,0.0,0.38
2018-11-12 07:00:00,2018-11-12 08:00:00,230.25,294.0,6.83,73.97,44.93,40.15,,1.63,3.95,9.45,17.95,,,99.7,188.2,70.02,991.93,14.45,0.0,0.4
2018-11-12 08:00:00,2018-11-12 09:00:00,245.5,334.0,8.05,97.02,58.15,42.28,,1.75,13.5,9.5,17.8,,,96.15,178.5,174.43,992.45,17.38,0.0,0.4
2018-11-12 09:00:00,2018-11-12 10:00:00,262.0,400.0,3.62,93.3,52.6,43.82,,1.7,44.95,8.73,16.28,,,72.4,276.47,260.47,992.65,21.88,0.0,0.33
2018-11-12 10:00:00,2018-11-12 11:00:00,302.75,441.75,2.9,101.45,56.35,47.05,28.63,1.55,88.95,8.02,16.03,,,59.65,281.03,362.3,992.35,25.07,0.0,0.23
2018-11-12 11:00:00,2018-11-12 12:00:00,287.0,458.5,1.35,100.43,53.93,52.3,21.9,1.45,125.57,7.67,20.3,,,47.77,273.62,413.15,991.58,27.28,0.0,0.23
2018-11-12 12:00:00,2018-11-12 13:00:00,244.75,414.0,1.33,71.23,38.93,31.67,19.62,1.5,121.37,5.32,15.3,,,39.62,252.45,419.95,990.5,28.52,0.0,0.08
2018-11-12 13:00:00,2018-11-12 14:00:00,187.25,324.75,1.5,68.82,37.88,30.25,17.45,5.1,137.27,2.75,3.5,,,35.78,258.32,355.65,989.63,29.55,0.0,0.0
2018-11-12 14:00:00,2018-11-12 15:00:00,147.25,271.5,1.63,56.43,31.32,28.05,14.85,2.16,136.75,2.45,3.15,,,32.55,269.75,270.8,988.98,30.25,0.0,0.0
