From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2019-02-12 13:00:00,2019-02-12 14:00:00,,147.0,1.2,33.2,34.4,22.1,16.8,1.2,32.3,7.8,,2.0,,34.7,19.7,1.4,93.5,514.1,1.5,,0.0
2019-02-12 14:00:00,2019-02-12 15:00:00,43.0,118.8,0.85,34.08,35.0,21.73,15.3,1.05,30.42,5.43,,1.4,,34.3,19.25,1.35,92.3,471.3,1.23,,0.0
2019-02-12 15:00:00,2019-02-12 16:00:00,67.0,154.9,1.62,41.33,43.02,31.0,14.47,0.97,23.95,2.95,,0.95,,34.38,15.28,1.33,103.47,377.45,0.9,,0.0
2019-02-12 16:00:00,2019-02-12 17:00:00,46.0,139.47,3.32,42.55,45.9,30.38,17.65,0.82,17.22,1.73,,0.78,,34.12,14.12,1.02,99.32,240.45,0.82,,0.0
2019-02-12 17:00:00,2019-02-12 18:00:00,44.0,128.3,8.57,50.95,59.55,23.73,19.42,0.97,17.02,1.55,,0.8,,31.65,21.85,0.93,87.32,98.22,0.8,,0.5
2019-02-12 18:00:00,2019-02-12 19:00:00,57.0,142.55,6.82,53.33,60.17,18.7,17.67,1.12,15.65,1.65,,0.72,,28.33,31.82,0.55,82.0,27.83,0.83,,0.38
2019-02-12 19:00:00,2019-02-12 20:00:00,77.0,187.68,12.38,62.72,75.17,15.98,39.55,1.45,8.92,1.95,,0.7,,26.75,37.65,0.5,81.9,18.45,0.93,,0.0
2019-02-12 20:00:00,2019-02-12 21:00:00,107.0,222.03,19.9,53.05,73.0,17.55,17.1,1.55,4.6,2.45,,0.9,,24.45,44.88,0.17,240.98,18.73,1.18,,0.0
2019-02-12 21:00:00,2019-02-12 22:00:00,145.0,228.82,20.23,44.55,64.8,23.07,12.6,1.8,4.08,3.3,,1.55,,23.35,49.58,0.2,290.9,18.95,1.55,,0.0
2019-02-12 22:00:00,2019-02-12 23:00:00,210.0,327.12,25.38,39.15,64.6,26.85,10.85,1.93,4.5,4.4,,2.27,,22.17,54.1,0.12,299.0,18.73,2.0,,0.0
2019-02-12 23:00:00,2019-02-13 00:00:00,198.0,295.0,34.4,27.2,61.65,22.68,8.03,1.92,4.05,5.38,,2.88,,21.18,59.72,0.17,301.18,19.05,2.4,,0.0
2019-02-13 00:00:00,2019-02-13 01:00:00,131.0,218.25,31.9,20.02,52.0,23.15,7.43,1.77,4.12,5.2,,2.5,,21.88,57.88,0.1,250.93,18.73,2.25,,0.0
2019-02-13 01:00:00,2019-02-13 02:00:00,132.0,217.93,29.8,17.65,47.47,20.55,6.85,1.73,3.65,5.0,,2.55,,21.2,57.48,0.15,313.0,18.95,2.23,,0.62
2019-02-13 02:00:00,2019-02-13 03:00:00,139.0,201.47,36.88,14.88,51.77,18.48,5.97,1.92,3.62,5.05,,2.4,,21.0,58.85,0.12,111.38,18.75,2.05,,0.25
2019-02-13 03:00:00,2019-02-13 04:00:00,166.0,251.5,48.9,22.7,71.67,19.55,11.97,1.8,3.65,5.08,,2.43,,21.77,58.53,0.38,84.0,19.3,2.08,,0.0
2019-02-13 04:00:00,2019-02-13 05:00:00,160.0,231.62,51.8,18.05,69.88,23.3,11.68,1.77,3.7,4.58,,2.3,,21.43,58.28,0.15,215.8,18.9,2.1,,0.25
2019-02-13 05:00:00,2019-02-13 06:00:00,161.0,254.3,62.12,14.45,76.6,19.7,9.3,1.68,3.6,4.65,,2.38,,19.82,65.6,0.25,283.05,18.68,2.1,,0.0
2019-02-13 06:00:00,2019-02-13 07:00:00,175.0,256.93,69.9,14.12,84.05,19.6,15.93,2.08,4.15,5.58,,2.38,,20.73,57.75,0.2,289.15,18.65,2.2,,0.0
