From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),AT (degree C),RF (mm)
2019-01-10 10:00:00,2019-01-10 11:00:00,182.58,274.26,5.03,5.39,0.14,,10.88,1.32,52.04,0.0,0.0,,,,1.42,285.72,493.88,0.0,,0.0
2019-01-10 11:00:00,2019-01-10 12:00:00,172.77,262.76,3.04,4.53,1.33,,10.54,0.97,52.03,0.0,0.0,,,52.73,1.72,302.78,500.94,0.0,,0.0
2019-01-10 12:00:00,2019-01-10 13:00:00,150.13,241.26,1.98,3.84,1.58,0.05,1.86,0.67,38.0,,,,,42.82,1.32,305.95,614.37,,,0.0
2019-01-10 13:00:00,2019-01-10 14:00:00,,,2.02,3.86,1.56,0.06,2.15,0.65,39.7,,,,,35.06,0.85,310.82,548.01,,,0.0
2019-01-10 14:00:00,2019-01-10 15:00:00,35.72,58.88,1.42,3.46,1.71,0.01,7.76,0.59,44.81,,,,,31.98,0.61,309.13,373.76,,,0.0
2019-01-10 15:00:00,2019-01-10 16:00:00,51.76,87.72,1.24,3.46,1.96,0.02,6.49,0.56,49.42,,,,,33.2,0.4,166.19,293.38,,,0.0
2019-01-10 16:00:00,2019-01-10 17:00:00,52.58,107.52,1.55,3.59,1.75,0.06,8.7,0.63,51.26,,,,,45.63,1.21,68.06,118.51,,,0.0
2019-01-10 17:00:00,2019-01-10 18:00:00,67.52,131.4,0.95,3.38,2.28,0.05,8.7,1.01,40.21,,,,,60.14,0.79,80.02,19.03,,,0.0
2019-01-10 18:00:00,2019-01-10 19:00:00,118.84,190.28,2.5,4.27,2.0,0.14,11.31,1.36,26.77,,,,,68.03,0.74,78.88,,,,0.0
2019-01-10 19:00:00,2019-01-10 20:00:00,173.81,249.78,53.8,31.37,0.17,0.46,12.06,2.28,7.96,,,,,76.58,0.33,102.8,,,,0.0
