From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT ()
2017-05-01 00:00:00,2017-05-01 01:00:00,,89.9,8.27,7.43,,26.43,0.37,7.7,,23.67,73.82,0.67,79.34,7.5,1012.0,-1.6,
2017-05-01 01:00:00,2017-05-01 02:00:00,,,,,,,,,,,,,,,,,
2017-05-01 02:00:00,2017-05-01 03:00:00,,,,,,,,,,,,,,,,,
2017-05-01 03:00:00,2017-05-01 04:00:00,,,,,,,,,,,,,,,,,
2017-05-01 04:00:00,2017-05-01 05:00:00,,,,,,,,,,,,,,,,,
2017-05-01 05:00:00,2017-05-01 06:00:00,,,,,,,,,,,,,,,,,
2017-05-01 06:00:00,2017-05-01 07:00:00,,,,,,,,,,,,,,,,,
2017-05-01 07:00:00,2017-05-01 08:00:00,,,,,,,,,,,,,,,,,
2017-05-01 08:00:00,2017-05-01 09:00:00,,,,,,,,,,,,,,,,,
2017-05-01 09:00:00,2017-05-01 10:00:00,,,,,,,,,,,,,,,,,
2017-05-01 10:00:00,2017-05-01 11:00:00,,,,,,,,,,,,,,,,,
2017-05-01 11:00:00,2017-05-01 12:00:00,,,,,,,,,,,,,,,,,
2017-05-01 12:00:00,2017-05-01 13:00:00,,,,,,,,,,,,,,,,,
2017-05-01 13:00:00,2017-05-01 14:00:00,,,,,,,,,,,,,,,,,
2017-05-01 14:00:00,2017-05-01 15:00:00,,,,,,,,,,,,,,,,,
2017-05-01 15:00:00,2017-05-01 16:00:00,,,,,,,,,,,,,,,,,
2017-05-01 16:00:00,2017-05-01 17:00:00,,,,,,,,,,,,,,,,,
2017-05-01 17:00:00,2017-05-01 18:00:00,,,,,,,,,,,,,,,,,
2017-05-01 18:00:00,2017-05-01 19:00:00,,,,,,,,,,,,,,,,,
2017-05-01 19:00:00,2017-05-01 20:00:00,,,,,,,,,,,,,,,,,
2017-05-01 20:00:00,2017-05-01 21:00:00,,,,,,,,,,,,,,,,,
2017-05-01 21:00:00,2017-05-01 22:00:00,,,,,,,,,,,,,,,,,
2017-05-01 22:00:00,2017-05-01 23:00:00,,,,,,,,,,,,,,,,,
2017-05-01 23:00:00,2017-05-02 00:00:00,,,,,,,,,,,,,,,,,
2017-05-02 00:00:00,2017-05-02 01:00:00,,,,,,,,,,,,,,,,,
2017-05-02 01:00:00,2017-05-02 02:00:00,,,,,,,,,,,,,,,,,
2017-05-02 02:00:00,2017-05-02 03:00:00,,,,,,,,,,,,,,,,,
