From Date,To Date,PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),SR (W/mt2),BP (mmHg),CH4 (ug/m3),NMHC (ug/m3),THC (ug/m3)
2015-12-01 00:00:00,2015-12-01 01:00:00,29.62,14.05,24.34,38.39,4.34,1.22,,,,,,,,,,,,,
2015-12-01 01:00:00,2015-12-01 02:00:00,18.29,8.55,15.9,24.45,6.27,1.11,,,,,,,,,,,,,
2015-12-01 02:00:00,2015-12-01 03:00:00,16.08,7.04,17.11,24.15,4.56,1.0,,,,,,,,,,,,,
2015-12-01 03:00:00,2015-12-01 04:00:00,18.02,10.73,16.91,27.64,7.27,0.3,,,,,,,,,,,,,
2015-12-01 04:00:00,2015-12-01 05:00:00,15.43,22.29,27.07,49.36,8.73,0.42,,,,,,,,,,,,,
2015-12-01 05:00:00,2015-12-01 06:00:00,33.25,32.92,32.38,65.3,4.9,0.56,,,,,,,,,,,,,
2015-12-01 06:00:00,2015-12-01 07:00:00,42.55,55.84,49.15,104.99,12.88,1.48,,,,,,,,,,,,,
2015-12-01 07:00:00,2015-12-01 08:00:00,122.26,55.1,46.7,101.8,6.11,1.72,,,,,,,,,,,,,
2015-12-01 08:00:00,2015-12-01 09:00:00,92.66,41.84,40.8,82.64,5.66,1.73,,,,,,,,,,,,,
2015-12-01 09:00:00,2015-12-01 10:00:00,147.36,35.48,34.79,70.26,6.16,1.22,,,,,,,,,,,,,
2015-12-01 10:00:00,2015-12-01 11:00:00,107.85,36.7,38.8,75.51,4.57,1.31,,,,,,,,,,,,,
2015-12-01 11:00:00,2015-12-01 12:00:00,166.07,32.93,35.2,68.14,1.59,1.06,,,,,,,,,,,,,
2015-12-01 12:00:00,2015-12-01 13:00:00,73.08,27.57,32.65,60.23,5.29,1.71,,,,,,,,,,,,,
2015-12-01 13:00:00,2015-12-01 14:00:00,139.4,33.03,34.91,67.94,7.21,2.05,,,,,,,,,,,,,
2015-12-01 14:00:00,2015-12-01 15:00:00,105.79,38.3,39.27,58.77,7.47,2.21,,,,,,,,,,,,,
2015-12-01 15:00:00,2015-12-01 16:00:00,119.09,42.59,43.05,52.79,14.92,1.27,,,,,,,,,,,,,
2015-12-01 16:00:00,2015-12-01 17:00:00,109.47,40.34,44.03,51.58,,1.76,,,,,,,,,,,,,
2015-12-01 17:00:00,2015-12-01 18:00:00,123.36,30.22,36.4,40.31,7.33,1.29,,,,,,,,,,,,,
2015-12-01 18:00:00,2015-12-01 19:00:00,54.6,38.22,41.25,48.64,4.4,1.56,,,,,,,,,,,,,
2015-12-01 19:00:00,2015-12-01 20:00:00,72.4,44.71,41.77,53.74,22.18,1.48,,,,,,,,,,,,,
2015-12-01 20:00:00,2015-12-01 21:00:00,120.64,52.09,44.53,60.6,15.97,1.94,,,,,,,,,,,,,
2015-12-01 21:00:00,2015-12-01 22:00:00,131.75,48.38,40.52,55.86,23.35,1.83,,,,,,,,,,,,,
2015-12-01 22:00:00,2015-12-01 23:00:00,107.69,56.24,46.49,64.65,16.48,2.15,,,,,,,,,,,,,
2015-12-01 23:00:00,2015-12-02 00:00:00,97.94,34.32,31.17,40.82,22.09,0.87,,,,,,,,,,,,,
2015-12-02 00:00:00,2015-12-02 01:00:00,54.25,23.28,25.94,30.02,20.39,0.55,,,,,,,,,,,,,
2015-12-02 01:00:00,2015-12-02 02:00:00,23.9,7.93,12.91,12.22,25.0,,,,,,,,,,,,,,
2015-12-02 02:00:00,2015-12-02 03:00:00,8.07,6.29,11.78,10.43,24.55,,,,,,,,,,,,,,
2015-12-02 03:00:00,2015-12-02 04:00:00,0.77,7.67,13.58,12.35,22.81,0.57,,,,,,,,,,,,,
2015-12-02 04:00:00,2015-12-02 05:00:00,0.05,21.3,23.71,27.47,22.4,0.55,,,,,,,,,,,,,
2015-12-02 05:00:00,2015-12-02 06:00:00,5.64,28.96,29.57,36.04,24.16,0.69,,,,,,,,,,,,,
2015-12-02 06:00:00,2015-12-02 07:00:00,19.96,24.55,26.86,31.42,27.88,1.04,,,,,,,,,,,,,
2015-12-02 07:00:00,2015-12-02 08:00:00,4.91,20.97,24.07,27.39,29.58,1.46,,,,,,,,,,,,,
2015-12-02 08:00:00,2015-12-02 09:00:00,17.75,15.33,20.83,21.6,32.42,1.16,,,,,,,,,,,,,
2015-12-02 09:00:00,2015-12-02 10:00:00,25.85,15.91,21.76,22.49,34.24,1.73,,,,,,,,,,,,,
2015-12-02 10:00:00,2015-12-02 11:00:00,88.42,17.13,23.04,24.02,36.92,2.05,,,,,,,,,,,,,
2015-12-02 11:00:00,2015-12-02 12:00:00,46.96,18.38,23.59,25.22,40.17,1.75,,,,,,,,,,,,,
2015-12-02 12:00:00,2015-12-02 13:00:00,34.02,15.46,24.85,23.66,40.93,1.68,,,,,,,,,,,,,
2015-12-02 13:00:00,2015-12-02 14:00:00,16.2,15.35,22.5,22.43,40.24,1.62,,,,,,,,,,,,,
2015-12-02 14:00:00,2015-12-02 15:00:00,31.86,16.09,22.64,23.05,45.88,1.39,,,,,,,,,,,,,
2015-12-02 15:00:00,2015-12-02 16:00:00,19.76,16.18,22.97,23.29,49.25,1.5,,,,,,,,,,,,,
2015-12-02 16:00:00,2015-12-02 17:00:00,69.47,14.95,23.21,22.48,52.38,1.23,,,,,,,,,,,,,
2015-12-02 17:00:00,2015-12-02 18:00:00,51.57,15.72,24.47,23.67,41.46,1.56,,,,,,,,,,,,,
2015-12-02 18:00:00,2015-12-02 19:00:00,32.12,18.33,24.99,25.87,29.45,1.93,,,,,,,,,,,,,
2015-12-02 19:00:00,2015-12-02 20:00:00,79.97,19.31,25.44,26.82,29.17,1.94,,,,,,,,,,,,,
2015-12-02 20:00:00,2015-12-02 21:00:00,95.49,19.21,25.47,26.76,30.86,1.61,,,,,,,,,,,,,
2015-12-02 21:00:00,2015-12-02 22:00:00,116.97,18.64,24.63,25.92,29.93,1.63,,,,,,,,,,,,,
2015-12-02 22:00:00,2015-12-02 23:00:00,94.73,18.09,24.81,25.6,30.41,1.19,,,,,,,,,,,,,
2015-12-02 23:00:00,2015-12-03 00:00:00,62.73,17.78,24.33,25.13,29.5,0.86,,,,,,,,,,,,,
2015-12-03 00:00:00,2015-12-03 01:00:00,50.7,10.29,18.76,16.83,29.72,0.67,,,,,,,,,,,,,
2015-12-03 01:00:00,2015-12-03 02:00:00,32.11,6.28,14.85,11.93,28.81,0.57,,,,,,,,,,,,,
2015-12-03 02:00:00,2015-12-03 03:00:00,35.27,5.31,14.02,10.8,29.9,0.41,,,,,,,,,,,,,
2015-12-03 03:00:00,2015-12-03 04:00:00,17.98,6.54,14.63,12.02,28.51,0.74,,,,,,,,,,,,,
2015-12-03 04:00:00,2015-12-03 05:00:00,36.37,12.81,19.61,19.12,29.39,0.78,,,,,,,,,,,,,
2015-12-03 05:00:00,2015-12-03 06:00:00,47.58,18.36,23.87,25.34,29.46,1.07,,,,,,,,,,,,,
2015-12-03 06:00:00,2015-12-03 07:00:00,50.2,24.72,27.93,32.07,30.11,1.0,,,,,,,,,,,,,
2015-12-03 07:00:00,2015-12-03 08:00:00,94.53,23.16,27.03,30.46,28.52,1.14,,,,,,,,,,,,,
2015-12-03 08:00:00,2015-12-03 09:00:00,136.29,17.26,24.11,24.64,29.87,0.98,,,,,,,,,,,,,
2015-12-03 09:00:00,2015-12-03 10:00:00,168.63,16.72,24.03,24.2,29.47,1.52,,,,,,,,,,,,,
2015-12-03 10:00:00,2015-12-03 11:00:00,156.39,17.15,24.96,24.97,31.91,1.49,,,,,,,,,,,,,
