From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),CH4 (),RF (mm),Xylene (ug/m3),AT (degree C)
2018-06-25 13:00:00,2018-06-25 14:00:00,36.0,117.0,60.0,30.3,64.9,25.6,6.3,,10.98,1.8,0.2,,,23.8,62.0,3.4,222.0,,702.0,,,,,27.9
2018-06-25 14:00:00,2018-06-25 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25 15:00:00,2018-06-25 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25 16:00:00,2018-06-25 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25 17:00:00,2018-06-25 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25 18:00:00,2018-06-25 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25 19:00:00,2018-06-25 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25 20:00:00,2018-06-25 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25 21:00:00,2018-06-25 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25 22:00:00,2018-06-25 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25 23:00:00,2018-06-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26 00:00:00,2018-06-26 01:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26 01:00:00,2018-06-26 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26 02:00:00,2018-06-26 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26 03:00:00,2018-06-26 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26 04:00:00,2018-06-26 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26 05:00:00,2018-06-26 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26 06:00:00,2018-06-26 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26 07:00:00,2018-06-26 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,
