From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (ug/m3),Ozone (ug/m3),Benzene (),Toluene (ug/m3),Eth-Benzene (ug/m3),Temp (degree C),RH (W/mt2),WS (m/s),WD (degree),BP (mmHg),VWS (m/s),AT (degree C)
2018-06-22 14:00:00,2018-06-22 15:00:00,18.0,74.0,7.6,42.3,28.8,9.2,6.0,0.5,14.5,0.2,2.3,,,53.0,1.6,298.0,703.0,,27.1
2018-06-22 15:00:00,2018-06-22 16:00:00,18.0,74.0,7.6,42.3,28.8,9.2,6.0,0.5,14.5,0.2,2.3,,,53.0,1.6,298.0,703.0,,27.1
2018-06-22 16:00:00,2018-06-22 17:00:00,18.0,74.0,7.6,42.3,28.8,9.2,6.0,0.5,14.5,0.2,2.3,,28.2,53.0,1.6,298.0,703.0,,27.1
2018-06-22 17:00:00,2018-06-22 18:00:00,,,,,,,,,,,,,,,,,,,
2018-06-22 18:00:00,2018-06-22 19:00:00,,,,,,,,,,,,,,,,,,,
2018-06-22 19:00:00,2018-06-22 20:00:00,,,,,,,,,,,,,,,,,,,
2018-06-22 20:00:00,2018-06-22 21:00:00,,,,,,,,,,,,,,,,,,,
2018-06-22 21:00:00,2018-06-22 22:00:00,,,,,,,,,,,,,,,,,,,
2018-06-22 22:00:00,2018-06-22 23:00:00,,,,,,,,,,,,,,,,,,,
2018-06-22 23:00:00,2018-06-23 00:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 00:00:00,2018-06-23 01:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 01:00:00,2018-06-23 02:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 02:00:00,2018-06-23 03:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 03:00:00,2018-06-23 04:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 04:00:00,2018-06-23 05:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 05:00:00,2018-06-23 06:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 06:00:00,2018-06-23 07:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 07:00:00,2018-06-23 08:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 08:00:00,2018-06-23 09:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 09:00:00,2018-06-23 10:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 10:00:00,2018-06-23 11:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 11:00:00,2018-06-23 12:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 12:00:00,2018-06-23 13:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 13:00:00,2018-06-23 14:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 14:00:00,2018-06-23 15:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 15:00:00,2018-06-23 16:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 16:00:00,2018-06-23 17:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 17:00:00,2018-06-23 18:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 18:00:00,2018-06-23 19:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 19:00:00,2018-06-23 20:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 20:00:00,2018-06-23 21:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 21:00:00,2018-06-23 22:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 22:00:00,2018-06-23 23:00:00,,,,,,,,,,,,,,,,,,,
2018-06-23 23:00:00,2018-06-24 00:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 00:00:00,2018-06-24 01:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 01:00:00,2018-06-24 02:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 02:00:00,2018-06-24 03:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 03:00:00,2018-06-24 04:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 04:00:00,2018-06-24 05:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 05:00:00,2018-06-24 06:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 06:00:00,2018-06-24 07:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 07:00:00,2018-06-24 08:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 08:00:00,2018-06-24 09:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 09:00:00,2018-06-24 10:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 10:00:00,2018-06-24 11:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 11:00:00,2018-06-24 12:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 12:00:00,2018-06-24 13:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 13:00:00,2018-06-24 14:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 14:00:00,2018-06-24 15:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 15:00:00,2018-06-24 16:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 16:00:00,2018-06-24 17:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 17:00:00,2018-06-24 18:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 18:00:00,2018-06-24 19:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 19:00:00,2018-06-24 20:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 20:00:00,2018-06-24 21:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 21:00:00,2018-06-24 22:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 22:00:00,2018-06-24 23:00:00,,,,,,,,,,,,,,,,,,,
2018-06-24 23:00:00,2018-06-25 00:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 00:00:00,2018-06-25 01:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 01:00:00,2018-06-25 02:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 02:00:00,2018-06-25 03:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 03:00:00,2018-06-25 04:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 04:00:00,2018-06-25 05:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 05:00:00,2018-06-25 06:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 06:00:00,2018-06-25 07:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 07:00:00,2018-06-25 08:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 08:00:00,2018-06-25 09:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 09:00:00,2018-06-25 10:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 10:00:00,2018-06-25 11:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 11:00:00,2018-06-25 12:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 12:00:00,2018-06-25 13:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 13:00:00,2018-06-25 14:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 14:00:00,2018-06-25 15:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 15:00:00,2018-06-25 16:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 16:00:00,2018-06-25 17:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 17:00:00,2018-06-25 18:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 18:00:00,2018-06-25 19:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 19:00:00,2018-06-25 20:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 20:00:00,2018-06-25 21:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 21:00:00,2018-06-25 22:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 22:00:00,2018-06-25 23:00:00,,,,,,,,,,,,,,,,,,,
2018-06-25 23:00:00,2018-06-26 00:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 00:00:00,2018-06-26 01:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 01:00:00,2018-06-26 02:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 02:00:00,2018-06-26 03:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 03:00:00,2018-06-26 04:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 04:00:00,2018-06-26 05:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 05:00:00,2018-06-26 06:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 06:00:00,2018-06-26 07:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 07:00:00,2018-06-26 08:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 08:00:00,2018-06-26 09:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 09:00:00,2018-06-26 10:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 10:00:00,2018-06-26 11:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 11:00:00,2018-06-26 12:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 12:00:00,2018-06-26 13:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 13:00:00,2018-06-26 14:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 14:00:00,2018-06-26 15:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 15:00:00,2018-06-26 16:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 16:00:00,2018-06-26 17:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 17:00:00,2018-06-26 18:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 18:00:00,2018-06-26 19:00:00,,,,,,,,,,,,,,,,,,,
2018-06-26 19:00:00,2018-06-26 20:00:00,,,,,,,,,,,,,,,,,,,
