From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),RF (mm),CH4 (),Xylene (ug/m3),AT (degree C)
2010-01-01 00:00:00,2010-01-01 01:00:00,,,,,223.57,,0.0,,0.0,0.0,0.51,,,,,,,1012.96,0.0,,,,23.51
2010-01-01 01:00:00,2010-01-01 02:00:00,,,,,242.38,,0.0,,0.0,0.0,0.94,,,,,,,1012.56,0.0,,,,23.43
2010-01-01 02:00:00,2010-01-01 03:00:00,,,,,270.61,,0.0,,0.0,0.0,1.0,,,,,,,1012.11,0.0,,,,22.85
2010-01-01 03:00:00,2010-01-01 04:00:00,,,,,275.7,,0.0,,0.0,0.0,1.11,,,,,,,1011.49,0.0,,,,22.78
2010-01-01 04:00:00,2010-01-01 05:00:00,,,,,189.91,,0.0,,0.0,0.0,0.71,,,,,,,1011.18,0.0,,,,22.38
2010-01-01 05:00:00,2010-01-01 06:00:00,,,,,126.87,,0.0,,0.0,0.0,0.2,,,,,,,1011.29,0.0,,,,23.05
2010-01-01 06:00:00,2010-01-01 07:00:00,,,,,196.16,,0.0,,0.0,0.0,0.22,,,,,,,1011.85,0.0,,,,22.48
2010-01-01 07:00:00,2010-01-01 08:00:00,,,,,252.44,,0.0,,0.0,0.0,0.1,,,,,,,1012.63,0.0,,,,22.43
2010-01-01 08:00:00,2010-01-01 09:00:00,,,,,245.79,,0.0,,0.0,0.0,0.07,,,,,,0.0,1013.66,0.0,,,,23.43
2010-01-01 09:00:00,2010-01-01 10:00:00,,,,,174.15,,0.0,,0.0,0.0,,,,,,,0.0,1014.37,0.0,,,,25.38
2010-01-01 10:00:00,2010-01-01 11:00:00,,,,,171.5,,0.0,,0.0,0.0,0.24,,,,,,0.0,1014.52,0.0,,,,27.99
2010-01-01 11:00:00,2010-01-01 12:00:00,,,,,142.59,,0.0,,0.0,0.0,0.24,,,,,,0.0,1014.03,0.0,,,,28.84
2010-01-01 12:00:00,2010-01-01 13:00:00,,,,,128.09,,0.0,,0.0,0.0,0.29,,,,,,0.0,1012.98,0.0,,,,31.13
2010-01-01 13:00:00,2010-01-01 14:00:00,,,,,97.42,,0.0,,0.0,0.0,0.09,,,,,,0.0,1011.68,0.0,,,,32.56
2010-01-01 14:00:00,2010-01-01 15:00:00,,,,,39.8,,0.0,,0.0,0.0,0.11,,,,,,0.0,1010.63,0.0,,,,32.8
2010-01-01 15:00:00,2010-01-01 16:00:00,,,,,35.07,,0.0,,0.0,0.0,,,,,,,0.0,1010.06,0.0,,,,32.27
2010-01-01 16:00:00,2010-01-01 17:00:00,,,,,25.82,,0.0,,,0.0,,,,,,,0.0,1010.1,0.0,,,,30.45
2010-01-01 17:00:00,2010-01-01 18:00:00,,,,,24.89,,0.0,,,0.0,,,,,,,0.0,1010.43,0.0,,,,29.29
2010-01-01 18:00:00,2010-01-01 19:00:00,,,,,28.78,,0.0,,,0.0,,,,,,,,1011.22,0.0,,,,27.83
2010-01-01 19:00:00,2010-01-01 20:00:00,,,,,34.72,,0.0,,,0.0,,,,,,,,1012.08,0.0,,,,26.94
2010-01-01 20:00:00,2010-01-01 21:00:00,,,,,48.59,,0.0,,0.0,0.0,,,,,,,,1012.94,0.0,,,,26.62
2010-01-01 21:00:00,2010-01-01 22:00:00,,,,,74.02,,0.0,,0.0,0.0,,,,,,,,1013.62,0.0,,,,26.49
2010-01-01 22:00:00,2010-01-01 23:00:00,,,,,224.27,,0.0,,0.0,0.0,0.27,,,,,,,1014.19,0.0,,,,26.01
2010-01-01 23:00:00,2010-01-02 00:00:00,,,,,284.32,,0.0,,0.0,0.0,0.93,,,,,,,1013.96,0.0,,,,26.34
2010-01-02 00:00:00,2010-01-02 01:00:00,,,,,221.35,,0.0,,0.0,0.0,1.41,,,,,,,1013.67,0.0,,,,25.21
2010-01-02 01:00:00,2010-01-02 02:00:00,,,,,224.79,,0.0,,0.0,0.0,1.21,,,,,,,1013.04,0.0,,,,25.19
2010-01-02 02:00:00,2010-01-02 03:00:00,,,,,172.98,,0.0,,0.0,0.0,0.56,,,,,,,1012.51,0.0,,,,25.27
2010-01-02 03:00:00,2010-01-02 04:00:00,,,,,136.58,,0.0,,0.0,0.0,0.42,,,,,,,1012.25,0.0,,,,25.14
2010-01-02 04:00:00,2010-01-02 05:00:00,,,,,136.58,,0.0,,0.0,0.0,0.58,,,,,,,1012.09,0.0,,,,24.64
2010-01-02 05:00:00,2010-01-02 06:00:00,,,,,166.04,,0.0,,0.0,0.0,0.15,,,,,,,1012.41,0.0,,,,24.48
2010-01-02 06:00:00,2010-01-02 07:00:00,,,,,207.08,,0.0,,0.0,0.0,0.4,,,,,,,1012.66,0.0,,,,24.32
2010-01-02 07:00:00,2010-01-02 08:00:00,,,,,221.67,,0.0,,0.0,0.0,0.16,,,,,,,1013.49,0.0,,,,24.28
2010-01-02 08:00:00,2010-01-02 09:00:00,,,,,247.3,,0.0,,0.0,0.0,0.18,,,,,,0.0,1014.58,0.0,,,,24.83
