From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2015-07-01 00:00:00,2015-07-01 01:00:00,22.0,46.0,0.7,2.34,2.86,84.06,3.44,0.66,5.49,0.01,0.93,0.75,,23.79,69.3,2.18,239.83,1.73,742.54,0.59,,0.17
2015-07-01 01:00:00,2015-07-01 02:00:00,16.0,39.0,0.55,2.52,2.96,81.94,3.54,0.27,5.2,0.0,0.98,0.79,,23.78,69.1,1.51,272.69,1.75,742.5,0.63,,0.0
2015-07-01 02:00:00,2015-07-01 03:00:00,18.0,44.0,0.77,2.57,3.35,78.48,3.43,0.31,5.37,0.0,1.18,1.01,,23.68,70.85,1.18,281.26,1.76,742.46,0.82,,0.0
2015-07-01 03:00:00,2015-07-01 04:00:00,14.0,47.0,0.74,1.76,2.51,81.96,3.54,0.29,5.19,0.0,1.03,0.87,,23.71,71.6,1.96,258.77,1.74,742.39,0.69,,0.0
2015-07-01 04:00:00,2015-07-01 05:00:00,15.0,51.0,0.75,1.9,2.59,76.42,3.61,0.23,4.8,0.0,1.13,0.95,,23.66,72.13,1.86,173.73,1.73,742.34,0.76,,0.0
2015-07-01 05:00:00,2015-07-01 06:00:00,13.0,40.0,1.11,2.75,3.86,76.46,3.65,0.35,4.22,0.0,1.21,1.01,,23.67,72.67,1.5,179.23,1.73,742.35,0.82,,0.08
2015-07-01 06:00:00,2015-07-01 07:00:00,24.0,56.0,3.24,3.12,6.37,76.92,3.72,0.75,4.73,0.02,1.12,0.93,,23.64,72.12,1.51,254.61,25.06,742.61,0.76,,0.0
2015-07-01 07:00:00,2015-07-01 08:00:00,25.0,76.0,4.31,2.97,7.28,131.45,3.66,1.42,3.74,0.01,1.2,1.02,,29.2,70.77,1.99,105.29,76.01,742.66,0.63,,0.0
2015-07-01 08:00:00,2015-07-01 09:00:00,41.0,109.0,2.59,2.51,5.1,219.02,5.0,1.37,0.59,0.09,2.15,1.62,,39.44,69.74,1.9,161.79,108.66,742.74,1.35,,0.0
2015-07-01 09:00:00,2015-07-01 10:00:00,27.0,49.0,1.48,2.42,3.9,282.25,5.89,0.9,,0.07,3.46,2.78,,44.0,67.69,2.01,135.9,179.85,742.83,0.63,,0.0
2015-07-01 10:00:00,2015-07-01 11:00:00,27.0,49.0,3.6,2.28,3.47,144.47,1.92,0.37,4.67,0.07,3.22,2.53,,36.19,63.43,1.56,186.58,317.63,742.8,0.96,,0.0
2015-07-01 11:00:00,2015-07-01 12:00:00,985.0,985.0,0.86,2.29,2.69,115.96,4.21,0.21,7.8,0.02,0.76,0.7,,28.83,60.08,1.83,227.46,233.34,742.79,0.58,,0.0
2015-07-01 12:00:00,2015-07-01 13:00:00,28.0,51.0,0.72,1.75,2.39,104.74,5.09,0.5,5.72,0.03,1.1,1.0,,26.9,60.02,2.02,213.52,261.15,742.73,0.81,,0.0
2015-07-01 13:00:00,2015-07-01 14:00:00,34.0,57.0,0.59,1.56,2.15,113.2,4.08,0.6,5.27,0.03,1.26,1.08,,27.74,60.84,2.31,197.21,193.37,742.61,0.88,,0.0
2015-07-01 14:00:00,2015-07-01 15:00:00,26.0,41.0,0.59,1.1,1.58,116.13,3.93,0.62,5.77,0.03,1.39,1.15,,27.97,59.95,2.7,190.63,317.81,742.47,0.93,,0.0
2015-07-01 15:00:00,2015-07-01 16:00:00,23.0,51.0,0.42,1.47,1.86,129.42,5.25,0.78,4.97,0.04,1.63,1.27,,29.59,56.61,1.68,215.78,289.63,742.41,1.03,,0.0
2015-07-01 16:00:00,2015-07-01 17:00:00,31.0,66.0,0.41,2.33,2.73,93.76,4.16,0.42,6.91,0.05,1.59,1.23,,27.83,57.43,3.75,290.97,162.87,742.35,1.03,,0.0
2015-07-01 17:00:00,2015-07-01 18:00:00,14.0,44.0,0.19,4.07,4.07,85.11,3.54,0.5,7.73,0.06,1.41,1.03,,26.15,62.01,2.69,254.43,39.85,742.37,0.9,,0.0
2015-07-01 18:00:00,2015-07-01 19:00:00,11.0,44.0,0.36,2.27,2.29,66.83,3.45,0.44,5.28,0.01,0.83,0.65,,22.92,60.2,2.34,270.66,12.8,742.35,0.56,,0.0
2015-07-01 19:00:00,2015-07-01 20:00:00,8.0,32.0,0.15,2.66,2.43,71.54,3.45,0.56,5.35,0.01,0.92,0.74,,23.22,61.54,0.96,207.2,1.68,742.41,0.63,,0.0
2015-07-01 20:00:00,2015-07-01 21:00:00,13.0,50.0,0.2,2.61,2.62,72.05,3.41,0.7,5.05,0.02,0.99,0.8,,23.39,63.7,1.51,125.22,1.67,742.61,0.7,,0.0
2015-07-01 21:00:00,2015-07-01 22:00:00,24.0,67.0,0.45,2.47,2.88,70.48,3.31,0.89,4.59,0.02,1.06,0.85,,23.43,65.86,1.37,182.2,1.68,742.66,0.75,,0.0
2015-07-01 22:00:00,2015-07-01 23:00:00,18.0,57.0,0.4,1.49,1.89,70.21,3.32,0.43,5.05,0.01,1.11,0.9,,23.4,66.72,1.43,194.14,1.67,742.68,0.78,,0.0
2015-07-01 23:00:00,2015-07-02 00:00:00,7.0,36.0,0.57,1.65,2.18,70.76,3.34,0.37,4.85,0.0,1.13,0.96,,23.51,67.15,1.65,163.56,1.67,742.65,0.78,,0.0
2015-07-02 00:00:00,2015-07-02 01:00:00,12.0,45.0,0.78,2.31,3.09,70.51,3.3,0.25,4.99,0.0,1.17,0.99,,23.57,66.94,1.73,179.45,1.67,742.58,0.81,,0.0
2015-07-02 01:00:00,2015-07-02 02:00:00,12.0,44.0,0.33,2.08,2.41,74.52,3.22,0.2,4.03,0.0,1.3,1.12,,23.62,66.36,1.88,239.84,1.66,742.47,0.92,,0.0
2015-07-02 02:00:00,2015-07-02 03:00:00,16.0,40.0,0.36,0.74,0.86,70.61,3.16,0.19,4.86,0.0,1.25,1.08,,23.73,67.11,1.73,224.38,1.67,742.41,0.88,,0.0
2015-07-02 03:00:00,2015-07-02 04:00:00,10.0,26.0,0.54,0.68,1.2,69.84,3.13,0.16,5.11,0.0,1.24,1.07,,23.57,67.08,1.28,243.07,1.68,742.42,0.86,,0.0
2015-07-02 04:00:00,2015-07-02 05:00:00,9.0,29.0,0.42,1.18,1.3,68.78,3.41,0.18,4.43,0.0,1.18,1.02,,23.57,68.53,0.89,313.15,1.68,742.42,0.82,,0.0
2015-07-02 05:00:00,2015-07-02 06:00:00,10.0,51.0,0.42,2.35,2.75,70.13,3.58,0.2,4.7,0.0,1.42,1.22,,23.49,69.94,1.28,267.73,1.74,742.53,1.0,,0.08
2015-07-02 06:00:00,2015-07-02 07:00:00,16.0,53.0,0.66,1.4,2.0,68.18,3.72,0.37,4.93,0.0,1.37,1.16,,23.36,69.57,1.9,227.22,31.03,742.65,0.95,,0.0
2015-07-02 07:00:00,2015-07-02 08:00:00,21.0,42.0,1.02,1.67,2.66,69.67,3.63,0.36,4.54,0.0,1.3,1.12,,23.52,68.82,2.7,260.2,80.16,742.75,0.91,,0.0
2015-07-02 08:00:00,2015-07-02 09:00:00,20.0,44.0,1.79,2.07,3.56,68.22,3.58,0.3,5.19,0.0,1.41,1.21,,23.33,67.97,3.19,200.53,240.92,742.82,0.99,,0.0
2015-07-02 09:00:00,2015-07-02 10:00:00,18.0,37.0,1.13,1.48,2.61,73.81,3.65,0.37,5.37,0.0,1.5,1.29,,24.24,64.15,2.54,254.78,418.05,742.85,0.85,,0.0
2015-07-02 10:00:00,2015-07-02 11:00:00,21.0,26.0,0.71,1.44,2.15,91.59,2.99,0.46,4.35,0.0,1.64,1.49,,27.6,59.93,3.6,276.23,593.96,742.87,1.14,,0.0
2015-07-02 11:00:00,2015-07-02 12:00:00,10.0,38.0,0.39,1.26,1.62,103.93,2.92,0.59,5.05,0.03,1.74,1.44,,28.0,55.39,3.3,288.7,593.68,742.85,1.19,,0.0
2015-07-02 12:00:00,2015-07-02 13:00:00,18.0,60.0,0.91,2.0,2.91,117.32,3.91,0.57,5.97,0.06,1.67,1.23,,28.01,53.62,3.01,295.67,626.79,742.8,1.04,,0.0
2015-07-02 13:00:00,2015-07-02 14:00:00,22.0,71.0,0.66,3.27,3.92,99.48,4.13,0.42,8.12,0.06,1.6,1.12,,28.08,50.77,2.9,295.11,596.3,742.66,0.99,,0.0
2015-07-02 14:00:00,2015-07-02 15:00:00,30.0,90.0,0.37,3.15,3.42,94.36,4.22,0.34,5.04,0.06,1.5,1.03,,27.95,49.69,3.04,277.63,310.74,742.52,0.9,,0.0
2015-07-02 15:00:00,2015-07-02 16:00:00,29.0,103.0,0.71,5.88,6.59,105.59,4.4,0.63,12.01,0.08,1.38,0.86,,27.62,49.33,2.45,294.0,198.19,742.41,0.82,,0.0
2015-07-02 16:00:00,2015-07-02 17:00:00,36.0,130.0,0.37,5.94,6.04,101.14,4.24,0.57,11.53,0.08,0.95,0.47,,27.47,48.66,2.19,275.39,137.36,742.33,0.53,,0.0
2015-07-02 17:00:00,2015-07-02 18:00:00,38.0,139.0,0.63,5.4,5.89,89.14,4.98,0.62,6.81,0.08,1.0,0.5,,25.77,50.04,2.64,234.13,60.62,742.26,0.56,,0.0
2015-07-02 18:00:00,2015-07-02 19:00:00,40.0,147.0,0.15,4.66,4.6,66.02,4.99,0.5,5.67,0.04,0.91,0.56,,22.82,53.75,2.35,209.21,14.76,742.32,0.58,,0.0
2015-07-02 19:00:00,2015-07-02 20:00:00,45.0,135.0,0.27,3.62,3.7,63.49,5.07,0.43,5.13,0.02,1.06,0.72,,22.32,55.8,2.15,185.73,1.71,742.38,0.7,,0.0
2015-07-02 20:00:00,2015-07-02 21:00:00,36.0,131.0,0.58,3.16,3.64,62.15,4.31,0.54,5.64,0.02,1.05,0.76,,22.07,57.21,2.36,172.88,1.7,742.42,0.68,,0.0
2015-07-02 21:00:00,2015-07-02 22:00:00,32.0,114.0,0.47,3.31,3.63,64.26,4.01,0.47,4.7,0.02,1.13,0.85,,22.15,60.39,2.37,166.37,1.69,742.45,0.73,,0.0
2015-07-02 22:00:00,2015-07-02 23:00:00,29.0,117.0,0.34,2.18,2.46,61.39,3.91,0.38,4.86,0.0,1.23,0.95,,21.96,62.34,2.22,160.29,1.67,742.47,0.78,,0.0
2015-07-02 23:00:00,2015-07-03 00:00:00,29.0,86.0,0.34,1.97,2.29,63.69,3.77,0.32,4.5,0.01,1.3,0.99,,21.57,64.57,1.91,148.7,1.66,742.43,0.82,,0.0
2015-07-03 00:00:00,2015-07-03 01:00:00,23.0,181.0,0.37,1.95,1.99,61.59,3.49,0.23,4.77,0.0,1.3,1.0,,21.66,64.81,1.8,157.97,1.66,742.36,0.82,,0.0
2015-07-03 01:00:00,2015-07-03 02:00:00,985.0,52.0,0.27,1.54,1.81,61.64,3.25,0.18,4.34,0.0,1.36,1.04,,21.67,65.61,1.28,155.01,1.66,742.29,0.86,,0.0
2015-07-03 02:00:00,2015-07-03 03:00:00,,602.0,0.63,1.39,1.96,64.53,3.17,0.14,5.24,0.0,1.36,1.05,,21.64,66.92,0.8,170.22,1.66,742.27,0.84,,0.0
2015-07-03 03:00:00,2015-07-03 04:00:00,985.0,89.0,0.84,1.87,2.71,65.81,3.16,0.13,4.42,0.0,1.37,1.03,,21.93,68.15,0.88,224.5,1.65,742.3,0.85,,0.0
2015-07-03 04:00:00,2015-07-03 05:00:00,,437.0,0.7,1.61,2.32,65.26,3.57,0.14,4.1,0.0,1.32,1.0,,22.1,65.86,1.5,266.33,1.66,742.34,0.81,,0.0
2015-07-03 05:00:00,2015-07-03 06:00:00,21.0,985.0,0.95,1.86,2.52,59.13,3.75,0.14,4.62,0.01,1.4,1.06,,22.09,61.12,1.73,307.82,1.67,742.39,0.86,,0.0
2015-07-03 06:00:00,2015-07-03 07:00:00,24.0,270.0,0.82,2.71,3.53,57.96,4.02,0.3,4.45,0.01,1.22,0.94,,22.37,58.64,1.75,273.61,36.62,742.49,0.77,,0.0
2015-07-03 07:00:00,2015-07-03 08:00:00,37.0,140.0,1.52,2.93,4.45,57.47,4.06,0.34,4.91,0.02,1.32,1.01,,22.46,56.39,2.23,274.22,154.62,742.62,0.84,,0.0
2015-07-03 08:00:00,2015-07-03 09:00:00,40.0,135.0,1.55,2.24,3.79,56.65,3.83,0.21,4.73,0.02,1.52,1.19,,22.52,52.59,3.26,285.39,296.26,742.74,1.0,,0.0
2015-07-03 09:00:00,2015-07-03 10:00:00,29.0,118.0,1.27,2.4,3.67,73.88,3.46,0.46,5.46,0.01,1.46,1.19,,24.03,51.98,3.84,285.91,400.59,742.81,0.81,,0.0
2015-07-03 10:00:00,2015-07-03 11:00:00,32.0,109.0,1.28,2.54,3.82,68.13,2.68,0.17,4.92,0.01,0.89,0.75,,24.9,50.01,3.56,288.33,501.03,742.81,0.57,,0.0
2015-07-03 11:00:00,2015-07-03 12:00:00,28.0,104.0,1.43,1.99,3.42,65.24,2.91,0.9,5.41,0.04,1.18,0.89,,24.74,48.28,3.4,269.47,500.08,742.78,0.78,,0.0
