From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2016-04-01 05:00:00,2016-04-01 06:00:00,45.25,,,34.38,,,,,,2.25,8.66,1.04,3.32,1.25,27.16,30.51,0.58,,1.5,,
2016-04-01 06:00:00,2016-04-01 07:00:00,49.44,81.55,13.34,78.41,51.66,106.44,6.24,0.86,4.88,2.44,12.72,1.55,4.93,1.9,26.43,37.41,0.1,120.0,95.7,,
2016-04-01 07:00:00,2016-04-01 08:00:00,53.54,113.23,22.43,126.89,84.29,169.82,12.44,1.4,5.48,7.31,26.26,4.03,13.32,5.86,31.16,32.53,0.48,193.6,280.8,,
2016-04-01 08:00:00,2016-04-01 09:00:00,67.49,132.75,1.72,34.76,19.38,48.04,15.2,0.51,56.56,5.82,24.45,4.04,12.88,6.31,37.3,15.42,0.73,250.42,463.5,,
2016-04-01 09:00:00,2016-04-01 10:00:00,53.72,123.5,3.96,35.2,21.57,49.13,13.74,0.65,70.13,1.77,8.44,1.0,3.7,1.3,39.52,12.53,0.36,258.42,630.0,,
2016-04-01 10:00:00,2016-04-01 11:00:00,,,,,,,,,,,,,,,,,,,,,
2016-04-01 11:00:00,2016-04-01 12:00:00,52.36,,,15.74,,,,,,1.74,9.07,0.98,3.85,1.35,43.01,9.17,0.42,,760.7,,
2016-04-01 12:00:00,2016-04-01 13:00:00,36.63,97.74,7.52,50.84,32.59,68.05,10.06,0.74,71.85,0.77,4.05,0.45,1.35,0.5,44.34,8.65,0.75,204.46,758.3,,
2016-04-01 13:00:00,2016-04-01 14:00:00,38.17,89.15,6.15,59.74,36.08,77.52,10.2,0.8,71.24,2.23,12.23,1.36,5.79,2.09,45.21,8.99,0.54,189.06,693.8,,
2016-04-01 14:00:00,2016-04-01 15:00:00,31.83,74.35,4.94,38.07,23.85,52.62,8.99,0.62,71.32,1.57,9.95,1.11,4.72,1.68,45.31,8.25,0.5,252.75,593.4,,
2016-04-01 15:00:00,2016-04-01 16:00:00,33.77,98.16,8.04,49.19,32.05,68.6,7.14,0.63,59.62,0.69,6.77,0.5,1.56,0.57,45.18,8.34,0.89,223.39,420.0,,
2016-04-01 16:00:00,2016-04-01 17:00:00,35.37,83.41,4.52,68.95,39.41,83.15,5.36,0.8,57.11,2.08,14.97,1.62,6.83,2.55,44.65,9.07,0.6,221.12,238.8,,
2016-04-01 17:00:00,2016-04-01 18:00:00,24.71,121.9,28.24,167.28,110.04,216.94,43.37,1.42,14.26,3.86,23.77,3.29,13.17,5.18,42.17,13.93,0.32,204.43,65.3,,
2016-04-01 18:00:00,2016-04-01 19:00:00,40.32,149.75,241.3,275.48,337.43,,46.87,4.91,0.89,15.53,73.05,14.04,45.65,19.12,37.14,24.64,0.46,272.92,,,
