From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2019-06-03 15:00:00,2019-06-03 16:00:00,14.0,71.0,9.26,7.83,17.09,8.53,0.51,0.41,33.94,0.41,,2.53,5.43,,67.1,1.01,202.45,290.45,1005.47,,32.55,
2019-06-03 16:00:00,2019-06-03 17:00:00,14.94,90.95,9.66,7.85,17.51,7.92,1.0,0.42,9.69,0.46,,2.28,6.18,,64.8,0.96,201.04,339.33,1004.84,,33.17,
2019-06-03 17:00:00,2019-06-03 18:00:00,15.94,84.38,10.01,7.88,17.88,8.01,1.32,0.43,8.37,0.54,,2.74,6.86,,67.25,0.92,219.21,195.18,1004.54,,32.23,
2019-06-03 18:00:00,2019-06-03 19:00:00,20.7,85.9,7.87,9.07,16.95,10.21,1.56,0.44,6.25,0.67,,2.92,8.76,,70.75,0.79,211.9,31.47,1004.5,,30.86,
2019-06-03 19:00:00,2019-06-03 20:00:00,7.22,49.9,17.77,13.67,31.45,11.86,1.64,0.47,4.5,0.72,,2.0,7.77,,75.56,0.68,211.98,,1004.8,,29.53,
2019-06-03 20:00:00,2019-06-03 21:00:00,10.0,51.0,11.8,9.43,21.23,10.86,1.41,0.47,5.74,0.76,,3.07,7.22,,78.71,0.6,184.22,,1005.52,,29.22,
2019-06-03 21:00:00,2019-06-03 22:00:00,6.25,36.75,9.38,8.4,17.78,9.73,1.46,0.45,6.33,0.76,,4.83,8.28,,79.22,0.61,189.9,,1005.87,,29.08,
2019-06-03 22:00:00,2019-06-03 23:00:00,5.0,35.0,7.79,7.87,15.67,9.75,1.42,0.48,6.46,0.73,,3.56,7.6,,78.86,0.57,186.63,,1006.54,,29.01,
2019-06-03 23:00:00,2019-06-04 00:00:00,8.75,39.75,3.82,6.63,10.46,7.68,1.36,0.44,7.68,0.65,,2.89,6.53,,79.62,0.65,184.47,,1006.25,,28.83,
2019-06-04 00:00:00,2019-06-04 01:00:00,10.84,35.35,2.56,5.05,7.62,5.73,1.1,0.39,8.07,0.47,,3.2,5.75,,80.04,0.65,179.51,,1006.15,,28.84,
2019-06-04 01:00:00,2019-06-04 02:00:00,8.38,29.4,1.98,3.96,5.93,5.43,1.13,0.38,8.18,0.39,,2.94,6.05,,79.12,0.66,211.38,,1005.87,,28.79,
2019-06-04 02:00:00,2019-06-04 03:00:00,3.3,31.84,1.38,3.33,4.69,6.34,1.22,0.38,8.68,0.38,,2.75,4.49,,79.94,0.57,192.68,,1005.38,,28.62,
2019-06-04 03:00:00,2019-06-04 04:00:00,,13.95,1.78,3.0,4.79,11.48,1.15,0.36,8.43,0.34,,2.51,3.82,,79.42,0.51,173.58,,1005.38,,28.54,
2019-06-04 04:00:00,2019-06-04 05:00:00,1.75,17.77,1.64,3.19,4.83,10.57,1.14,0.34,8.22,0.35,,2.43,5.56,,79.93,0.54,177.18,,1005.43,,28.47,
2019-06-04 05:00:00,2019-06-04 06:00:00,3.88,30.35,3.18,2.9,6.09,9.19,1.06,0.36,8.11,0.35,,2.11,4.09,,79.22,0.52,169.22,,1005.7,,28.53,
2019-06-04 06:00:00,2019-06-04 07:00:00,6.82,,5.5,5.41,10.89,10.06,1.36,0.45,6.86,,,2.38,4.65,,78.1,0.52,171.26,10.15,1006.27,,28.67,
2019-06-04 07:00:00,2019-06-04 08:00:00,13.57,52.25,22.18,6.46,28.73,9.03,1.39,0.66,5.97,1.38,,2.75,5.19,,75.69,0.52,186.67,51.66,1006.75,,29.94,
2019-06-04 08:00:00,2019-06-04 09:00:00,26.2,95.9,17.93,4.38,22.2,7.77,1.14,0.72,6.15,1.32,,3.21,6.85,,71.77,0.66,203.76,123.47,1007.06,,31.1,
2019-06-04 09:00:00,2019-06-04 10:00:00,31.71,101.8,11.34,2.96,14.31,7.52,1.57,0.6,6.19,1.49,,2.9,7.04,,71.1,0.9,225.24,303.83,1007.21,,31.56,
