From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C),RF (mm)
2017-11-21 18:00:00,2017-11-21 19:00:00,100.0,183.33,3.83,44.1,26.57,12.03,1.37,0.91,24.17,1.13,4.77,1.03,,,,57.33,2.83,137.67,2.0,25.53,0.0
2017-11-21 19:00:00,2017-11-21 20:00:00,120.5,248.5,3.62,45.45,27.15,14.4,7.67,0.93,19.85,1.3,5.7,1.7,,,24.23,57.25,3.42,168.25,2.0,25.22,0.0
2017-11-21 20:00:00,2017-11-21 21:00:00,125.75,267.25,2.23,36.45,21.23,13.88,2.65,0.74,25.12,1.28,4.77,1.2,,,24.3,57.75,3.08,111.25,2.0,24.78,0.0
2017-11-21 21:00:00,2017-11-21 22:00:00,116.25,217.25,1.7,36.8,20.95,13.33,2.27,0.71,26.15,0.9,3.93,0.93,,,24.62,54.25,2.98,138.0,2.0,24.77,0.0
2017-11-21 22:00:00,2017-11-21 23:00:00,105.0,184.75,1.58,35.82,20.35,12.97,0.65,0.55,26.22,0.8,3.62,0.33,,,26.38,52.25,2.9,153.75,2.0,24.77,0.0
2017-11-21 23:00:00,2017-11-22 00:00:00,96.75,190.0,1.55,32.28,18.42,14.05,0.95,0.49,27.82,0.72,3.35,0.15,,,26.82,52.0,2.8,171.0,2.0,24.6,0.0
2017-11-22 00:00:00,2017-11-22 01:00:00,98.25,173.25,1.0,27.33,15.35,13.15,4.6,0.55,28.5,0.7,3.17,0.15,,,26.75,54.5,2.57,85.25,2.0,24.2,0.0
2017-11-22 01:00:00,2017-11-22 02:00:00,96.5,150.0,0.65,26.45,14.55,12.9,5.52,0.56,28.47,0.6,2.67,0.1,,,26.65,57.0,2.35,68.25,2.0,24.0,0.0
2017-11-22 02:00:00,2017-11-22 03:00:00,100.5,152.25,0.73,23.73,13.2,12.95,6.93,0.57,21.77,0.6,2.42,0.1,,,24.35,59.0,2.38,130.25,2.0,23.8,0.0
2017-11-22 03:00:00,2017-11-22 04:00:00,106.75,156.5,0.7,21.3,11.93,13.48,7.95,0.5,102.87,0.6,2.28,0.13,,,24.4,58.75,2.3,293.75,2.0,23.77,0.0
2017-11-22 04:00:00,2017-11-22 05:00:00,101.0,146.5,0.62,17.15,9.62,13.12,8.1,0.47,27.25,0.58,2.33,0.13,,,24.37,61.5,2.68,309.0,2.0,23.3,0.0
2017-11-22 05:00:00,2017-11-22 06:00:00,96.75,150.0,1.08,26.32,14.85,12.9,8.22,0.5,22.72,0.53,2.32,0.2,,,24.5,62.5,2.87,268.25,2.0,23.18,0.0
2017-11-22 06:00:00,2017-11-22 07:00:00,103.0,187.75,1.75,33.38,19.18,14.4,8.62,0.56,18.97,0.65,2.68,0.18,,,26.0,64.0,3.0,299.5,2.75,23.15,0.0
2017-11-22 07:00:00,2017-11-22 08:00:00,108.75,205.5,5.18,44.92,28.1,15.8,8.9,0.76,16.4,0.95,3.82,0.23,,,26.72,62.25,2.82,215.5,16.0,23.2,0.0
2017-11-22 08:00:00,2017-11-22 09:00:00,115.25,211.25,6.3,47.85,30.6,15.5,8.83,0.78,17.88,0.97,4.12,0.25,,,26.6,57.25,2.43,133.25,41.0,24.05,0.0
2017-11-22 09:00:00,2017-11-22 10:00:00,103.75,185.5,3.93,25.17,16.6,16.92,7.6,0.46,30.78,0.85,3.62,0.2,,,26.7,50.0,3.65,127.75,115.25,25.15,0.0
2017-11-22 10:00:00,2017-11-22 11:00:00,87.25,156.0,2.9,27.78,17.17,14.25,7.5,0.34,32.45,0.7,3.25,0.25,,,24.4,45.75,3.88,198.5,128.0,25.9,0.0
2017-11-22 11:00:00,2017-11-22 12:00:00,91.5,165.75,2.12,19.02,11.83,13.2,,0.57,36.27,0.73,3.22,0.62,,,24.67,41.5,4.02,138.25,151.0,26.7,0.0
2017-11-22 12:00:00,2017-11-22 13:00:00,85.5,147.25,124.88,27.98,115.47,11.75,8.82,0.51,42.0,0.78,3.0,0.48,,,24.75,39.5,4.25,132.0,174.25,27.32,0.0
2017-11-22 13:00:00,2017-11-22 14:00:00,89.75,140.75,1.53,20.72,12.23,16.15,8.3,0.58,42.9,0.67,2.85,0.35,,,24.85,39.75,3.42,134.25,139.5,27.75,0.0
2017-11-22 14:00:00,2017-11-22 15:00:00,87.5,144.75,1.65,25.03,14.62,16.6,5.55,0.62,43.3,0.65,2.95,0.2,,,29.48,39.0,2.93,167.5,125.0,28.2,0.0
2017-11-22 15:00:00,2017-11-22 16:00:00,83.75,163.75,1.8,27.1,15.87,13.92,5.82,0.72,42.05,0.78,4.32,0.27,,,27.02,40.0,3.3,252.5,86.5,28.13,0.0
2017-11-22 16:00:00,2017-11-22 17:00:00,87.0,218.75,1.8,28.9,16.8,11.95,7.78,0.77,38.3,0.67,3.65,0.62,,,24.6,42.0,2.75,161.25,36.75,27.83,0.0
2017-11-22 17:00:00,2017-11-22 18:00:00,93.0,187.0,3.3,54.25,31.5,9.3,7.5,1.02,26.6,0.83,3.73,1.1,,,24.73,48.75,2.05,133.75,6.75,27.0,0.0
2017-11-22 18:00:00,2017-11-22 19:00:00,107.75,240.0,11.6,81.6,52.85,14.92,7.5,1.65,11.43,1.87,9.17,4.08,,,24.37,52.75,1.95,259.5,2.0,26.2,0.0
2017-11-22 19:00:00,2017-11-22 20:00:00,127.25,333.75,7.77,78.75,48.25,19.8,6.25,1.59,13.22,1.95,8.85,3.25,,,27.42,55.25,2.02,291.75,2.0,25.85,0.0
2017-11-22 20:00:00,2017-11-22 21:00:00,125.5,332.75,2.33,54.38,30.8,17.88,7.9,1.06,22.15,1.95,8.43,1.0,,,29.37,54.5,2.67,310.25,2.0,25.55,0.0
2017-11-22 21:00:00,2017-11-22 22:00:00,96.25,248.75,1.72,40.92,23.15,17.4,3.6,0.75,25.65,1.15,5.77,0.43,,,29.35,56.0,3.6,299.75,2.0,24.93,0.0
2017-11-22 22:00:00,2017-11-22 23:00:00,82.25,175.75,1.42,32.0,18.2,15.47,3.82,0.6,28.35,0.72,4.25,0.23,,,29.32,56.0,3.7,301.0,2.0,24.38,0.0
2017-11-22 23:00:00,2017-11-23 00:00:00,75.0,139.75,1.2,27.47,15.6,12.83,5.65,0.54,29.3,0.58,3.65,0.15,,,26.1,56.75,4.07,295.75,2.0,23.8,0.0
2017-11-23 00:00:00,2017-11-23 01:00:00,76.75,144.0,1.35,30.05,17.07,11.23,7.02,0.57,26.83,0.55,2.82,0.3,,,24.4,56.0,3.42,210.75,2.0,23.4,0.0
2017-11-23 01:00:00,2017-11-23 02:00:00,70.0,140.0,0.95,21.63,12.25,11.25,5.27,0.44,31.4,0.43,2.5,0.23,,,24.47,54.25,3.55,204.5,2.0,23.18,0.0
2017-11-23 02:00:00,2017-11-23 03:00:00,59.75,106.25,0.5,16.47,9.17,11.15,4.4,0.37,25.3,0.3,2.07,0.1,,,24.45,52.5,3.7,212.0,2.0,22.9,0.0
2017-11-23 03:00:00,2017-11-23 04:00:00,53.5,92.25,0.43,14.8,8.23,13.15,3.53,0.32,107.03,0.3,2.0,0.08,,,27.2,51.75,3.55,218.0,2.0,22.7,0.0
2017-11-23 04:00:00,2017-11-23 05:00:00,46.25,84.5,0.98,20.9,11.93,12.3,1.38,0.35,31.85,0.33,2.57,,,,29.18,51.5,3.28,262.25,2.0,22.57,0.0
2017-11-23 05:00:00,2017-11-23 06:00:00,48.0,89.0,0.68,19.75,11.05,11.03,0.78,0.34,33.68,0.4,2.67,,,,29.22,50.75,3.25,255.25,2.0,22.47,0.0
2017-11-23 06:00:00,2017-11-23 07:00:00,55.5,102.75,1.47,38.65,21.77,9.6,0.92,0.48,25.28,0.43,2.8,0.03,,,29.05,52.25,2.3,225.5,3.0,22.3,0.0
2017-11-23 07:00:00,2017-11-23 08:00:00,74.0,139.75,8.23,63.6,40.52,10.15,2.25,0.75,16.38,0.95,3.85,0.13,,,26.58,56.5,2.58,141.75,27.5,22.2,0.0
2017-11-23 08:00:00,2017-11-23 09:00:00,86.5,194.0,5.85,36.6,24.23,15.3,5.62,0.64,26.15,0.93,3.55,0.65,,,24.35,52.75,2.77,73.75,83.0,23.4,0.0
2017-11-23 09:00:00,2017-11-23 10:00:00,76.0,147.0,2.8,23.35,14.7,13.48,11.55,0.43,36.83,0.65,2.75,0.38,,,24.22,45.5,4.1,57.5,139.75,24.9,0.0
2017-11-23 10:00:00,2017-11-23 11:00:00,67.0,130.5,2.05,22.15,13.42,13.0,8.5,0.28,40.15,0.48,2.7,0.33,,,24.22,41.5,3.83,77.0,174.25,26.13,0.0
2017-11-23 11:00:00,2017-11-23 12:00:00,66.0,122.75,1.82,13.8,8.85,13.15,,0.5,45.17,0.48,2.1,0.23,,,26.72,39.25,3.8,91.5,188.0,26.9,0.0
2017-11-23 12:00:00,2017-11-23 13:00:00,62.5,112.5,108.07,15.5,96.17,11.85,3.9,0.55,45.9,0.5,2.43,0.1,,,30.12,39.0,2.8,93.5,222.5,27.65,0.0
2017-11-23 13:00:00,2017-11-23 14:00:00,60.75,111.5,1.38,18.45,10.95,15.6,1.88,0.63,46.78,0.55,3.07,0.15,,,30.2,37.75,2.0,221.5,202.5,28.45,0.0
2017-11-23 14:00:00,2017-11-23 15:00:00,63.75,111.25,1.65,14.82,9.18,12.05,5.18,0.59,45.48,0.48,3.38,0.25,,,25.6,37.75,2.95,261.75,165.0,28.47,0.0
2017-11-23 15:00:00,2017-11-23 16:00:00,71.5,105.25,1.58,14.45,9.0,11.55,6.35,0.56,44.68,0.45,3.27,0.52,,,25.25,35.75,2.53,250.0,113.5,28.57,0.0
2017-11-23 16:00:00,2017-11-23 17:00:00,60.5,102.0,2.52,30.25,18.12,8.45,5.17,0.69,38.32,0.5,3.9,0.75,,,25.25,36.0,2.27,271.0,56.25,28.32,0.0
2017-11-23 17:00:00,2017-11-23 18:00:00,64.0,119.75,3.07,42.82,25.28,10.45,3.6,0.98,29.38,1.05,6.82,2.38,,,25.4,43.75,2.3,291.75,9.75,27.08,0.0
2017-11-23 18:00:00,2017-11-23 19:00:00,79.5,187.0,2.85,45.2,26.32,13.23,4.95,0.95,25.3,1.2,6.05,1.95,,,27.5,46.0,2.3,306.75,2.0,26.12,0.0
2017-11-23 19:00:00,2017-11-23 20:00:00,79.25,196.25,3.02,50.17,29.15,11.7,3.52,1.0,21.93,1.28,6.25,0.58,,,26.92,45.25,1.95,303.0,2.0,25.55,0.0
2017-11-23 20:00:00,2017-11-23 21:00:00,80.5,192.75,3.73,57.67,33.7,12.17,6.4,0.96,20.3,1.42,7.72,0.75,,,26.92,45.75,2.12,307.5,2.0,25.22,0.0
2017-11-23 21:00:00,2017-11-23 22:00:00,104.0,239.25,3.95,54.38,32.15,11.65,9.18,0.82,21.82,1.3,6.62,0.65,,,26.87,48.0,2.35,316.0,2.0,24.75,0.0
2017-11-23 22:00:00,2017-11-23 23:00:00,114.5,268.75,2.2,52.05,29.45,12.17,14.97,0.74,22.97,0.95,5.12,0.78,,,24.38,49.75,2.6,319.75,2.0,24.43,0.0
2017-11-23 23:00:00,2017-11-24 00:00:00,103.75,282.5,2.52,51.7,29.55,12.75,8.33,0.65,22.68,0.95,4.3,0.95,,,24.45,50.5,2.8,317.5,2.0,23.93,0.0
2017-11-24 00:00:00,2017-11-24 01:00:00,82.5,186.0,1.32,31.25,17.7,12.8,6.15,0.48,31.9,0.77,3.4,0.58,,,24.37,45.25,3.12,316.25,2.0,23.65,0.0
2017-11-24 01:00:00,2017-11-24 02:00:00,74.25,138.5,0.95,28.6,15.98,12.03,6.78,0.46,32.55,0.68,2.77,0.3,,,24.35,44.25,2.2,303.25,2.0,23.25,0.0
2017-11-24 02:00:00,2017-11-24 03:00:00,69.25,117.25,1.08,28.45,16.03,11.88,7.15,0.35,24.6,0.85,2.52,0.15,,,26.0,43.75,1.88,166.75,2.0,22.98,0.0
2017-11-24 03:00:00,2017-11-24 04:00:00,61.0,102.0,1.07,30.95,17.35,11.45,6.23,0.36,111.15,0.43,2.47,0.03,,,27.2,46.0,2.15,126.75,2.0,22.53,0.0
2017-11-24 04:00:00,2017-11-24 05:00:00,61.0,98.5,0.73,26.08,14.48,10.23,6.02,0.35,31.0,0.4,2.3,0.05,,,26.5,45.5,2.1,123.75,2.0,22.38,0.0
2017-11-24 05:00:00,2017-11-24 06:00:00,62.25,100.25,1.2,28.78,16.28,9.8,5.8,0.39,28.5,0.4,2.3,0.03,,,26.55,47.75,2.2,113.5,2.0,22.05,0.0
