From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),AT (degree C),RF (mm)
2018-01-02 12:00:00,2018-01-02 13:00:00,60.0,119.5,0.2,8.2,4.5,8.15,22.8,2.16,119.45,0.05,1.5,1.4,,,27.45,35.5,1.7,,115.5,26.25,
2018-01-02 13:00:00,2018-01-02 14:00:00,58.0,110.5,0.83,7.38,4.62,8.35,23.5,2.18,127.15,0.0,1.23,0.48,,,27.15,32.75,1.47,,127.0,26.6,
2018-01-02 14:00:00,2018-01-02 15:00:00,54.5,105.75,0.88,8.15,5.0,8.45,24.75,2.23,131.45,0.0,1.2,0.6,,,26.47,32.5,1.45,,121.25,27.07,
2018-01-02 15:00:00,2018-01-02 16:00:00,53.0,118.75,1.02,8.82,5.52,8.35,20.65,2.17,130.08,0.0,1.18,0.82,,,26.62,34.25,1.88,,64.75,26.6,
2018-01-02 16:00:00,2018-01-02 17:00:00,54.0,113.75,1.2,9.25,5.88,8.67,18.08,2.22,115.23,0.0,1.08,0.18,,,27.0,39.75,1.28,,64.25,25.9,34.37
2018-01-02 17:00:00,2018-01-02 18:00:00,65.0,146.25,29.33,32.7,41.32,6.77,20.78,2.46,86.38,0.05,0.95,0.1,,,27.0,47.5,0.5,,52.5,24.68,13.62
2018-01-02 18:00:00,2018-01-02 19:00:00,86.75,172.25,0.95,23.47,13.27,7.78,15.67,2.47,61.97,0.1,1.18,0.1,,,26.77,59.0,0.3,,73.5,23.12,9.95
2018-01-02 19:00:00,2018-01-02 20:00:00,80.5,162.0,3.27,23.88,15.4,7.1,17.73,2.55,53.23,0.1,1.35,0.1,,,26.95,66.0,0.3,,91.25,22.18,10.12
2018-01-02 20:00:00,2018-01-02 21:00:00,86.25,154.5,1.22,26.55,15.1,8.83,15.93,2.57,38.57,0.1,1.62,0.13,,,26.85,72.75,0.3,,106.25,21.4,10.17
2018-01-02 21:00:00,2018-01-02 22:00:00,104.0,177.5,0.78,21.82,12.28,8.4,16.92,2.55,37.1,0.1,1.6,0.25,,,26.92,79.25,0.3,,240.25,20.62,10.1
2018-01-02 22:00:00,2018-01-02 23:00:00,115.5,171.5,1.02,20.08,11.52,8.37,17.58,2.61,28.22,0.13,1.4,0.45,,,26.53,83.75,0.35,,100.75,19.88,10.15
2018-01-02 23:00:00,2018-01-03 00:00:00,106.25,152.5,0.97,22.6,12.82,8.5,16.33,2.59,29.45,0.1,1.6,0.3,,,26.5,84.5,0.3,,161.75,19.65,10.22
2018-01-03 00:00:00,2018-01-03 01:00:00,115.25,177.5,29.15,23.52,36.23,10.28,18.27,3.03,18.08,0.1,2.5,1.7,,,26.45,88.0,0.3,,211.0,19.07,10.15
2018-01-03 01:00:00,2018-01-03 02:00:00,131.75,216.75,26.23,30.1,37.35,8.75,19.88,3.22,6.45,0.18,2.12,0.9,,,26.62,89.5,0.3,,139.75,18.55,10.17
2018-01-03 02:00:00,2018-01-03 03:00:00,128.75,189.5,5.47,22.75,16.57,8.0,16.75,2.82,20.43,0.18,1.6,0.5,,,26.65,85.75,0.3,,90.75,18.53,10.25
2018-01-03 03:00:00,2018-01-03 04:00:00,103.75,135.0,0.58,12.7,7.25,7.93,16.35,2.39,38.85,0.1,1.3,0.15,,,26.8,81.5,0.3,,99.25,18.15,10.15
2018-01-03 04:00:00,2018-01-03 05:00:00,75.0,100.25,0.45,10.43,5.95,7.85,14.8,2.37,35.35,0.1,1.2,0.1,,,26.85,83.0,0.3,,80.25,17.85,10.1
2018-01-03 05:00:00,2018-01-03 06:00:00,72.0,96.5,6.35,22.03,16.87,7.75,15.92,2.51,10.95,0.1,1.18,0.3,,,26.87,88.5,0.3,,178.5,17.12,10.1
2018-01-03 06:00:00,2018-01-03 07:00:00,77.0,109.0,6.42,14.45,12.9,8.35,18.02,2.67,20.75,0.13,1.18,0.15,,,26.43,89.5,0.3,,195.5,16.95,10.35
2018-01-03 07:00:00,2018-01-03 08:00:00,98.25,153.5,41.1,16.03,41.97,8.25,17.78,2.91,6.58,0.15,1.4,0.38,,,26.5,89.75,0.3,,203.0,16.88,16.43
2018-01-03 08:00:00,2018-01-03 09:00:00,117.0,252.25,23.65,23.88,31.92,8.08,19.33,2.87,16.62,0.18,1.4,0.23,,,26.42,80.75,0.3,,276.5,18.5,26.73
2018-01-03 09:00:00,2018-01-03 10:00:00,121.0,381.5,11.25,24.05,21.92,8.47,25.2,2.84,34.4,0.15,1.65,0.1,,,26.5,69.75,0.38,,274.0,20.8,34.58
2018-01-03 10:00:00,2018-01-03 11:00:00,121.0,363.0,2.8,11.75,8.52,7.93,30.33,2.39,86.45,0.15,1.95,0.15,,,26.35,46.0,0.6,,111.25,23.4,36.8
2018-01-03 11:00:00,2018-01-03 12:00:00,77.75,140.0,0.9,6.87,4.4,8.0,20.7,2.29,100.3,,,,,,26.7,35.25,1.65,,116.75,24.65,
2018-01-03 12:00:00,2018-01-03 13:00:00,51.0,99.75,0.6,5.75,3.55,7.2,19.3,2.22,105.38,,,,,,27.0,31.0,2.25,,93.25,25.1,
2018-01-03 13:00:00,2018-01-03 14:00:00,37.25,70.0,0.53,5.08,3.12,7.55,21.55,2.3,112.12,,,,,,27.35,29.25,1.6,,136.5,25.75,
2018-01-03 14:00:00,2018-01-03 15:00:00,39.25,71.5,0.75,5.6,3.55,7.5,21.1,2.35,114.83,,,,,,27.13,26.75,1.2,,106.5,26.32,
2018-01-03 15:00:00,2018-01-03 16:00:00,34.75,69.5,0.6,5.92,3.6,7.65,18.33,2.35,114.35,,,,,,27.38,25.75,1.0,,118.25,26.45,
2018-01-03 16:00:00,2018-01-03 17:00:00,39.25,84.0,0.52,5.8,3.5,7.8,15.9,2.28,109.52,,1.7,,,,27.05,28.75,0.87,,70.25,25.82,37.05
2018-01-03 17:00:00,2018-01-03 18:00:00,56.0,114.5,41.92,29.77,49.93,8.83,25.85,2.6,73.6,,1.7,1.3,,,26.38,36.25,0.35,,64.5,24.38,13.72
2018-01-03 18:00:00,2018-01-03 19:00:00,77.25,137.5,5.75,15.9,13.15,7.67,101.2,2.23,65.32,3.2,,,,,27.28,40.75,1.1,,75.75,22.97,10.1
2018-01-03 19:00:00,2018-01-03 20:00:00,51.25,115.0,9.5,23.15,20.03,7.9,42.88,2.31,64.87,0.33,64.07,106.73,,,28.45,46.75,0.38,,81.25,22.03,10.1
2018-01-03 20:00:00,2018-01-03 21:00:00,60.25,127.5,1.85,12.22,8.0,7.6,24.12,2.62,40.35,0.08,2.85,0.97,,,26.73,56.75,0.3,,189.75,20.75,10.08
2018-01-03 21:00:00,2018-01-03 22:00:00,96.75,257.0,9.55,14.6,15.55,7.65,23.68,3.03,6.55,0.23,2.55,1.1,,,26.68,69.75,0.3,,196.5,19.53,10.13
2018-01-03 22:00:00,2018-01-03 23:00:00,130.5,423.0,18.1,14.5,22.45,7.83,23.68,2.95,6.38,0.25,2.22,0.52,,,26.45,75.25,0.3,,248.5,18.97,10.2
2018-01-03 23:00:00,2018-01-04 00:00:00,123.0,494.75,18.12,13.17,21.75,7.78,20.63,3.0,6.58,0.2,2.12,0.33,,,26.37,80.25,0.3,,229.25,18.6,10.17
2018-01-04 00:00:00,2018-01-04 01:00:00,111.5,224.25,16.9,11.18,19.7,7.65,17.97,2.78,6.08,0.2,2.1,0.28,,,26.45,83.25,0.3,,179.75,18.28,10.22
2018-01-04 01:00:00,2018-01-04 02:00:00,102.25,167.25,15.85,9.5,17.92,7.62,17.97,2.64,5.65,0.2,2.15,0.77,,,26.45,85.75,0.3,,173.0,17.95,10.2
2018-01-04 02:00:00,2018-01-04 03:00:00,102.5,165.0,14.03,9.17,16.3,7.55,18.95,2.55,6.33,0.13,4.35,5.83,,,26.4,85.5,0.3,,183.25,17.87,10.25
2018-01-04 03:00:00,2018-01-04 04:00:00,113.75,197.0,13.62,8.67,15.7,7.52,19.45,2.44,5.2,0.2,3.85,5.3,,,26.53,88.5,0.3,,227.25,17.35,10.2
2018-01-04 04:00:00,2018-01-04 05:00:00,94.0,193.75,16.1,6.98,16.83,7.52,15.97,2.39,5.05,0.2,2.07,0.6,,,26.6,90.5,0.3,,248.75,17.05,10.22
2018-01-04 05:00:00,2018-01-04 06:00:00,84.5,143.0,12.4,6.33,13.42,7.45,15.9,2.4,5.38,0.2,1.9,0.33,,,26.65,90.5,0.3,,163.5,17.12,10.32
2018-01-04 06:00:00,2018-01-04 07:00:00,94.75,179.25,10.5,5.77,11.58,7.52,19.1,2.43,5.55,0.25,2.12,0.9,,,26.5,91.0,0.3,,194.5,17.03,10.33
2018-01-04 07:00:00,2018-01-04 08:00:00,113.0,314.0,12.0,5.5,12.72,7.48,19.35,2.78,6.47,0.3,2.62,1.38,,,26.47,89.25,0.33,,197.25,17.35,15.97
2018-01-04 08:00:00,2018-01-04 09:00:00,144.0,471.75,11.88,5.77,12.72,7.48,19.73,2.82,9.1,0.33,2.3,0.6,,,26.4,81.0,0.3,,280.25,18.87,26.4
2018-01-04 09:00:00,2018-01-04 10:00:00,148.75,393.75,12.33,7.57,14.05,7.6,27.7,2.8,33.15,0.38,2.7,0.88,,,26.47,65.25,0.53,,227.5,21.27,35.82
2018-01-04 10:00:00,2018-01-04 11:00:00,135.0,345.75,6.9,9.2,10.5,7.43,26.67,2.13,81.15,0.18,2.4,0.33,,,26.38,43.75,0.7,,90.5,23.7,38.4
2018-01-04 11:00:00,2018-01-04 12:00:00,73.0,131.0,2.07,8.43,6.17,7.2,25.0,2.01,95.6,0.1,1.97,0.15,,,26.7,37.25,0.8,,88.25,25.35,
2018-01-04 12:00:00,2018-01-04 13:00:00,55.0,96.25,0.65,4.9,3.15,7.2,28.0,1.9,107.52,0.1,1.9,1.47,,,27.07,30.25,0.75,,98.0,26.42,
2018-01-04 13:00:00,2018-01-04 14:00:00,44.5,81.0,0.4,4.65,2.83,7.12,26.45,1.81,114.65,0.1,2.02,1.48,,,27.38,27.75,1.13,,122.0,27.12,
2018-01-04 14:00:00,2018-01-04 15:00:00,39.25,80.25,0.25,3.52,2.1,7.25,21.35,1.8,117.72,0.15,1.68,5.47,,,27.78,30.25,1.97,,85.5,27.0,
2018-01-04 15:00:00,2018-01-04 16:00:00,38.0,89.25,0.28,3.95,2.32,7.25,14.05,1.86,124.42,0.03,1.33,3.7,,,29.25,30.0,1.0,,92.75,27.08,
2018-01-04 16:00:00,2018-01-04 17:00:00,41.75,99.5,0.48,4.05,2.5,7.28,15.5,1.8,121.63,0.1,1.7,5.35,,,29.25,32.25,0.8,,63.0,26.57,35.15
2018-01-04 17:00:00,2018-01-04 18:00:00,50.0,126.5,0.95,5.37,3.62,7.33,90.77,1.97,64.45,0.03,1.97,1.52,,,29.2,41.0,0.45,,67.75,25.17,13.77
2018-01-04 18:00:00,2018-01-04 19:00:00,72.75,185.25,2.45,8.8,6.68,7.38,46.55,1.98,55.38,0.13,2.25,0.83,,,27.75,54.75,0.3,,108.5,23.38,10.0
2018-01-04 19:00:00,2018-01-04 20:00:00,104.25,220.0,1.5,8.05,5.48,7.2,29.77,2.18,51.97,0.15,3.78,1.02,,,26.85,61.0,0.3,,109.0,22.55,10.08
2018-01-04 20:00:00,2018-01-04 21:00:00,188.0,295.25,0.88,7.4,4.68,7.22,27.45,2.53,25.43,0.45,3.58,1.47,,,26.75,71.0,0.3,,131.25,21.45,10.03
