From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ppm),NO2 (ug/m3),NOx (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (mg/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),RF (mm)
2018-02-05 14:00:00,2018-02-05 15:00:00,,,0.17,7.27,7.3,26.47,,0.72,,0.0,,,,,19.19,,,,,
2018-02-05 15:00:00,2018-02-05 16:00:00,,,0.57,4.8,5.33,25.79,,0.81,,0.0,,,,,19.23,,,,,
2018-02-05 16:00:00,2018-02-05 17:00:00,,,0.57,9.0,6.53,28.83,,0.39,,0.0,,,,,18.45,,,,,
2018-02-05 17:00:00,2018-02-05 18:00:00,,,,5.3,0.0,25.9,,0.0,,0.0,,,,,18.89,,,,,
2018-02-05 18:00:00,2018-02-05 19:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-05 19:00:00,2018-02-05 20:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-05 20:00:00,2018-02-05 21:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-05 21:00:00,2018-02-05 22:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-05 22:00:00,2018-02-05 23:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-05 23:00:00,2018-02-06 00:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 00:00:00,2018-02-06 01:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 01:00:00,2018-02-06 02:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 02:00:00,2018-02-06 03:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 03:00:00,2018-02-06 04:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 04:00:00,2018-02-06 05:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 05:00:00,2018-02-06 06:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 06:00:00,2018-02-06 07:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 07:00:00,2018-02-06 08:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 08:00:00,2018-02-06 09:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 09:00:00,2018-02-06 10:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 10:00:00,2018-02-06 11:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 11:00:00,2018-02-06 12:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 12:00:00,2018-02-06 13:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 13:00:00,2018-02-06 14:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 14:00:00,2018-02-06 15:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 15:00:00,2018-02-06 16:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 16:00:00,2018-02-06 17:00:00,57.6,110.77,0.4,5.63,6.0,31.05,2.7,0.46,31.14,0.0,,,0.41,1.01,18.73,40.67,0.96,271.33,142.62,0.0
2018-02-06 17:00:00,2018-02-06 18:00:00,56.35,108.36,0.65,7.83,6.33,31.35,3.4,0.53,27.55,0.0,,,0.35,0.07,18.11,45.65,0.79,265.18,139.42,0.0
2018-02-06 18:00:00,2018-02-06 19:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 19:00:00,2018-02-06 20:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 20:00:00,2018-02-06 21:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 21:00:00,2018-02-06 22:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 22:00:00,2018-02-06 23:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-06 23:00:00,2018-02-07 00:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-07 00:00:00,2018-02-07 01:00:00,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0
2018-02-07 01:00:00,2018-02-07 02:00:00,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0
2018-02-07 02:00:00,2018-02-07 03:00:00,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0
2018-02-07 03:00:00,2018-02-07 04:00:00,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0
2018-02-07 04:00:00,2018-02-07 05:00:00,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0
2018-02-07 05:00:00,2018-02-07 06:00:00,,,,,0.0,,,0.0,,0.0,,,,,,,,,,0.0
2018-02-07 06:00:00,2018-02-07 07:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-07 07:00:00,2018-02-07 08:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-07 08:00:00,2018-02-07 09:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-07 09:00:00,2018-02-07 10:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-07 10:00:00,2018-02-07 11:00:00,,,,,,,,,,,,,,,,,,,,
2018-02-07 11:00:00,2018-02-07 12:00:00,78.36,190.96,0.3,17.7,17.97,44.62,8.63,0.66,50.64,0.09,,0.48,0.05,,16.83,49.42,0.96,277.72,300.58,0.0
2018-02-07 12:00:00,2018-02-07 13:00:00,,204.38,0.42,11.68,11.98,48.7,3.12,0.56,39.93,0.14,,0.72,0.07,,18.32,42.15,1.06,271.98,127.41,0.0
