From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),CH4 (ug/m3),THC (ug/m3)
2010-01-01 00:00:00,2010-01-01 01:00:00,,,2.09,,,,,,,,,,,,,,,,,,,,
2010-01-01 01:00:00,2010-01-01 02:00:00,,,2.15,,,,,,,,,,,,,,,,,,,,
2010-01-01 02:00:00,2010-01-01 03:00:00,,,1.16,,,,,,,,,,,,,,,,,,,,
2010-01-01 03:00:00,2010-01-01 04:00:00,,,1.19,,,,,,,,,,,,,,,,,,,,
2010-01-01 04:00:00,2010-01-01 05:00:00,,,1.08,,,,,,,,,,,,,,,,,,,,
2010-01-01 05:00:00,2010-01-01 06:00:00,,,1.2,,,,,,,,,,,,,,,,,,,,
2010-01-01 06:00:00,2010-01-01 07:00:00,,,1.52,,,,,,,,,,,,,,,,,,,,
2010-01-01 07:00:00,2010-01-01 08:00:00,,,2.34,,,,,,,,,,,,,,,,,,,,
2010-01-01 08:00:00,2010-01-01 09:00:00,,,1.71,,,,,,,,,,,,,,,,,,,,
2010-01-01 09:00:00,2010-01-01 10:00:00,,,4.47,,,,,,,,,,,,,,,,,,,,
2010-01-01 10:00:00,2010-01-01 11:00:00,,,0.85,,,,,,,,,,,,,,,,,,,,
2010-01-01 11:00:00,2010-01-01 12:00:00,,,1.46,,,,,,,,,,,,,,,,,,,,
2010-01-01 12:00:00,2010-01-01 13:00:00,,,0.99,,,,,,,,,,,,,,,,,,,,
2010-01-01 13:00:00,2010-01-01 14:00:00,,,0.59,,,,,,,,,,,,,,,,,,,,
2010-01-01 14:00:00,2010-01-01 15:00:00,,,0.87,,,,,,,,,,,,,,,,,,,,
2010-01-01 15:00:00,2010-01-01 16:00:00,,,0.78,,,,,,,,,,,,,,,,,,,,
2010-01-01 16:00:00,2010-01-01 17:00:00,,,1.49,,,,,,,,,,,,,,,,,,,,
2010-01-01 17:00:00,2010-01-01 18:00:00,,,0.71,,,,,,,,,,,,,,,,,,,,
2010-01-01 18:00:00,2010-01-01 19:00:00,,,0.69,,,,,,,,,,,,,,,,,,,,
2010-01-01 19:00:00,2010-01-01 20:00:00,,,0.77,,,,,,,,,,,,,,,,,,,,
2010-01-01 20:00:00,2010-01-01 21:00:00,,,0.75,,,,,,,,,,,,,,,,,,,,
2010-01-01 21:00:00,2010-01-01 22:00:00,,,0.71,,,,,,,,,,,,,,,,,,,,
2010-01-01 22:00:00,2010-01-01 23:00:00,,,0.63,,,,,,,,,,,,,,,,,,,,
2010-01-01 23:00:00,2010-01-02 00:00:00,,,0.59,,,,,,,,,,,,,,,,,,,,
2010-01-02 00:00:00,2010-01-02 01:00:00,,,0.81,,,,,,,,,,,,,,,,,,,,
2010-01-02 01:00:00,2010-01-02 02:00:00,,,0.83,,,,,,,,,,,,,,,,,,,,
2010-01-02 02:00:00,2010-01-02 03:00:00,,,1.16,,,,,,,,,,,,,,,,,,,,
2010-01-02 03:00:00,2010-01-02 04:00:00,,,0.57,,,,,,,,,,,,,,,,,,,,
2010-01-02 04:00:00,2010-01-02 05:00:00,,,0.57,,,,,,,,,,,,,,,,,,,,
2010-01-02 05:00:00,2010-01-02 06:00:00,,,1.39,,,,,,,,,,,,,,,,,,,,
2010-01-02 06:00:00,2010-01-02 07:00:00,,,1.78,,,,,,,,,,,,,,,,,,,,
2010-01-02 07:00:00,2010-01-02 08:00:00,,,0.89,,,,,,,,,,,,,,,,,,,,
2010-01-02 08:00:00,2010-01-02 09:00:00,,,1.27,,,,,,,,,,,,,,,,,,,,
2010-01-02 09:00:00,2010-01-02 10:00:00,,,1.33,,,,,,,,,,,,,,,,,,,,
2010-01-02 10:00:00,2010-01-02 11:00:00,,,4.92,,,,,,,,,,,,,,,,,,,,
2010-01-02 11:00:00,2010-01-02 12:00:00,,,5.7,,,,,,,,,,,,,,,,,,,,
2010-01-02 12:00:00,2010-01-02 13:00:00,,,2.87,,,,,,,,,,,,,,,,,,,,
2010-01-02 13:00:00,2010-01-02 14:00:00,,,1.24,,,,,,,,,,,,,,,,,,,,
2010-01-02 14:00:00,2010-01-02 15:00:00,,,1.67,,,,,,,,,,,,,,,,,,,,
2010-01-02 15:00:00,2010-01-02 16:00:00,,,0.65,,,,,,,,,,,,,,,,,,,,
2010-01-02 16:00:00,2010-01-02 17:00:00,,,1.05,,,,,,,,,,,,,,,,,,,,
2010-01-02 17:00:00,2010-01-02 18:00:00,,,2.89,,,,,,,,,,,,,,,,,,,,
2010-01-02 18:00:00,2010-01-02 19:00:00,,,0.27,,,,,,,,,,,,,,,,,,,,
2010-01-02 19:00:00,2010-01-02 20:00:00,,,0.44,,,,,,,,,,,,,,,,,,,,
2010-01-02 20:00:00,2010-01-02 21:00:00,,,0.88,,,,,,,,,,,,,,,,,,,,
2010-01-02 21:00:00,2010-01-02 22:00:00,,,14.07,,,,,,,,,,,,,,,,,,,,
2010-01-02 22:00:00,2010-01-02 23:00:00,,,5.44,,,,,,,,,,,,,,,,,,,,
