From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2017-09-26 00:00:00,2017-09-26 01:00:00,,,,,,36.43,,,,,,,,,,,,,,
2017-09-26 01:00:00,2017-09-26 02:00:00,,,,,,46.82,,,,,,,,,,,,,,
2017-09-26 02:00:00,2017-09-26 03:00:00,,,,,,38.45,,,,,,,,,,,,,,
2017-09-26 03:00:00,2017-09-26 04:00:00,,,,,,49.13,,,,,,,,,,,,,,
2017-09-26 04:00:00,2017-09-26 05:00:00,,,,,,59.6,,,,,,,,,,,,,,
2017-09-26 05:00:00,2017-09-26 06:00:00,,,,,,64.1,,,,,,,,,,,,,,
2017-09-26 06:00:00,2017-09-26 07:00:00,,,,,,68.93,,,,,,,,,,,,,,
2017-09-26 07:00:00,2017-09-26 08:00:00,,,,,,59.7,,,,,,,,,,,,,,
2017-09-26 08:00:00,2017-09-26 09:00:00,,,,,,56.2,,,,,,,,,,,,,,
2017-09-26 09:00:00,2017-09-26 10:00:00,,,,,,52.63,,,,,,,,,,,,,,
2017-09-26 10:00:00,2017-09-26 11:00:00,,,,,,21.97,,,,,,,,,,,,,,
2017-09-26 11:00:00,2017-09-26 12:00:00,,,,,,36.25,,,,,,,,,,,,,,
2017-09-26 12:00:00,2017-09-26 13:00:00,,,,,,40.87,,,,,,,,,,,,,,
2017-09-26 13:00:00,2017-09-26 14:00:00,,,,,,36.58,,,,,,,,,,,,,,
2017-09-26 14:00:00,2017-09-26 15:00:00,,,,,,35.88,,,,,,,,,,,,,,
2017-09-26 15:00:00,2017-09-26 16:00:00,,,,,,28.45,,,,,,,,,,,,,,
2017-09-26 16:00:00,2017-09-26 17:00:00,,,,,,26.95,,,,,,,,,,,,,,
2017-09-26 17:00:00,2017-09-26 18:00:00,,,,,,25.83,,,,,,,,,,,,,,
2017-09-26 18:00:00,2017-09-26 19:00:00,,,,,,24.3,,,,,,,,,,,,,,
2017-09-26 19:00:00,2017-09-26 20:00:00,,,,,,28.8,,,,,,,,,,,,,,
2017-09-26 20:00:00,2017-09-26 21:00:00,,,,,,30.43,,,,,,,,,,,,,,
2017-09-26 21:00:00,2017-09-26 22:00:00,,,,,,33.87,,,,,,,,,,,,,,
2017-09-26 22:00:00,2017-09-26 23:00:00,,,,,,35.45,,,,,,,,,,,,,,
2017-09-26 23:00:00,2017-09-27 00:00:00,,,,,,37.85,,,,,,,,,,,,,,
