From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2019-02-27 17:00:00,2019-02-27 18:00:00,33.75,99.0,2.65,48.6,28.0,16.73,61.27,0.37,117.25,1.1,85.35,,,27.0,48.25,0.72,278.0,41.25,741.0,,18.58,
2019-02-27 18:00:00,2019-02-27 19:00:00,40.75,116.75,3.0,63.52,36.2,15.38,24.83,0.49,58.26,1.2,85.72,,,26.88,51.25,0.67,275.0,18.25,741.0,,17.75,
2019-02-27 19:00:00,2019-02-27 20:00:00,48.75,139.75,6.35,84.77,50.25,17.38,24.9,0.83,25.79,1.55,93.72,,,26.85,56.25,0.5,233.75,17.0,741.0,,16.8,
2019-02-27 20:00:00,2019-02-27 21:00:00,63.0,158.5,8.05,89.5,54.1,21.55,27.13,1.07,17.59,2.12,89.62,,,27.02,59.0,0.45,236.25,17.0,742.0,,16.15,
2019-02-27 21:00:00,2019-02-27 22:00:00,85.0,167.25,9.15,87.1,53.77,25.92,31.07,1.07,14.14,2.42,84.38,,,27.25,64.0,0.43,257.75,17.0,742.0,,15.38,
2019-02-27 22:00:00,2019-02-27 23:00:00,104.75,190.5,17.07,97.5,65.78,26.47,80.53,1.19,5.01,2.45,81.6,,,27.3,68.75,0.38,276.25,17.0,742.0,,14.57,
2019-02-27 23:00:00,2019-02-28 00:00:00,127.0,223.75,21.45,91.75,66.25,26.52,114.4,1.18,5.59,2.65,80.28,,,27.4,72.5,0.33,262.75,17.0,742.0,,13.9,
2019-02-28 00:00:00,2019-02-28 01:00:00,125.5,227.0,14.3,89.95,59.5,28.82,58.5,1.11,6.51,2.52,80.8,,,27.55,75.25,0.3,177.5,17.0,742.0,,13.25,
2019-02-28 01:00:00,2019-02-28 02:00:00,138.75,228.0,11.15,80.75,52.0,32.62,134.2,1.06,6.96,2.6,80.85,,,27.65,78.75,0.3,185.25,17.0,742.0,,12.62,
2019-02-28 02:00:00,2019-02-28 03:00:00,167.0,250.25,18.85,75.6,55.55,35.83,62.77,1.04,7.14,2.7,80.7,,,27.65,81.75,0.3,166.75,17.0,742.0,,12.15,
2019-02-28 03:00:00,2019-02-28 04:00:00,167.75,248.5,23.12,67.38,54.62,34.38,27.0,1.29,77.9,3.27,87.85,,,27.58,83.25,0.3,184.25,17.0,742.0,,11.97,
2019-02-28 04:00:00,2019-02-28 05:00:00,162.25,241.75,30.98,68.55,61.62,34.25,21.07,1.26,76.47,3.33,96.03,,,27.48,85.0,0.3,174.0,17.0,742.0,,11.78,
2019-02-28 05:00:00,2019-02-28 06:00:00,187.75,264.5,68.2,62.85,88.93,34.62,12.65,1.31,32.06,3.5,99.53,,,27.35,87.5,0.32,140.25,17.0,742.0,,11.6,
2019-02-28 06:00:00,2019-02-28 07:00:00,156.75,230.25,62.17,73.53,89.65,32.23,13.1,1.0,12.79,3.47,95.3,,,27.38,84.75,0.3,229.5,17.75,742.0,,11.9,
2019-02-28 07:00:00,2019-02-28 08:00:00,122.25,204.75,130.68,96.42,157.53,37.4,20.43,1.41,8.77,3.38,88.98,,,27.32,81.0,0.3,162.5,55.0,742.0,,12.73,
