From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),Temp (),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2019-06-24 10:00:00,2019-06-24 11:00:00,21.0,95.0,3.0,11.6,8.6,25.2,9.3,0.87,110.86,0.9,196.3,,,,61.0,0.7,285.0,,741.0,,35.8,
2019-06-24 11:00:00,2019-06-24 12:00:00,21.25,95.0,3.58,13.38,9.97,23.6,9.67,0.83,122.56,0.9,198.82,,,31.8,58.5,0.77,282.75,,741.0,,36.15,
2019-06-24 12:00:00,2019-06-24 13:00:00,22.5,139.0,3.92,13.88,10.55,21.75,9.32,0.62,107.75,0.82,195.38,,,31.15,62.5,1.07,276.25,,741.0,,35.27,
2019-06-24 13:00:00,2019-06-24 14:00:00,22.5,239.5,4.75,12.4,10.48,22.27,8.32,0.59,99.12,0.8,194.23,,,31.4,66.25,1.22,275.5,,741.0,,34.6,
2019-06-24 14:00:00,2019-06-24 15:00:00,16.0,148.25,4.28,11.5,9.58,22.73,7.8,0.53,112.91,0.73,195.7,,,31.57,60.5,1.25,274.5,,741.0,,34.88,
2019-06-24 15:00:00,2019-06-24 16:00:00,9.25,149.0,4.95,11.6,10.18,20.62,7.97,0.52,115.34,0.65,194.32,,,31.7,59.25,1.23,276.25,,741.0,,34.97,
2019-06-24 16:00:00,2019-06-24 17:00:00,6.75,122.25,4.67,11.55,9.95,18.57,8.57,0.54,113.09,0.6,190.2,,,31.23,61.25,1.18,273.25,,741.0,,34.62,
2019-06-24 17:00:00,2019-06-24 18:00:00,8.5,164.25,4.68,14.93,11.72,15.95,7.73,0.52,105.66,0.6,191.48,,,31.3,61.25,0.98,272.75,,741.0,,33.62,
2019-06-24 18:00:00,2019-06-24 19:00:00,15.0,275.75,5.05,22.6,16.12,14.5,7.7,0.58,84.62,0.6,193.78,,,31.27,60.25,0.7,266.25,,741.0,,33.05,
2019-06-24 19:00:00,2019-06-24 20:00:00,12.0,219.5,5.38,25.1,17.77,14.33,8.27,0.58,70.9,0.62,200.5,,,31.45,63.25,0.53,249.5,,741.0,,32.67,
2019-06-24 20:00:00,2019-06-24 21:00:00,13.0,155.25,4.55,20.75,14.75,15.55,7.85,0.64,68.85,0.7,204.12,,,31.3,68.25,0.6,261.5,,741.0,,32.43,
2019-06-24 21:00:00,2019-06-24 22:00:00,17.25,144.5,4.62,21.2,15.05,16.6,8.12,0.47,60.37,0.75,207.5,,,31.47,71.0,0.6,268.5,,741.0,,32.2,
2019-06-24 22:00:00,2019-06-24 23:00:00,20.5,153.5,5.15,19.25,14.42,18.3,7.75,0.45,55.61,0.8,207.97,,,31.27,72.75,0.6,256.25,,741.0,,31.9,
2019-06-24 23:00:00,2019-06-25 00:00:00,20.5,118.5,5.5,19.8,15.0,19.9,7.53,0.46,49.88,0.83,208.35,,,31.33,74.75,0.6,273.75,,741.0,,31.38,
