From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (),BP (mmHg),VWS (m/s),RF (mm)
2018-02-01 00:00:00,2018-02-01 01:00:00,,162.76,,,39.1,59.73,1.43,0.31,10.47,6.42,47.14,,,,,,0.14,40.97,26.0,,,0.0
2018-02-01 01:00:00,2018-02-01 02:00:00,150.07,,8.3,34.8,,,,,,,,,6.79,3.04,15.58,92.56,,,,1011.9,0.01,
2018-02-01 02:00:00,2018-02-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 03:00:00,2018-02-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 04:00:00,2018-02-01 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 05:00:00,2018-02-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 06:00:00,2018-02-01 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 07:00:00,2018-02-01 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 08:00:00,2018-02-01 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 09:00:00,2018-02-01 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 10:00:00,2018-02-01 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 11:00:00,2018-02-01 12:00:00,110.94,138.87,5.87,20.74,26.61,101.63,10.37,0.07,76.51,4.34,51.67,,3.67,3.31,23.32,55.06,0.58,190.06,465.1,1013.5,0.01,0.0
2018-02-01 12:00:00,2018-02-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 13:00:00,2018-02-01 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 14:00:00,2018-02-01 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 15:00:00,2018-02-01 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 16:00:00,2018-02-01 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 17:00:00,2018-02-01 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 18:00:00,2018-02-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 19:00:00,2018-02-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 20:00:00,2018-02-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 21:00:00,2018-02-01 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 22:00:00,2018-02-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-01 23:00:00,2018-02-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 00:00:00,2018-02-02 01:00:00,,303.89,,,,,,,,,63.16,,9.74,,,,,300.55,,,,
2018-02-02 01:00:00,2018-02-02 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 02:00:00,2018-02-02 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 03:00:00,2018-02-02 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 04:00:00,2018-02-02 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 05:00:00,2018-02-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 06:00:00,2018-02-02 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 07:00:00,2018-02-02 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 08:00:00,2018-02-02 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 09:00:00,2018-02-02 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 10:00:00,2018-02-02 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 11:00:00,2018-02-02 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 12:00:00,2018-02-02 13:00:00,152.7,200.29,2.94,14.65,17.59,56.0,7.57,0.55,98.47,4.77,43.81,,2.68,2.24,22.82,59.5,0.72,157.04,384.25,1012.25,0.0,0.0
2018-02-02 13:00:00,2018-02-02 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 14:00:00,2018-02-02 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 15:00:00,2018-02-02 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 16:00:00,2018-02-02 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 17:00:00,2018-02-02 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 18:00:00,2018-02-02 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 19:00:00,2018-02-02 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 20:00:00,2018-02-02 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 21:00:00,2018-02-02 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 22:00:00,2018-02-02 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-02 23:00:00,2018-02-03 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 00:00:00,2018-02-03 01:00:00,263.06,,,,,,,,1.14,,,,,,,,,,,,0.01,0.0
2018-02-03 01:00:00,2018-02-03 02:00:00,,313.5,,,,,,,,,,,,,,94.78,,,,,,
2018-02-03 02:00:00,2018-02-03 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 03:00:00,2018-02-03 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 04:00:00,2018-02-03 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 05:00:00,2018-02-03 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 06:00:00,2018-02-03 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 07:00:00,2018-02-03 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 08:00:00,2018-02-03 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 09:00:00,2018-02-03 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 10:00:00,2018-02-03 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 11:00:00,2018-02-03 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 12:00:00,2018-02-03 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 13:00:00,2018-02-03 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 14:00:00,2018-02-03 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 15:00:00,2018-02-03 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 16:00:00,2018-02-03 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 17:00:00,2018-02-03 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 18:00:00,2018-02-03 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 19:00:00,2018-02-03 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 20:00:00,2018-02-03 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 21:00:00,2018-02-03 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 22:00:00,2018-02-03 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-03 23:00:00,2018-02-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 00:00:00,2018-02-04 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 01:00:00,2018-02-04 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 02:00:00,2018-02-04 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 03:00:00,2018-02-04 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 04:00:00,2018-02-04 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 05:00:00,2018-02-04 06:00:00,,170.17,,,112.72,,1.33,,,,,,,,,,0.09,,,,,
2018-02-04 06:00:00,2018-02-04 07:00:00,142.85,,,,,,,,,,,,,3.83,15.24,,,,,,,0.0
2018-02-04 07:00:00,2018-02-04 08:00:00,,,,,,,,,,,,,,,,,,2.91,,,,
2018-02-04 08:00:00,2018-02-04 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 09:00:00,2018-02-04 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 10:00:00,2018-02-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 11:00:00,2018-02-04 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 12:00:00,2018-02-04 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 13:00:00,2018-02-04 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 14:00:00,2018-02-04 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 15:00:00,2018-02-04 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 16:00:00,2018-02-04 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 17:00:00,2018-02-04 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 18:00:00,2018-02-04 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 19:00:00,2018-02-04 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 20:00:00,2018-02-04 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 21:00:00,2018-02-04 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 22:00:00,2018-02-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-04 23:00:00,2018-02-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 00:00:00,2018-02-05 01:00:00,375.54,,,,,,,,,,91.95,,,,,,,,,,,
2018-02-05 01:00:00,2018-02-05 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 02:00:00,2018-02-05 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 03:00:00,2018-02-05 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 04:00:00,2018-02-05 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 05:00:00,2018-02-05 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 06:00:00,2018-02-05 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 07:00:00,2018-02-05 08:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 08:00:00,2018-02-05 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 09:00:00,2018-02-05 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 10:00:00,2018-02-05 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 11:00:00,2018-02-05 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 12:00:00,2018-02-05 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 13:00:00,2018-02-05 14:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 14:00:00,2018-02-05 15:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 15:00:00,2018-02-05 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 16:00:00,2018-02-05 17:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 17:00:00,2018-02-05 18:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 18:00:00,2018-02-05 19:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 19:00:00,2018-02-05 20:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 20:00:00,2018-02-05 21:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 21:00:00,2018-02-05 22:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 22:00:00,2018-02-05 23:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-05 23:00:00,2018-02-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 00:00:00,2018-02-06 01:00:00,,,,,,,,,,,,,,,,,,,,,,0.0
2018-02-06 01:00:00,2018-02-06 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 02:00:00,2018-02-06 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 03:00:00,2018-02-06 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 04:00:00,2018-02-06 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 05:00:00,2018-02-06 06:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 06:00:00,2018-02-06 07:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 07:00:00,2018-02-06 08:00:00,,,,,,,,,,,,,,,,,,,,1016.15,,
2018-02-06 08:00:00,2018-02-06 09:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 09:00:00,2018-02-06 10:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 10:00:00,2018-02-06 11:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 11:00:00,2018-02-06 12:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 12:00:00,2018-02-06 13:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-02-06 13:00:00,2018-02-06 14:00:00,,,3.81,18.21,22.02,51.32,10.35,0.21,69.12,87.77,187.78,,108.41,2.26,21.8,68.5,0.87,38.97,281.15,1012.5,0.01,0.0
2018-02-06 14:00:00,2018-02-06 15:00:00,56.09,110.3,4.23,24.58,28.81,41.48,8.93,0.19,63.89,78.78,166.09,,110.53,76.89,21.95,68.0,1.19,34.05,242.63,1011.5,0.01,0.0
2018-02-06 15:00:00,2018-02-06 16:00:00,119.86,157.07,4.05,22.24,26.29,42.32,5.17,0.23,60.18,4.32,32.54,,4.22,2.46,21.59,68.68,0.79,32.85,138.17,1010.9,0.01,0.0
2018-02-06 16:00:00,2018-02-06 17:00:00,117.8,159.22,5.16,29.67,34.83,42.46,4.69,0.63,48.02,4.64,30.92,,3.94,1.9,21.34,69.89,0.46,37.2,77.63,1010.67,0.01,0.0
2018-02-06 17:00:00,2018-02-06 18:00:00,117.85,165.0,6.56,47.42,53.98,35.56,4.43,0.78,22.56,6.29,41.45,,7.0,2.23,20.86,73.16,0.26,236.48,53.07,1010.9,0.01,0.0
2018-02-06 18:00:00,2018-02-06 19:00:00,144.99,200.48,19.98,63.51,83.49,30.02,4.61,1.36,4.18,10.73,66.43,,15.73,4.03,20.45,75.82,0.21,121.57,49.67,1011.57,0.01,0.0
2018-02-06 19:00:00,2018-02-06 20:00:00,172.65,312.75,36.66,68.12,104.78,27.58,4.45,1.9,1.86,15.55,74.97,,21.97,5.13,20.14,77.98,0.19,93.24,55.73,1011.77,0.01,0.0
2018-02-06 20:00:00,2018-02-06 21:00:00,204.56,436.45,55.6,65.69,121.28,30.42,4.93,2.05,1.96,20.26,80.39,,27.23,5.74,20.02,80.13,0.25,130.65,57.67,1012.07,0.01,0.0
2018-02-06 21:00:00,2018-02-06 22:00:00,224.01,425.39,40.77,54.49,95.27,50.98,4.46,1.46,1.23,19.51,76.4,,27.64,5.57,19.98,81.37,0.25,142.25,52.5,1012.3,0.01,0.0
2018-02-06 22:00:00,2018-02-06 23:00:00,230.58,367.62,43.16,52.41,95.57,58.56,4.73,1.67,1.06,17.45,79.77,,24.96,5.99,19.63,83.65,0.26,85.61,54.53,1012.1,0.01,0.0
2018-02-06 23:00:00,2018-02-07 00:00:00,231.95,319.72,16.48,44.45,60.93,82.31,6.05,0.61,3.32,15.45,73.84,,20.79,5.89,19.47,81.82,0.31,93.75,44.27,1011.77,0.01,0.0
2018-02-07 00:00:00,2018-02-07 01:00:00,226.6,292.14,20.36,40.45,60.81,83.87,2.45,0.55,0.21,12.91,55.63,,14.32,5.4,18.33,89.2,0.18,160.99,37.4,1011.4,0.01,0.0
2018-02-07 01:00:00,2018-02-07 02:00:00,212.36,255.41,18.57,31.34,49.9,90.22,2.07,0.02,0.29,12.0,56.74,,17.11,4.91,18.0,90.61,0.11,200.52,46.87,1010.97,0.01,0.0
