From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2019-05-31 12:00:00,2019-05-31 13:00:00,,,,5.54,6.67,7.67,0.86,0.07,32.04,,,,,,,61.21,,,707.67,1001.73,-2.15,,33.36,
2019-05-31 13:00:00,2019-05-31 14:00:00,,,3.64,9.12,11.95,13.42,1.02,0.07,34.33,0.0,0.0,,,,,47.6,2.82,179.62,428.7,1000.7,1.53,0.0,26.82,
2019-05-31 14:00:00,2019-05-31 15:00:00,,,33.31,11.76,41.14,46.75,0.97,0.02,28.79,23.01,0.03,15.46,15.5,,,60.58,2.79,181.78,449.57,999.88,0.04,3.92,32.7,
2019-05-31 15:00:00,2019-05-31 16:00:00,,,12.86,11.34,27.44,31.15,1.11,,25.95,32.73,0.01,4.47,4.76,,,60.84,2.95,180.58,362.93,998.95,0.05,1.23,32.56,
2019-05-31 16:00:00,2019-05-31 17:00:00,,,7.19,14.71,20.87,8.23,0.89,0.01,26.51,36.83,0.01,8.76,9.62,,,66.14,2.16,183.95,192.38,998.2,0.01,2.69,31.92,
2019-05-31 17:00:00,2019-05-31 18:00:00,,,3.54,17.38,20.68,2.25,1.01,0.27,22.23,53.28,22.02,8.47,9.77,,,69.48,2.25,184.21,152.33,998.12,0.04,2.48,31.18,
2019-05-31 18:00:00,2019-05-31 19:00:00,,,6.07,18.78,24.96,2.83,1.08,0.29,19.69,12.61,34.24,8.21,9.85,,,70.81,1.72,180.44,125.77,999.4,0.04,2.59,30.65,
2019-05-31 19:00:00,2019-05-31 20:00:00,22.32,51.35,9.09,16.35,25.58,3.13,1.31,0.32,15.32,22.71,104.13,9.22,10.45,,,75.42,1.69,179.47,126.9,1000.85,0.05,3.14,30.07,0.0
2019-05-31 20:00:00,2019-05-31 21:00:00,37.95,59.38,2.98,16.24,19.94,2.22,1.56,0.32,13.63,31.29,194.03,12.71,13.49,,,77.75,1.83,175.47,128.22,1001.32,0.05,4.34,29.9,0.0
2019-05-31 21:00:00,2019-05-31 22:00:00,31.45,63.98,,17.14,15.65,1.6,1.83,0.31,17.24,35.52,262.58,15.82,16.13,,,76.34,1.52,191.65,127.1,1001.77,0.03,5.29,29.74,0.0
2019-05-31 22:00:00,2019-05-31 23:00:00,22.64,47.63,,20.33,11.18,0.67,2.11,0.32,51.33,37.21,286.94,17.09,17.1,,,69.75,1.73,178.76,126.92,1001.25,0.05,5.66,28.52,0.0
2019-05-31 23:00:00,2019-06-01 00:00:00,21.01,41.73,,20.5,8.78,0.33,2.05,0.31,57.83,35.1,292.14,17.03,17.04,,,70.12,0.96,194.64,124.9,1001.0,0.02,5.64,27.86,0.0
2019-06-01 00:00:00,2019-06-01 01:00:00,24.71,44.48,0.11,35.42,30.82,3.17,1.92,0.38,42.27,31.95,295.27,17.81,17.72,,,71.23,0.67,181.5,123.72,1000.58,0.01,5.96,27.12,0.0
2019-06-01 01:00:00,2019-06-01 02:00:00,28.81,41.15,,29.83,27.38,2.79,2.39,0.37,34.4,33.59,275.3,18.42,18.17,,,72.8,0.28,133.46,122.9,1000.4,0.02,6.16,26.58,0.0
2019-06-01 02:00:00,2019-06-01 03:00:00,22.7,38.25,,22.81,22.3,2.3,2.45,0.35,28.33,39.1,,23.96,23.06,,,78.62,0.13,230.03,122.53,1000.1,0.01,7.92,25.82,0.0
2019-06-01 03:00:00,2019-06-01 04:00:00,18.32,40.14,,24.7,21.21,2.11,2.29,0.32,20.3,41.43,,25.47,24.52,,,81.86,0.13,173.53,124.2,1000.23,0.01,8.4,25.48,0.0
2019-06-01 04:00:00,2019-06-01 05:00:00,22.86,39.91,2.91,45.59,45.41,4.67,2.0,0.35,8.66,32.96,316.36,21.57,21.2,,,82.65,0.11,135.88,123.5,1000.12,0.01,7.25,25.51,0.0
2019-06-01 05:00:00,2019-06-01 06:00:00,34.28,44.82,,41.97,41.29,4.44,2.02,0.38,8.13,31.82,321.46,22.3,21.87,,,83.1,0.15,189.59,141.88,1000.6,0.02,7.49,26.3,0.0
2019-06-01 06:00:00,2019-06-01 07:00:00,29.29,47.3,,32.88,32.53,3.21,2.21,0.42,10.61,40.58,329.22,24.06,23.82,,,80.32,0.19,250.52,195.5,1001.77,0.02,8.33,28.16,0.0
2019-06-01 07:00:00,2019-06-01 08:00:00,33.39,67.75,,18.84,17.14,1.69,1.78,0.33,19.84,33.88,299.27,20.61,20.9,,,80.36,0.64,138.87,253.7,1002.7,0.02,7.31,29.57,0.0
2019-06-01 08:00:00,2019-06-01 09:00:00,35.73,64.17,,16.77,15.12,1.6,1.72,0.34,22.84,26.08,248.47,15.9,16.47,,,77.36,0.66,119.91,369.7,1003.28,0.01,5.64,30.69,0.0
2019-06-01 09:00:00,2019-06-01 10:00:00,42.86,79.84,,13.23,8.07,0.39,1.75,0.28,37.12,23.55,262.59,15.98,16.29,,,69.55,1.08,168.2,581.27,1003.12,0.02,5.57,32.28,0.0
2019-06-01 10:00:00,2019-06-01 11:00:00,33.98,65.66,,12.71,6.51,0.29,1.58,0.25,53.45,24.12,294.55,17.64,17.57,,,60.07,1.29,176.47,681.17,1002.7,0.03,6.01,33.49,0.0
2019-06-01 11:00:00,2019-06-01 12:00:00,25.42,52.23,5.24,10.55,13.04,1.41,1.21,0.26,22.15,31.81,100.74,8.45,9.76,,,54.13,1.57,170.03,750.18,1002.17,0.04,3.01,34.45,0.0
2019-06-01 12:00:00,2019-06-01 13:00:00,18.63,42.42,3.04,7.83,11.55,1.55,1.04,0.26,28.78,,62.59,5.34,6.75,,,52.12,1.92,179.76,733.08,1001.4,0.04,1.94,34.67,0.0
2019-06-01 13:00:00,2019-06-01 14:00:00,22.01,43.55,30.05,10.54,37.83,5.04,1.43,0.24,36.27,94.01,58.91,21.62,12.7,,,51.27,1.69,179.35,618.0,1000.62,0.03,3.74,34.71,0.0
2019-06-01 14:00:00,2019-06-01 15:00:00,62.21,43.9,10.09,8.35,18.15,2.3,1.45,0.22,9.76,38.31,91.14,138.21,61.77,,,53.84,1.91,184.75,521.73,999.78,0.03,20.09,34.69,0.0
2019-06-01 15:00:00,2019-06-01 16:00:00,59.55,,14.02,8.72,23.67,3.31,3.09,0.19,14.66,23.61,73.01,29.69,18.14,,,61.59,2.01,186.75,320.3,999.1,0.02,6.16,,0.0
2019-06-01 16:00:00,2019-06-01 17:00:00,54.95,,7.41,13.65,21.32,3.04,1.17,0.33,29.35,18.1,71.32,13.7,11.32,,,66.12,1.89,187.22,195.33,998.75,0.01,3.89,,0.0
2019-06-01 17:00:00,2019-06-01 18:00:00,5.56,,1.44,17.82,17.34,1.38,0.97,0.27,24.58,25.52,,,7.74,2.38,,70.56,1.78,184.12,156.45,999.05,0.04,,,0.0
